"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","decimalLongitude","decimalLatitude","barcode","imagecode","scientificNameAuthorship","identifiedBy","yearIdentified","stateProvince","county","locality","coordinatePrecision","geoFlag"
"1","2019-09-04 19:48:30-03","F","FMNH-SEEDPLANTS","V0050270F","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae","Asteraceae","Gochnatia","suffrutescens","Gochnatia suffrutescens","Holotype","Mello Barreto","4744","1936","7","8","South America","Brazil","-52.8731","-10.8339","V0050270F","V0050270F_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-23 13:21:57-03","MN","R-TIPOS","32890","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","suffrutescens","Richterago suffrutescens","Isotypus de Gochnatia suffrutescens Cabrera","Mello Barreto, H.L.","4744","1936","07","08",NA,"Brasil","-44.2616996765137","-21.1355991363525","R000032890","R000032890_001","(Cabrera) Roque","Roque, N.","1999","Minas Gerais","São João del Rey","Serra do Lenheiro","39093","auto"
"3","2021-02-23 13:21:57-03","MN","R-TIPOS","32890a","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","suffrutescens","Richterago suffrutescens","Isotypus de Gochnatia suffrutescens Cabrera","Mello Barreto, H.L.","4744","1936","07","08",NA,"Brasil","-44.2616996765137","-21.1355991363525","R000032890a","R000032890a_001","(Cabrera) Roque","Roque, N.","1999","Minas Gerais","São João del Rey","Serra do Lenheiro","39093","auto"
