"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","decimalLongitude","decimalLatitude","county","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:04-03","E","E","285079","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps","isotype","Smith, Herbert Huntington","1826","1905","03","12","W. Tropical South America","CO","Departamento de Magdalena","Santa Marta.","herbarium specimen of unspecif","BGBASE:291759","<a href=http://data.rbge.org.uk/herb/E00285079 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","132218","PreservedSpecimen","Plantae","Rubiaceae","Mapouria","biacuminata","Mapouria biacuminata","syntype","H. H. Smith","1826","1898","08","02","South America","Colombia","Magdalena","Near Escalera de los Indios.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132218","Magnoliophyta","Gentianales","Rusby","243.8","243.8","NY00132218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","132219","PreservedSpecimen","Plantae","Rubiaceae","Mapouria","corumbensis","Mapouria corumbensis","possible type","S. L. M. Moore","900","1891","11","04","South America","Brazil","Mato Grosso",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=494493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132219","Magnoliophyta","Gentianales","S.Moore",NA,NA,"NY00132219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01063525","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps",NA,"M. Barbosa da Silva","23","1942","08","30","South America","Brazil","Pará",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270826' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063525","Magnoliophyta","Gentianales","Kunth",NA,NA,"NY01063525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1005138","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps",NA,"R. M. Harley","11130","1968","11","20","South America","Brazil","Mato Grosso","Rio Suia Missù, c. 20 km. N. of the ferry, and c. 50 km. N.N.W. of base camp.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076499' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005138","Magnoliophyta","Gentianales","Kunth",NA,NA,"NY01005138_01","C. M. Taylor","-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01197938","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps",NA,"J. L. Paixão","200","2002","04","04","South America","Brazil","Bahia","Rod. Jussari/Palmira, entrada ca. 7,5 km de Jussari, Faz. Teimoso-RPPN, Serra do Teimoso.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1332277' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197938","Magnoliophyta","Gentianales","Kunth",NA,NA,"NY01197938_01","C. M. Taylor","-39.5286","-15.1581","Jussari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1033962","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps",NA,"B. M. T. Walter","2799","1995","10","09","South America","Brazil","Goiás","Regiao da faz. Palmeiras do Maranhao. Seguindo da sede da Fazenda; cerca de 15 km na direcao do rio Maranhao. Futuro reservatorio do ahe serra da mesa.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228779' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033962","Magnoliophyta","Gentianales","Kunth","440","440","NY01033962_01","P. G. Delprete","-48.32","-13.92","Campinaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1033965","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps",NA,"H. S. Irwin","13125","1966","02","24","South America","Brazil","Distrito Federal","Ca. 5 km S.E. of Brasilia on road to Belo Horizonte","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228786' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033965","Magnoliophyta","Gentianales","Kunth","1000","1000","NY01033965_01","C. W. Hamilton","-48.18","-15.73","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1005139","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps",NA,"R. M. Harley","10697","1968","10","17","South America","Brazil","Mato Grosso","Correg[o] do Gato c. 51 km. along road S. from base camp.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005139","Magnoliophyta","Gentianales","Kunth",NA,NA,"NY01005139_01","C. W. Hamilton","-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","132594","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","anceps","Psychotria anceps robustior","paratype","J. A. Steyermark","100270","1967","11","09","South America","Venezuela","Yaracuy","Cerro La Chapa, al N de Nirgua.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=291118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132594","Magnoliophyta","Gentianales","Steyerm.","1200","1400",NA,NA,NA,NA,NA,"robustior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
