"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","800794","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.","C. T. Oliveira","H. S. Irwin","2779","1959","03","03","South America","Brazil","Espírito Santo","Pico da Bandeira, Serra Caparaó","-41.798225","-20.433785","2804.2","2804.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800794","NY00800794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:18-03","UFRJ","RFA","30794","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.","R.L.Esteves (UERJ/MN-UFRJ)","K. Torres; N. Roueband, B. Medina.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Planalto de Itatiaia, Arbustiva ao norte das Prateleiras.","-44.5633010864258","-22.4960994720459","2400","2400",NA,"Trepadeira lenhosa (escandente). Flor, cheiro de flor de mel","RFA20397",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:51-03","UFBA","ALCB","136679","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L. Rob.","Marques, D","Santiago, AO; Lombardi, JA; Silva, KR; Seidinger, LC; Gonçalves, RA","49","2015","08","22","Southern America","Brasil","Minas Gerais","Parque Nacional do Itatiaia. Estrada para a entrada alta (ponto 1).","-45.236111","-22.610556","2147","2147",NA,"Prensado em álcool. Amostra em sílica. Folhas levemente discolores. Flores alvas, anteras marrons, estilete branco, caule verde.","ALCB066388","ALCB066388","Itamonte",NA,NA,"-45.236111","-22.610556",NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:01:56-03","ESALQ","ESA","64675","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L. Rob.","Lopes, I.T.F.V.","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23523.0","2000","02","20",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó. Beira do Córrego José Pedro (divisa MG/ES). Campo de altitude","-417.353",NA,NA,NA,NA,"Escandente; capítulos jovens verdes","ESA064675",NA,"Alto Caparaó",NA,NA,"-417,353","-20,445,833","2017","04","11",NA,NA,NA
"5","2020-12-20 21:15:56-03","UFV","VIC","7874","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L. Rob.",NA,"Moura, L.S. de; Vieira, M.F.","506","1983","09","19",NA,"Brasil","Minas Gerais","Campus da UFV, Barranco em direção à Fruticultura; próximo às estufas da Fisiologia Vegetal.","-42.8819007873535","-20.7539005279541",NA,NA,NA,"Trepadeira de flores brancas, folhas lanosas na face inferior e caule lanoso.","VIC007874","VIC007874","Viçosa","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:24:42-03","UNICAMP","UEC","167195","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.",NA,"Leoni, BS","4935","2002","04","09",NA,"Brazil","Minas Gerais","Serra do Caparaó, Parque Nacional do Caparaó.&nf;ao lado do córrego José Pedro.","-41.8683013916016","-20.4333000183105","2260","2260",NA,"Trepadeira volúvel, corola amarela.","UEC035991","UEC035991","Alto Caparaó","21645","auto",NA,NA,"2018",NA,NA,NA,NA,NA
"7","2020-12-21 16:16:34-03","MBM","MBM","143760","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L. Rob.","Holmes, W.C.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55531","1991","06","15","Southern America","Brazil","Minas Gerais","Parque Nacional do Caparaó, subida ao pico da Bandeira","-41.9043998718262","-20.523099899292",NA,NA,NA,NA,"MBM143760","MBM143760","Caparaó","15056","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:33:14-03","UFMG","BHCB","136296","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.",NA,"Bünger, MO; Fernandes, AC; Silva, MH; Ribeiro, ASS; Oliveira Filho, AT de","339","2010","03","05","Southern America","Brasil","Minas Gerais","Parque Nacional do Caparaó, Trilha da Macieira para a cachoeira do Aurélio.","-41.829694","-20.480778","1857","1857",NA,"Liana, flores creme-esverdeadas.; liana, flores creme-esverdeadas","BHCB006947",NA,"Espera Feliz",NA,NA,"-41.829694","-20.480778","2013","04",NA,NA,NA,NA
"9","2020-12-11 11:33:14-03","UFMG","BHCB","50561","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.",NA,"Ruas, PM; et al.","s.n.","1988","09","30","Southern America","Brasil","Paraná","Jardim Casa Paulo.","-51.1627998352051","-23.3103008270264",NA,NA,NA,"Trepadeira. Flores brancas. Semente proveniente de Nova Friburgo.",NA,NA,"Londrina","63728","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:33:14-03","UFMG","BHCB","165159","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.",NA,"Freitas, FS; Batista, JAN; Vale, AA","24","2013","03","06","Southern America","Brasil","Rio De Janeiro","Parque Nacional do Itatiaia, parte alta, Subida próximo à portaria do Posto do Marcão","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Liana. Flores brancas.; Borda da mata","BHCB030669",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2009-06-24 18:35:00-03","MO","MOBOT","2698607","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L. Rob.","W.C. Holmes","Agnes Chase","Chase 9687","1925","4","30","South America","Brazil","Minas Gerais","Twining on brush. Turfy campo above timberline near rest house.",NA,NA,"2100.00000000","2200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
"12","2020-06-15 15:28:40-03","UNESP-RC","HRCB","64721","PreservedSpecimen","Plantae",NA,NA,"Asteracea","Mikania","additicia","Mikania additicia","B.L. Rob","Danilo Marques","Grupo Vermelho",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia - Estrada para a entrada alta (ponto 1)","-44.73705","-22.3598",NA,NA,NA,NA,NA,NA,"Itamonte",NA,NA,"44º44'13.38W","22º21'35.28S",NA,NA,NA,NA,NA,NA
"13","2019-05-06 11:53:42-03","UFU","HUFU","74970","S","Plantae",NA,NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.","Lopes, I.T.F.V.","Coletta, G.D.; Ferrucci, M.S.; Ângulo, M.B. & Leoni, L.","241","2009","05","12",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,"Liana. Capítulos esverdeados e brancos.; Transição entre campo de altitude e mata.","HUFU00073587","HUFU00073587","Alto Caparaó","21645","auto",NA,NA,"2017","11",NA,NA,NA,NA
"14","2019-05-06 11:53:42-03","UFU","HUFU","74975","S","Plantae",NA,NA,"Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.","Lopes, I.T.F.V.","Kuntz, J.; Rigon, J.; Flores, T.B. & Campos, O.R.","505","2012","03","20",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó, Estrada para Tronqueira.","-41.8683013916016","-20.4333000183105",NA,NA,NA,"Trepadeira, capítulos alvos.","HUFU00073524","HUFU00073524","Alto Caparaó","21645","auto",NA,NA,"2017","09",NA,NA,NA,NA
"15","2020-08-20 14:55:12-03","UFSC","FLOR","45270","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Mikania","additicia","Mikania additicia","B.L.Rob.","Matzenbacher, N.I.","Ruas, P.M.; et alii","s.n.","1988","09","30",NA,"Brasil","Paraná","Jardim Casa Paulo.","-51.1627998352051","-23.3103008270264",NA,NA,NA,"trepadeira, flor branca. Semente proviniente de Nova Friburgo.","FLOR0045270",NA,"Londrina","63728","auto",NA,NA,"1988","12","01",NA,NA,NA
"16","2021-02-08 12:36:35-03","UFRGS","ICN","084379","S","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","additicia","Mikania additicia","Robinson","Ritter, MR","Ruas, PM","s.n.",NA,NA,NA,"América do Sul","Brasil","PR","jardim Casa Paulo Ruas","-51.1627998352051","-23.3103008270264",NA,NA,NA,"Trepadeira; flores brancas. Sementes provenientes de Nova Friburgo.",NA,NA,"Londrina","63728","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-03-24 07:58:59-03","GH","HU-HERB","GH 00010235","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","additicia","Mikania additicia","B. L. Robinson",NA,"E. W. D. Holway & M. M. Holway","1856a","1922","5","17","South America","Brazil","Rio de Janeiro","Serra Itatiaya",NA,NA,"2100",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1856a","undetermined"
"18","2010-08-16 16:37:38-03","GH","HU-HERB","GH 00010275","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","chaseae","Mikania chaseae","B. L. Robinson",NA,"A. Chase","9687",NA,NA,NA,"South America","Brazil",NA,"Serra do Caparaó, near rest house",NA,NA,"2100","2200","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","9687","undetermined"
