"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","class","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857270","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epling & C.D.Jativa","R. M. Harley","W. R. Anderson","9745","1973","05","05","South America","Brazil","Mato Grosso","Eastern base of mountain ca. 9 km NE of Barra do Garças","-52.19058","-15.82579","450","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857270","NY00857270_01",NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857269","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epling & C.D.Jativa",NA,"B. Maguire","56220","1963","08","24","South America","Brazil","Mato Grosso","1--10 km west of Alto Araguaia, along watershed between Amazonas and Paraguaya.","-53.2153","-17.3147",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857269","NY00857269_01","isotype","Alto Araguaia",NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857271","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epling & C.D.Jativa","R. M. Harley","G. G. Hatschbach","40097","1977","07","25","South America","Brazil","Goiás","30 km L. Goiás","-51.8219","-16.4269",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857271","NY00857271_01",NA,"Piranhas",NA,NA,NA
"4","2020-12-21 16:30:15-03","MBM","MBM","55227","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epl. & Jativa","Harley, R.M.","Hatschbach, G.","40097","1977","07","25","Southern America","Brazil","Goiás","Piranhas, 30 km L",NA,NA,NA,NA,NA,NA,"MBM055227","MBM055227",NA,NA,NA,NA,NA
"5","2009-06-25 13:32:00-03","MO","MOBOT","2904322","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epling & Játiva","R.M. Harley","William R. Anderson","Anderson 9745","1973","5","5","South America","Brazil",NA,"Eastern base of mountain ca. 9 km NE of Barra do Garcas; gallery forest along stream and brejo (sedge meadow) and cerrado on slopes above; sandy soil, sandstone rocks.",NA,NA,"450.00000000","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2755342","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epling & Játiva",NA,"W. R. Anderson, S. R. Hill, R. Reis dos Santos & R. Souza","9745","1973","5","5","South America - Neotropics","Brazil","Mato Grosso","Planalto do Brasil. Eastern base of mountain ca. 9 km NE of Barra do Garças.",NA,NA,"450","500",NA,NA,"US02885474","US02885474_01",NA,NA,"Dicotyledonae","1",NA
"7","2020-09-12 05:00:02-03","US","US","2850722","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epling & Játiva",NA,"G. Hatschbach","40097","1977","7","25","South America - Neotropics","Brazil","Goiás","Piranhas, 30 km L.",NA,NA,NA,NA,NA,NA,"US02885473","US02885473_01",NA,NA,"Dicotyledonae","1",NA
"8","2020-09-12 05:00:02-03","US","US","2621039","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens","Epling & Játiva",NA,"B. Maguire","56220","1963","8","24","South America - Neotropics","Brazil","Mato Grosso","1-10 km. W of Alto Araguaia, between Amazonas and Rio Paraguayana.",NA,NA,NA,NA,NA,NA,"US00121906","US00121906_01","Isotype",NA,"Dicotyledonae","1",NA
"9","2019-09-04 19:49:06-03","F","FMNH-SEEDPLANTS","V0061008F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens",NA,NA,"B. Maguire et al.","56220","1963","8","24","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0061008F","V0061008F_01","Isotype",NA,"Dicotyledoneae",NA,NA
"10","2018-05-14 17:19:37-03","F","FMNH-SEEDPLANTS","V0144276F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","hamatidens","Hyptis hamatidens",NA,"RRC ID Flag","W. R. Anderson","9745",NA,NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"V0144276F","V0144276F_01 V0144276F_02",NA,NA,"Dicotyledoneae",NA,"9745"
