"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:25:26-03","UNESC","CRI","14148","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Meisn.) L.E.Kopp","Aline Votri Guislon","2018","11","08","Clair M. Martinello & Robson dos Santos","1996","07","04","Brasil","Santa Catarina","Orleans","Rio Novo","-49.285278","-28.368333","49º17'7''W","28º22'6''S","Habitat: Terrestre Habito: Arbóreo","CRI012799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504861","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1967","06","25","Brazil","Paraná","Telêmaco Borba",NA,"-50.6156","-24.3242",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504861","Magnoliophyta","Laurales","5534","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00504864","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","R. Callejas Posada",NA,NA,NA,"E. P. Heringer","1976","09","29","Brazil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce","-42.7767","-19.8431",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504864","Magnoliophyta","Laurales","15983","South America","sheet","NY00504864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00918214","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","L. E. Kopp",NA,NA,NA,"P. Clausen","1841",NA,NA,"Brazil","Minas Gerais",NA,"Brésil (Minas Geraes)",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918214","Magnoliophyta","Laurales","20","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504856","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1972","06","28","Brazil","Paraná",NA,"Rio Putunâ",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504856","Magnoliophyta","Laurales","29764","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","504858","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","L. E. Kopp",NA,NA,NA,"A. C. Brade","1948","02","15","Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Monte Serrat","-44.5631","-22.4961",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504858","Magnoliophyta","Laurales","18858","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504862","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp",NA,NA,NA,NA,"C. V. Roderjan","1993","12","15","Brazil","Paraná","Quatro Barras","Morro Anhangava","-49.07","-25.35",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504862","Magnoliophyta","Laurales","1117","South America","sheet",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01067299","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","A. Quinet",NA,NA,NA,"R. A. X. Borges","2006","06","29","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Cachoeira dos Macacos; próxima ao rio do Salto","-43.8994","-21.7164",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206108' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067299","Magnoliophyta","Laurales","143","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","504859","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","L. E. Kopp",NA,NA,NA,"O. C. Goés","1948","02","25","Brazil","Rio de Janeiro","Petrópolis","Petropolis, Quintandinha","-43.1783","-22.505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504859","Magnoliophyta","Laurales","49","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00918216","PreservedSpecimen","Plantae","Lauraceae","Persea","major","Persea major","(Nees) L.E.Kopp","L. E. Kopp",NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil",NA,NA,"Brésíl",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918216","Magnoliophyta","Laurales","s.n.","South America","sheet","NY00918216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
