"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber","infraspecificEpithet"
"1","2016-09-29 15:14:00-03","NY","NYBG","783855","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","W. D. Clayton","L. T. D. Dombrowski","1393","1965","01","23","South America","Brazil","Paraná","Palmeira","Rodovia do Café, km 50","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783855","NY00783855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00906236","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","M. A. Chase","9188","1925","03","28","South America","Brazil","Minas Gerais",NA,"Serra do Cipó (110 km. northeast of Bello Horizonte). Near Rio do Reixa. Chapeo de Sol",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906236","NY00906236_01","(Kunth) Nash","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","783856","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","R. Reitz","2638","1956","02","05","South America","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783856","NY00783856_01","(Kunth) Nash","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00906214","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","W. R. Anderson","8278","1973","04","06","South America","Brazil","Goiás","Cristalina","Rio Cristal, 44 km by road SE of Cristalina.","-47.33","-16.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906214","NY00906214_01","(Kunth) Nash","980","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","783858","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","D. Olea","300","1945","03","01","South America","Argentina","Tucumán",NA,"Dep. Tafí. Siambón",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783858",NA,"(Kunth) Nash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00906211","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","Y. E. J. Mexia","5542","1931","04","04","South America","Brazil","Minas Gerais","Corinto","Corinto. Fazenda do Diamante. Southeast of Buildings.","-44.4564","-18.3808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906211","NY00906211_01","(Kunth) Nash","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","783857","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","M. A. Chase","Y. E. J. Mexia","5596","1931","04","11","South America","Brazil","Minas Gerais","Corinto","Corinto. Fazenda do Diamante; Pasto da Matta","-44.4564","-18.3808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=565412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783857","NY00783857_01","(Kunth) Nash","590","590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00906237","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","G. Davidse","12169","1976","04","09","South America","Brazil","Goiás","Formosa","3 km W of the Goias-Distrito Federal border along Highway BR-020-030","-47.3342","-15.5372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906237","NY00906237_01","(Kunth) Nash","870","870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00906215","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","W. R. Anderson","9427","1973","04","29","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 30 km (straight line) S of Caiapônia","-51.8167","-17.2167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906215","NY00906215_01","(Kunth) Nash","950","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00906213","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sorghastrum","stipoides","Sorghastrum stipoides","P. Dávila A.","N. Lima","193","1968","04",NA,"South America","Brazil","Distrito Federal","Brasília","Estaçao Experimental do Instituto Central de Biologia","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906213","NY00906213_01","(Kunth) Nash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
