"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","fieldNumber","year","month","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","recordNumber","continentOcean","decimalLongitude","decimalLatitude","minimumElevationInMeters","day","stateProvince","county","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","individualCount","yearIdentified","monthIdentified","coordinatePrecision","geoFlag"
"1","2015-02-18 15:50:55-02","MNHN","RECOLNAT_MNHN_P","P01902003","PreservedSpecimen","Lythraceae","Diplusodon","vidalii","Diplusodon vidalii","Lourteig","Lourteig","isotype","Vidal, J.","I 713","1945","4","Brasil","Brasil, Minas Gerais, Municipio de Thermopolis, Thermopolis (Balneario de Aguas Quentes).","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902003' target='other'> <mi>dwc_moreinfo</mi></a>","P01902003","P01902003_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-01-20 20:24:00-02","MO","MOBOT","3402980","PreservedSpecimen","Lythraceae","Diplusodon","vidalii","Diplusodon vidalii","Lourteig","Taciana Barbosa",NA,"Taciana B. Cavalcanti|et al.",NA,"2003",NA,"Brazil","estancia hidromineral Termopolis. Cerrado aberto. Solo areno-pedregoso. Frequent no local.",NA,NA,NA,NA,"Plantae","Cavalcanti 3063","South America","-46.8325","-20.93277","1130.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-02 16:31:48-03","Cenargen","CEN","52108","PreservedSpecimen","Lythraceae","Diplusodon","vidalii","Diplusodon vidalii","Lourteig",NA,NA,"Taciana Barbosa Cavalcanti",NA,"2003","04","Brasil","Estância Hidromineral Thermópolis - Serra de Termópolis.","Exsicatas","Ramos da inflorescência ferrugíneos à vináceos, flores 2 cm de diam., 12 estames, apêndices patentes, tubo floral verde, folhas eretas. Estames excertos 4-5 mm. Botões vináceos. Folhas fixadas em silúra, flores em álcool 70%.","CEN00052108","CEN00052108","Plantae","3171",NA,"-46.8325","-20.932777","1050","29","MG","SAO SEBASTIAO DO PARAISO","-46.8325","-20.932777","1050","13",NA,NA,NA,NA
"4","2020-09-02 16:31:48-03","Cenargen","CEN","46896","PreservedSpecimen","Lythraceae","Diplusodon","vidalii","Diplusodon vidalii","Lourteig","T. B. Cavalcanti",NA,"Taciana Barbosa Cavalcanti",NA,"2003","01","Brasil","Estância hidromineral Termópolis.","Exsicatas","Indivíduos frequentes apenas no alto do morro. A maioria rasteiros e cespitosos. Caule jovem vermelhos. Inflorescência destacada das folhas.","CEN00046896","CEN00046896","Plantae","3063",NA,"-46.7411003112793","-21.0167007446289","1130","13","MG","JACUI","-4683250.0","-2093278.0","1130","4","2003","01","16705","auto"
"5","2020-09-02 16:31:48-03","Cenargen","CEN","33833","PreservedSpecimen","Lythraceae","Diplusodon","vidalii","Diplusodon vidalii","Lourteig","T. B. Cavalcanti",NA,"Rosângela Simão-Bianchini",NA,"1994","05","Brasil","Termopolis.","Exsicatas","Estames amarelos. Doação do Instituto de Botânica - SP. São Paulo.","CEN00033833","CEN00033833","Plantae","455",NA,"-46.9914016723633","-20.9169006347656",NA,"24","MG","SAO SEBASTIAO DO PARAISO",NA,NA,NA,"1","2003","09","24792","auto"
"6","2021-02-23 13:22:40-03","MN","R-TIPOS","43428a","PreservedSpecimen","Lythraceae","Diplusodon","vidalii","Diplusodon vidalii","Lourteig","Lourteig, A.","Isotypus","Vidal, J.",NA,"1945","04","Brasil","Thermopolis",NA,NA,"R000043428a","R000043428a_001","Plantae","I - 713",NA,NA,NA,NA,NA,"Minas Gerais","Thermopolis",NA,NA,NA,NA,"1971","03",NA,NA
"7","2021-02-23 13:22:40-03","MN","R-TIPOS","43428","PreservedSpecimen","Lythraceae","Diplusodon","vidalii","Diplusodon vidalii","Lourteig","Lourteig, A.","Holotypus","Vidal, J.",NA,"1945","04","Brasil","Thermopolis",NA,NA,"R000043428","R000043428_001","Plantae","I - 713",NA,NA,NA,NA,NA,"Minas Gerais","Thermopolis",NA,NA,NA,NA,"1971","03",NA,NA
