"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","class","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","fieldNumber","infraspecificEpithet","typeStatus","previousCatalogNumber"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4098","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","Carlos Alberto Ferreira Júnior","2017","05","15","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3778","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","Carlos Alberto Ferreira Júnior","2016","06","29","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3230","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","Lucas Assis","2013","10","07",NA,"254","Equisetopsida","(Sw.) Lindl.","Lucas Assis; Kelen Soares","2013","10","04","Brasil","Minas Gerais","Serro","Margem da estrada que liga Serro a Diamantina","-43.3793983459473","-18.604700088501","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547709","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","F. C. Hoehne",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493970' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Sw.) Lindl.",NA,"1934","08","02","Brazil","São Paulo","Taquaritinga",NA,"-48.5044","-21.4061",NA,NA,"31962","South America","sheet","NY00547709","NY00547709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02695360","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2970150' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Sw.) Lindl.","B. A. Krukoff","1933","06","05","Brazil","Amazonas",NA,"Basin of Rio Jurua; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,NA,"4727","South America","sheet","NY02695360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1031944","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","E. A. Christenson",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189564' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Sw.) Lindl.","G. Schaller","1980","08","15","Brazil","Mato Grosso do Sul","Miranda","Miranda Estancia, Pantanal.","-56.42","-19.95",NA,NA,"323","South America","sheet","NY01031944","NY01031944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","547708","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493989' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Sw.) Lindl.","J. S. Blanchet","1831",NA,NA,"Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,NA,"848","South America","sheet","NY00547708","NY00547708_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","547710","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","P. K. H. Dusén",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493967' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Sw.) Lindl.","P. K. H. Dusén","1912",NA,NA,"Brazil","Paraná",NA,"Alexandra","-48.631716","-25.548936",NA,NA,"14191","South America","sheet","NY00547710","NY00547710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","472118","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides","E. A. Christenson",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493968' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Sw.) Lindl.","D. C. Daly","1997","03","06","Brazil","Acre","Senador Guiomard","Basin of Rio Purus, Rio Iquiri, downstream from intersection with BR-364 highway.","-67.53","-10.07",NA,NA,"9259","South America","sheet","NY00472118","NY00472118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02695358","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2970147' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"(Sw.) Lindl.","C. A. Cid Ferreira","1980","09","09","Brazil","Pará","Oriximiná","rio Paru do Oeste, margem direita, lago Araçá, entre o rio Trombetas e cachoeira Pancada.","-55.8661003112793","-1.76556003093719","479450","auto","2330","South America","sheet","NY02695358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9102","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides",NA,"1972","11","27",NA,NA,NA,"(Sw.) Lindl.","Amaral Jr., A.","1972","08","14","Brasil","São Paulo","Birigui","Margem do Rio Tietê",NA,NA,NA,NA,"976",NA,NA,"BOTU009102",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","12988","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Ionopsis","utricularioides","Ionopsis utricularioides",NA,NA,NA,NA,NA,NA,NA,"(Sw.) Lindl.","Catâneo, A.C.","1985","09","02","Brasil","Distrito Federal","Brasília","Proximidade de Sobradinho","-47.666667","-15.916667",NA,NA,"137",NA,NA,"BOTU012988",NA,"47°40'w","15°55's",NA,NA,NA,NA,NA,NA,NA
