"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843429","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","G. G. Hatschbach","27399","1971","09","07","South America","Brazil","Minas Gerais","Diamantina","Guinda.","-43.6003","-18.2494","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2051700' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843429","NY01843429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","274850","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","imbricata","Vernonia imbricata","Chodat","E. Hassler","1861","1885",NA,NA,"South America","Paraguay",NA,NA,"Ad marginem silva prope [P..], Febr.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274850","NY00274850_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","274851","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Vernonia","imbricata","Vernonia imbricata","Gardner","G. Gardner","4751","1836",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274851","NY00274851_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:02-03","EAO","IAN","107901","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","Sch.Bip.","Magalhães, MG","17992","1960","08",NA,"Southern America","Brasil","Minas Gerais","Diamantina","Rupestre das Serra de Diamantina.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbustos de 0,30-0,40. Flor alva. Frequente.","IAN107901",NA,NA,"Barroso, GM","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:35:02-03","EAO","IAN","107900","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","Sch.Bip.","Magalhães, MG","17991",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Diamantina","Rupestre das Serras de Diamantina.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto cespitosos de 0,40-0,60m de altura, esparsos; flor rosea ou violácea, palida. Frequente.","IAN107900",NA,NA,"Barroso, GM","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-05-19 10:29:39-03","UFBA","ALCB","76418","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch. Bip.","Queiroz, LP de; Souza, ER de; Costa, J; Conceição, AS; Santos, MA dos","7573","2003","01","08","Southern America","Brasil","Minas Gerais","Diamantina","ca. 7km E de Diamantina na estrada para canto de Magalhães de Minas","-43.5625","-18.181667","1294","1294",NA,"20-40cm, bastante ramificado, formando pequenas almofadas. Folhas coriáceas. Capítulos com filários verdes e flores lilás-claras.",NA,NA,NA,"Cândido, JB",NA,NA,"2018","11","06","-43.5625","-18.181667",NA,NA,NA
"7","2021-01-14 15:24:27-03","MN","R","15288","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch. Bip.","Glaziou, A.F.M.","19551","1892","04","22",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000015288","R000015288_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:25:01-03","UNICAMP","UEC","193348","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Monge, M","1535","2013","02","22",NA,"Brazil","Minas Gerais","Serro",". Estrada Serro para Capivari. Próximo a estrada abandonada, com uma área semelhante a extração de quartzito.","-43.450611","-18.461806","1220","1220",NA,"Arbusto 30 cm de altura. Flores magenta.; campo rupestre, com muita areia e criatais de quartzo","UEC155559","UEC155559",NA,"Monge, M",NA,NA,NA,NA,NA,"-43.450611","-18.461806",NA,NA,NA
"9","2021-03-01 16:25:01-03","UNICAMP","UEC","195912","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Monge, M","1554","2013","02","22",NA,"Brazil","Minas Gerais","Serro",". Estrada para Capivari. Próxima a ao Pico do itambé.","-43.450611","-18.461806","1220","1220",NA,"Arbusto com cerca de 1 m de altura. Flores roxas.; No campo limpo perto das rochas","UEC155354","UEC155354",NA,"Monge, M",NA,NA,NA,NA,NA,"-43.450611","-18.461806",NA,NA,NA
"10","2020-12-21 16:16:56-03","MBM","MBM","103295","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","Sch. Bip.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","49776","1985","09","17","Southern America","Brazil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto, 50 cm, ramoso, capítulos liláses.; Campo rupestre, solo arenoso.","MBM103295","MBM103295",NA,"Loeuille, B.","101169","auto","2011",NA,NA,NA,NA,NA,NA,NA
