"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00916753","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","J. F. A. Baumgratz","W. R. Anderson","35510","1972","02","05","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, ca. 15 km S of Diamantina","-43.6897","-18.325","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916753","NY00916753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02816450","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"G. Martinelli","18182","2014","02","11","South America","Brazil","Minas Gerais","Diamantina","Vila de Galheiros. Campos rupestres sobre afloramentos rochosos.","-43.7975","-18.270556",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3101195' target='other'> <mi>dwc_moreinfo</mi></a>","NY02816450","NY02816450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916754","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","J. F. A. Baumgratz","G. G. Hatschbach","44719","1982","03","14","South America","Brazil","Minas Gerais","Diamantina","Rod. Guinda - Cons. Mata, km 17.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916754","NY00916754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02514344","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"G. Heiden","1638","2011","02","20","South America","Brazil","Minas Gerais",NA,"Brasil. Minas Gerais. Diamantina: Sopa. Estrada Guinda-São João da Chapada, ca. 2 km da igreja de Sopa","-43.7031","-18.1889","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2744223' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00916751","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","J. F. A. Baumgratz","W. R. Anderson","8969","1973","04","15","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 10 km by road SW of Rio Jequití and Mendanha on road to Diamantina","-43.56681","-18.16389",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916751","NY00916751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00916752","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","J. F. A. Baumgratz","H. S. Irwin","27911","1970","03","19","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 18 km E. of Diamantina","-43.5366667","-18.1838","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916752","NY00916752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1145599","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","J. R. Pirani","J. R. Pirani","5687","2007","01","23","South America","Brazil","Minas Gerais","Diamantina","Estrada Biribiri, ca. 4 km aquém de Biribiri.","-43.61494","-18.17036","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145599","NY01145599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02703348","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"J. R. Pirani","5846","2009","02","07","South America","Brazil","Minas Gerais","Diamantina","km 174 da MG220 na direção de Conselheiro Mata.","-43.8233","-18.3014","1300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3002176' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703348","NY02703348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00909966","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","J. F. A. Baumgratz","J. R. Pirani","3968","1998","01","14","South America","Brazil","Minas Gerais","Diamantina","Estrada para São João da Chapada.","-43.705","-18.1822","1140","1140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909966","NY00909966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","888032","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"G. G. Hatschbach","31637","1973","02","16","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00888032","NY00888032_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:18:19-03","UFV","VIC","45811","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"Hatschbach, G.; et al.","31637","1973","02","16",NA,"Brasil","Minas Gerais","Diamantina","Serra do Espinhaço.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arvoreta, 5m, pétalas alvas, estames e anteras amarelos. Mantinha junto a córrego rochoso.; Mantinha junto a córrego rochoso.; Arvoreta, 5m, pétalas alvas, estames e anteras amarelos.","VIC045811","VIC045811",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:39:22-03","UFJF","CESJ","44608","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"B.K.S. Franco","31637","1973","02","16","América do Sul","Brasil","Minas Gerais","Diamantina","Serra do Espinhaço","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arvoreta, 5m, pétalas alvas, estames e anteras amarelos. Matinha junto a córrego rochoso.&nf;ISOTYPUS","CESJ044608","CESJ044608","Isotypus","101169","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:33:58-03","UNICAMP","UEC","114554","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","Meireles, JE","Vitta, FA; Belinello, R","589","1999","02","10",NA,"Brazil","Minas Gerais","Diamantina","Estrada Conselheiro da Mata - Diamantina, Entre Km 175e 176, lado eaquerdo da estrada.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"No afloramento rochoso. Árvore 5m; pétalas brancas, passando a vermelhas quando velhas; filete e antera amarelos; estilete verde.","UEC050408","UEC050408",NA,"101169","auto","2012",NA,NA,NA,NA,NA,NA
"14","2019-08-16 08:40:02-03","UTFPR","HCF","8835","S","Plantae",NA,NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"G. Hatschbach","31637","1973","02","16",NA,"Brasil","MG","Diamantina","Serra do Espinhaço","-43.6002998352051","-18.2493991851807",NA,NA,NA,"arvoreta, 5 m, pétalas alvas, estames e anteras amarelos. Matinha junto a córrego rochoso. ISOTYPUS.",NA,NA,"Isótipo","101169","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:34:08-03","MBM","MBM","74215","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","Baumgratz, J.F.A.","Hatschbach, G.","44719","1982","03","14","Southern America","Brazil","Minas Gerais","Diamantina","Rodovia Guinda-Conselheiro Mata, km 17","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Pequena árvore, 5m, pétalas alvas, anteras amarelas. Encosta rochosa de morro; Pequena árvore, 5m, pétalas alvas, anteras amarelas.; Encosta rochosa de morro.","MBM074215","MBM074215","PARATYPE","101169","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:34:08-03","MBM","MBM","24223","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","Baumgratz, J.F.A.","Hatschbach, G.; Ahumada, Z.; Ahumada, Z.","31637","1973","02","16","Southern America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arvoreta, 5m, pétalas alvas, estames e anteras amarelas. Matinha junto a córrego rochoso; Arvoreta, 5m, pétalas alvas, estames e anteras amarelas.; Matinha junto a córrego rochoso.","MBM024223","MBM024223","HOLOTYPE","101169","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:38:07-03","UFMG","BHCB","181178","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz",NA,"Hatschbach, G; Ahumada, LZ","31637","1973","02","16","Southern America","Brasil","Minas Gerais","Diamantina","Serra do Espinhaço","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arvoreta, 5m. Pétalas alvas, estames e anteras amarelos; Matinha junto a córrego rochoso","BHCB035331","BHCB035331","Isotypus","101169","auto",NA,NA,NA,NA,NA,NA,NA
"18","2021-02-11 17:19:39-03","UFPR","UPCB","81615","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","Heiden, G.","Heiden, G.","1638","2011","02","20",NA,"Brasil","Minas Gerais","Diamantina","Sopa. Estrada Guinda-São João da Chapada, ca. 2 km da igreja de Sopa. Campo rupestre.","-43.703","-18.189","1250","1250",NA,"Arbusto, ca. 2m alt. Folhas verdes. Cálice verde. Corola alva, base ds pétalas avermelhada. Estames amarelos..","UPCB0012593","UPCB0012593",NA,NA,NA,"2011","02","17","-43.703","-18.189",NA,NA
"19","2021-02-11 17:19:39-03","UFPR","UPCB","81616","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","Pirani, J. R.","Pirani, J.R.","5846","2009","02","07",NA,"Brasil","Minas Gerais","Diamantina","Km 174 da Mg220 na direção de Conselheiro Mata. Elev. Ca. 1300m. Afloramento rochoso e várzea brejosa.","-43.823","-18.301",NA,NA,NA,"Arvoreta 5m alt., copa colunar, entre grandes blocos rochosos ao pé de um imenso inselberg, ao sol. Hipanto e sépalas verdes; pétalas alvas; estames e estilete amarelos..","UPCB0012595","UPCB0012595 UPCB0012595_1",NA,NA,NA,"2009",NA,NA,"-43.823","-18.301",NA,NA
"20","2021-02-23 16:20:39-03","UFPR","UPCB","97103","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","piranii","Huberia piranii","Baumgratz","Baumgratz, J. F .A.","Pirani, J. R. | Marcato, A. C. | Forzza, R. C. | Rapini, A. | Meguro, M.","3968","1998","01","14",NA,"Brasil","Minas Gerais","Diamantina","Estrada para São João da Chapada. Afloramento rochoso e campo rupestre.","-43.6002998352051","-18.2493991851807","1140","1140",NA,"Cerrado. Arvoreta ramosa 2 m alt. Heliófila, entre grandes rochas. Hipanto e sépalas verdes, pétalas brancas, anteras e filetes amarelos.","UPCB0047006",NA,NA,"101169","auto","2002",NA,NA,NA,NA,NA,NA
