"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","406974","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","A. Krapovickas","G. G. Hatschbach","22819","1969","11","05","South America","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406974","NY00406974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:12-03","UFRJ","RFA","10010","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","A. Krapovickas","G.G. Hatschbach","22819","1969","11","05",NA,"Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768","900","900",NA,"Subarbusto 50 cm de altura; flor rosada, anteras amarelas","RFA45042",NA,"1970","45291","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:25:22-03","PUCPR","HUCP","23374","S","Plantae","Eudicotiledonea",NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Barboza, E","Silva, JM","8664","2014","11","04",NA,"Brasil","Paraná","São José dos Pinhais","Rodovia BR 277","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"HUCP00013310","HUCP00013310",NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:02:39-03","FURB","FURB","48086","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Barboza, E","Silva, J.M.","8664","2014","11","04",NA,"Brasil","Paraná","São José dos Pinhais","Rodovia BR-277 , Próximo ao pedágio.","-49.0405555","-25.5508333","943","943",NA,NA,"FURB48086","FURB48086","2014",NA,NA,"11","19","-49.0405555","-25.5508333",NA,NA,NA
"5","2021-03-16 17:53:33-03","UCS","HUCS","41925","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Grings, M.","Verdi, M.","5720","2010","10","13",NA,"Brasil","Santa Catarina","São Bento do Sul","Minas de Caulin - APA Rio Vermelho / Humbold","-49.223889","-26.281944","995","995",NA,"FURB:33774; Ecótono FOD, estádio médio sucessão",NA,NA,"2019",NA,NA,"04","04","-49.223889","-26.281944",NA,NA,NA
"6","2019-08-16 08:39:58-03","UTFPR","HCF","19858","S","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","E. Barboza","J.M. Silva","8664","2014","11","04",NA,"Brasil","PR","São José dos Pinhais","Rodovia BR-277, próximo ao pedágio","-49.040556","-25.550833","943","943",NA,"subarbusto; flor lilás. Margem da rodovia.",NA,NA,"2014",NA,NA,"11","19","49°02'26 W","25°33'03 S",NA,NA,NA
"7","2019-12-26 15:11:32-03","UFSM","SMDB","19368","S","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Barboza, E","Silva, JM; Cordeiro. J.","8664","2014","11","04",NA,"Brasil","Paraná","São José dos Pinhais","Rodovia BR 277, próximo ao pedágio","-49.040556","-25.550833",NA,NA,NA,"Subarbusto, flor lilás. Margem da rodovia","SMDB019368",NA,"2014",NA,NA,"11","19","-49.040556","-25.550833",NA,NA,NA
"8","2020-12-21 16:33:24-03","MBM","MBM","393239","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Barboza, E.","Silva, J.M.; Cordeiro, J.; Cordeiro, J.","8664","2014","11","04","Southern America","Brazil","Paraná","São José dos Pinhais","Rodovia BR-277, próximo ao pedágio","-49.040556","-25.550833","943","943",NA,"Subarbusto; flor lilás.; Margem da rodovia.","MBM393239","MBM393239","2014",NA,NA,"11","19","-49.040556","-25.550833",NA,NA,NA
"9","2020-12-21 16:33:24-03","MBM","MBM","80328","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Hatschbach, G.","Hatschbach, G.","46353",NA,NA,NA,"Southern America","Brazil","Paraná","Quatro Barras","Borda do Campo","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"MBM080328","MBM080328",NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:33:24-03","MBM","MBM","12149","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Krapovickas, A.","Hatschbach, G.","22421",NA,NA,NA,"Southern America","Brazil","Paraná","Piraquara","Santa Maria","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"MBM012149","MBM012149",NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:33:24-03","MBM","MBM","12146","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Krapovickas, A.","Hatschbach, G.","22819",NA,NA,NA,"Southern America","Brazil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM012146","MBM012146",NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-02-11 17:19:30-03","UFPR","UPCB","8534","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Krapovickas, A.","Hatschbach, G.","22819","1969","11","05",NA,"Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768","900","900",NA,"Subarbusto, 50cm, flor rosada, anteras amarelas. Brejo..","UPCB0044219",NA,"1970","45291","auto","01","01",NA,NA,NA,NA,NA
"13","2021-02-11 17:19:30-03","UFPR","UPCB","8533","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Krapovickas, A.","Hatschbach, G.","22421","1969","10","11",NA,"Brasil","Paraná","Piraquara","Santa Maria","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Arbusto, 1m, flor rósea, base alvescente. Brejo..","UPCB0044187",NA,"1970","12577","auto","01","01",NA,NA,NA,NA,NA
"14","2009-07-09 17:05:00-03","MO","MOBOT","2458448","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.","Krapovickas, A.","Gert G. Hatschbach","Hatschbach 22819","1969","2","5","South America","Brazil","Paraná",NA,"São José dos Pinhais. Rio Pequeno",NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2706564","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.",NA,"G. Hatschbach","22421","1969","10","11","South America","Brazil","Paraná",NA,"Santa Maria (mun Piraquara).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"16","2020-09-12 05:00:02-03","US","US","2250491","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.",NA,"L. B. Smith & R. M. Klein","7386","1956","11","8","South America","Brazil","Santa Catarina","Campo Alegre","Pinheral, lower slopes of Moro Iquererim.","-49.2655982971191","-26.1924991607666","1000","1300",NA,NA,"US00098195","US00098195_01",NA,"37493","auto",NA,NA,NA,NA,"Dicotyledonae","1","Holotype"
"17","2020-09-12 05:00:02-03","US","US","2706135","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Monteiroa","smithii","Monteiroa smithii","Krapov.",NA,"G. Hatschbach","22819","1969","11","5","South America","Brazil","Paraná",NA,"Rio Pequeno (mun S Jose dos Pinhais)",NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
