"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","previousCatalogNumber","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","688565","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.","isotype","G. Gardner","4412","1836","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=862989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688565","NY00688565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686767","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"L. Riedel","s.n.",NA,"South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=842024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686767","NY00686767_01","C. H. L. Sastre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:46:12-03","EAO","IAN","31097","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"Gardner, A","4412",NA,"Southern America","Brasil",NA,NA,"IAN031097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:37:09-03","UNICAMP","UEC","104655","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"Sano, PT; Costa, FN; Arce, DV","550","1997",NA,"Brazil",NA,"árvore de 5m de altura, na margem do rio. Ramos e pecíolo vináceos. Corola amarela. Estames cremes. Frutos maduros castanhos.","UEC115661","UEC115661","Feres, FR","1998","05","10","20","Minas Gerais","Santana do Riacho","Serra do Cipó, Caminho para Cachoeira da Capivara.","-43.6","-19.283333","-43.6","-19.283333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:37:09-03","UNICAMP","UEC","12444","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"Silvestre, MSF","178","1978",NA,"Brazil",NA,"Arbusto, cerca de 2m de altura. Flores amarelas. Beira do rio.","UEC115662","UEC115662","Yamamoto, K",NA,NA,"11","03","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 126.","-43.733333","-19.533333","-43.733333","-19.533333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:37:09-03","UNICAMP","UEC","130523","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"Yamamoto, K; Kinoshita, LS; Simões, AO; Farias, R; Silva, RR; Scarpa, F; Siva, LF","56","2002",NA,"Brazil",NA,"Arbusto, 1m de altura, flores amarelas.; Campos rupestres.","UEC115665","UEC115665","Chacon, RG","2009","09","09","27","Minas Gerais","Santana do Riacho","Pico do Breu, Lapinha","-43.671389","-19.115833","-43.671389","-19.115833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:37:09-03","UNICAMP","UEC","104654","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"Furlan, A; Pirani, JR; Menezes, NL; Cordeiro, I; Rossi, L; Hensold, N","2552","1981",NA,"Brazil",NA,"Arbusto à baira de mata ciliar, de 2m de altura. Flores amarelas.","UEC115663","UEC115663","Sastre, CHL","1993",NA,"10","31","Minas Gerais","Biri-Biri","Estrada de Diamantina a 45 Km de Diamantina.","-43.6","-18.133333","-43.6","-18.133333","1135","1135",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:37:09-03","UNICAMP","UEC","97828","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"Duarte, AP","8541","1964",NA,"Brazil",NA,"Planta de mais ou menos 5m de altura.","UEC115664","UEC115664","Pereira, E","1965",NA,"11","22","Minas Gerais","Diamantina","Conta Magalhães.","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"9","2020-12-21 16:37:52-03","MBM","MBM","165638","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planchon",NA,"Furlan, A.; et al.; et al.","2552",NA,"Southern America","Brazil",NA,NA,"MBM165638","MBM165638","Sastre, C.",NA,NA,NA,NA,"Minas Gerais","Diamantina","Estrada Diamantina - Biri-biri, 4km de Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"10","2015-09-05 08:44:24-03","MNHN","RECOLNAT_MNHN_P","P04875651","PreservedSpecimen",NA,NA,NA,"Ochnaceae","Luxemburgia","angustifolia","Luxemburgia angustifolia","Planch.",NA,"Anderson, W.R.|Stieber, M.",NA,"1971",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04875651' target='other'> <mi>dwc_moreinfo</mi></a>","P04875651","P04875651_01",NA,NA,NA,"2","17","Minas Gerais",NA,"Serra do Cipó.",NA,NA,NA,NA,"1200","1300",NA,NA,"36099",NA,NA,NA,NA
