"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","10540","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","E. E. Neubert","1996","05","22","H. Boos Jr.; C. Heim","1995","12","18","Brasil","Santa Catarina","Blumenau","P.N.M.S. São Francisco de Assis.","-49.066389","-26.92","49º3'59''W","26º55'12''S","63","63","CRI003087","CRI003087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","603951","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","F. L. R. Filardi",NA,NA,NA,"R. Guillén","1994","06","11","Bolivia","Santa Cruz","José Miguel de Velasco","Campamento Toledo, a 1500 m al SW de la casa, yendo hacia el empalme del camino maderero","-61.15","-14.7",NA,NA,"180","180","NY00603951",NA,"Magnoliophyta","Fabales","1834","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727214' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","603883","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","W. Mantovani",NA,NA,NA,"J. C. Camargo","1966","03",NA,"Brazil","São Paulo","Sao Paulo","Sao Paulo, Sao Paulo, Jardim Botanico, Agua Funda. Coletado no arboreto atras da casa do Dr. Bicaldo","-46.63","-23.5403",NA,NA,NA,NA,"NY00603883","NY00603883_01","Magnoliophyta","Fabales","16","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757968' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02499397","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","F. L. R. Filardi",NA,NA,NA,"W. W. Thomas","2003","07","25","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR116, then 7.5 km W (at Pousada Corujao) to Embratel tower.","-40.1908","-13.9394",NA,NA,"835","835","NY02499397","NY02499397_01","Magnoliophyta","Fabales","13549","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=702804' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","603890","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","J. D. C. A. Ferreira",NA,NA,NA,"U. Pastore","1986","03","20","Brazil","Paraná",NA,"Mun. de Guaporema, periferia da cidade - norte. Folha SF.22-Y-C. Ponto 13","-52.77","-23.33",NA,NA,NA,NA,"NY00603890","NY00603890_01","Magnoliophyta","Fabales","45","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757974' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01054899","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","F. L. R. Filardi",NA,NA,NA,"J. G. Kuhlmann","1935","10","10","Brazil","Minas Gerais","Viçosa","Viçosa","-42.8817","-20.7542",NA,NA,NA,NA,"NY01054899","NY01054899_01","Magnoliophyta","Fabales","s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178047' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2480400","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel",NA,NA,NA,NA,"S. M. de Faria","1999","08","25","Brazil","Minas Gerais",NA,"Estr. da Torre 21 - Alegria do Sul",NA,NA,NA,NA,NA,NA,"NY02480400","NY02480400_01","Magnoliophyta","Fabales","1747","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706457' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","603891","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","H. C. de Lima",NA,NA,NA,"G. G. Hatschbach","1969","01","23","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"50","100","NY00603891","NY00603891_01","Magnoliophyta","Fabales","20891","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757975' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01132034","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel",NA,NA,NA,NA,"H. C. de Lima","1997","04","24","Brazil","Rio de Janeiro",NA,"Barra de São João, Guaxindiba, Fazenda São Pedro, Mata do Corvão.","-41.076","-21.37433",NA,NA,NA,NA,"NY01132034","NY01132034_01","Magnoliophyta","Fabales","5349","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287142' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01054870","PreservedSpecimen","Plantae","Fabaceae","Machaerium","brasiliense","Machaerium brasiliense","Vogel","C. V. Mendonça f°",NA,NA,NA,"G. G. Hatschbach","1997","11","23","Brazil","Minas Gerais","Conceição do Mato Dentro","Rod. MG-010, córrego Passa Sete","-43.4247","-19.0372",NA,NA,NA,NA,"NY01054870","NY01054870_01","Magnoliophyta","Fabales","67427","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178016' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
