"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00934219","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","A. G. Fernandes","E. P. Nunes","s.n.","1982","05","22","South America","Brazil","Ceará","Parambu","Faz. Pau Pulo, Parambú","-40.6942","-6.2111","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934219","NY00934219_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-21 19:35:39-03","UFC","EAC","56434","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Sampaio, V.S.","Ferreira, A.E.S.","27","2013","10","29","Southern America","Brasil","Ceará","Tururu","congl. 51, sub. 1, árv. 10H.&nf;Plantio de caju. Solo argiloso","-39.420006","-3.599997",NA,"Inventário Florestal Nacional - CE; Herbácea, presença de espinhos no fuste.&nf;Dups RB.","EAC0056434","EAC0056434","2014","01","28","-39.420006","-3.599997",NA,NA,NA,NA,NA,NA
"3","2021-03-21 19:35:39-03","UFC","EAC","60264","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Lima-Verde, L.W.","Miranda, R.R.; Gomes, F.M.","197","2016","04","26","Southern America","Brasil","Ceará","Sobral","Embrapa Caprinos e Ovinos, área após 5 anos de corte.","-40.339578","-3.763833",NA,"Erva, forma de vida caméfita, flor rosa.","EAC0060264","EAC0060264","2016","09","27","-40.339578","-3.763833",NA,NA,NA,NA,NA,NA
"4","2021-03-21 19:35:39-03","UFC","EAC","61397","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Lima-Verde, L.W.","Meneses, H.M.","203","2017","05","09","Southern America","Brasil","Ceará","Crateús","Centro Ecológico RPPN Serra das Almas","-40.866944","-5.1415",NA,"Meliponicultura: reintrodução de abelhas nativas sem ferrão em área de recuperação ambiental da RPPN Serra das Almas - CE.; Erva, flor rósea.","EAC0061397","EAC0061397","2017","09","01","-40.866944","-5.1415","311","311",NA,NA,NA,NA
"5","2021-03-21 19:35:39-03","UFC","EAC","1979","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Fernandes, A.","Fernandes, A.","EAC1979","1960","07","05","Southern America","Brasil","Ceará","Meruoca","Sítio Santo Antônio - Serra da Meruoca.","-40.4550018310547","-3.54167008399963",NA,"Erva subescandente.. Flor Rósea.","EAC0001979","EAC0001979",NA,NA,NA,NA,NA,NA,NA,"14054","auto",NA,NA
"6","2021-03-21 19:35:39-03","UFC","EAC","2064","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Fernandes, A.","Fernandes, A.","EAC2064","1961","01","06","Southern America","Brasil","Ceará","Meruoca","Sítio Santo Antônio - Serra da Meruoca.","-40.4550018310547","-3.54167008399963",NA,"Escandente; flor rósea.","EAC0002064","EAC0002064_1 EAC0002064_2",NA,NA,NA,NA,NA,NA,NA,"14054","auto","holotype",NA
"7","2021-03-21 19:35:39-03","UFC","EAC","2189","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Fernandes, A.","Fernandes, A.","EAC2189","1962","06","06","Southern America","Brasil","Ceará","Meruoca","Sítio Santo Antônio - Serra da Meruoca.","-40.4550018310547","-3.54167008399963",NA,"Sub-escandente..","EAC0002189","EAC0002189",NA,NA,NA,NA,NA,NA,NA,"14054","auto",NA,NA
"8","2021-03-21 19:35:39-03","UFC","EAC","11413","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Fernandes, A.; Bezerra, P.","Nunes, E.","EAC11413","1982","05","22","Southern America","Brasil","Ceará","Parambu","Fazenda Pau Preto.","-40.6944007873535","-6.21111011505127",NA,"Erva.. Flor Rósea.; Capoeira","EAC0011413","EAC0011413","1982","07","06",NA,NA,NA,NA,"45414","auto",NA,NA
"9","2021-03-21 19:35:39-03","UFC","EAC","6164","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.","Fernandes, A.","Parente, M.","s.n.","1979","05","05","Southern America","Brasil","Ceará","Sobral","BR 222, entre os Km 30 e 31, na margem de um açude.","-40.3497009277344","-3.68611001968384",NA,"Erva.","EAC0006164","EAC0006164","1979","05","16",NA,NA,NA,NA,"84289","auto",NA,NA
"10","2021-03-21 19:35:39-03","UFC","EAC","1873","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","niomarlei","Mimosa niomarlei","Afr.Fern.",NA,"Fernandes, A.","EAC1873","1959","05","17","Southern America","Brasil","Ceará","Baturité","Serra de Baturité","-38.8847007751465","-4.32860994338989",NA,"Erva rastejante.","EAC0001873","EAC0001873",NA,NA,NA,NA,NA,NA,NA,"35980","auto",NA,NA
