"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2016-09-28 14:41:00-03","NY","NYBG","406924","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","A. Krapovickas","28848","1976","01","22","South America","Argentina","Misiones","Dep. San Javier","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","406929","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","J. E. Leite","104","1941",NA,NA,"South America","Brazil","Rio Grande do Sul","Vicinity of Sao Leopoldo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406929","Magnoliophyta","(A.St.-Hil.) Fryxell","P. A. Fryxell","Sao Leopoldo","-51.143791","-29.75136","NY00406929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","406927","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","B. Rambo","34564","1947","01","05","South America","Brazil","Rio Grande do Sul","Bom Jesus","sheet","Legit et det.B.Rambo SJ <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406927","Magnoliophyta","(A.St.-Hil.) Fryxell","P. A. Fryxell","Bom Jesus","-50.4167","-28.6681","NY00406927_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","406928","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","B. Rambo","40389","1949","03","05","South America","Brazil","Rio Grande do Sul","Morro da Policia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406928","Magnoliophyta","(A.St.-Hil.) Fryxell",NA,"Porto Alegre","-51.23","-30.0331","NY00406928_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","406926","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","B. Rambo","40389","1949","03","05","South America","Brazil","Rio Grande do Sul","Morro da Policia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406926","Magnoliophyta","(A.St.-Hil.) Fryxell","P. A. Fryxell","Porto Alegre","-51.23","-30.0331","NY00406926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","406925","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","A. Krapovickas","14060","1968","02","19","South America","Brazil","Mato Grosso do Sul","22 km. de Ponta Pará, camino a Bela Vista.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406925","Magnoliophyta","(A.St.-Hil.) Fryxell",NA,"Ponta Porã","-55.7256","-22.5361","NY00406925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","406930","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","G. G. Hatschbach","15441","1966","12","14","South America","Brazil","Paraná","Estr. Palmas-Mangueirinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=113506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406930","Magnoliophyta","(A.St.-Hil.) Fryxell","P. A. Fryxell","Palmas","-51.9906","-26.4844","NY00406930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:59:27-03","NBC","NL-BOTANY","L.2367384","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","Pedersen TM",NA,"1960","02","16","Southern America","Argentina",NA,"Plantae Argentinae. Estancia,,Garruchos'. Dep. Santo Domé. Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2367384 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2367384",NA,"(A.St.-Hil.) Fryxell",NA,NA,NA,NA,"NL-L2367384","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:59:27-03","NBC","NL-BOTANY","L.2367385","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","Pedersen TM",NA,"1962","04","25","Southern America","Argentina",NA,"Plantae Agentinae. Estancia 'Santa María'. Dep. Mburucuyá. Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2367385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2367385",NA,"(A.St.-Hil.) Fryxell",NA,NA,NA,NA,"NL-L2367385","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:59:27-03","NBC","NL-BOTANY","U.1373161","PreservedSpecimen","Plantae","Malvales","Malvaceae","Krapovickasia","urticifolia","Krapovickasia urticifolia","Lindeman JC; Haas JH de",NA,"1966","12","13","Southern America","Brazil",NA,"Brasiliae australis, Est. Rio Grande do Sul, 5 km S. of Palmeira das Missoes. Campo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1373161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1373161",NA,"(A.St.-Hil.) Fryxell",NA,NA,NA,NA,"NL-U1373161","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
