"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","910441","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","R. M. Harley","25443","1988","10","30","South America","Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata, 6 km da estrada Curvelo-Diamantina.","-43.82","-18.27","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910441","NY00910441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:44:12-03","UFMG","BHCB","181291","PreservedSpecimen","Plantae","Monocotyledon",NA,"Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Siriani-Oliveira, S","41","2012","05","12","Southern America","Brasil","Minas Gerais","Jaboticatubas","Parque Nacional da Serra do Cipó, Trilha do Capão","-43.616806","-19.349167",NA,NA,NA,"Escapo áfilo; estiletes ligeirmente globosos nas porções superiores; anteras separadas entre si.; Cerrado. Área de solo úmido.","BHCB036352",NA,"-43.616806","-19.349167",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:54-03","FZB-BH","BHZB","9862","S","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis",NA,"Ordones, J. et al.","2135","2013","01","29",NA,"Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais","-43.717222","-19.033056","1355","1355",NA,"Folha cilíndrica, rizoma amarelo,Coletada em flor às 11:41.Ponto 103 635004 7895005 1355 m . Doação de duplicata para Herbário MG em Março de 2014.Doação de duplicata para Herbário SPF em março 2014.Anteriormente identificada como P. synandra Rav. ( A.G",NA,NA,"43W 43' 02","19S 01' 59","Juliana Lovo","2014","03","25",NA,NA,NA,NA
"4","2021-03-15 18:27:28-03","USP","SPF","210246","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Zappi, DC","1943","2009","03","09",NA,"Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Trilha da Senhorinha, primeiro platô.","-43.743075","-18.945079",NA,NA,NA,"Ervas solitárias bulbosas, frutos verdes.; Campo com solo de cascalho quartzítico.","SPF00210246",NA,"-43.743075","-18.945079","Zappi, DC","2010",NA,NA,NA,NA,NA,NA
"5","2021-03-15 18:27:28-03","USP","SPF","210257","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Zappi, DC","2533","2009","11","25",NA,"Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Capela de São José. Trilha da Senhorinha, caminho a Congonhas do Norte.","-43.737147","-18.960156",NA,NA,NA,"Ervas 30 cm alt., flores amarelo-alaranjadas.; Afloramento rochoso em campo limpo.","SPF00210257",NA,"-43.737147","-18.960156","Zappi, DC","2010","06",NA,NA,NA,NA,NA
"6","2021-03-15 18:27:28-03","USP","SPF","212567","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Lovo, J; Alcantara, SF; Paula-Lima, FB; Nascimento, LF","336","2012","03","12",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, Trilha para a Cachoeira do Gavião, próximo à cachoeira.","-43.554778","-19.336944","820","820",NA,"Vários indivíduos formando touceiras. Frutos verdes.","SPF00212567",NA,"-43.554778","-19.336944","Lovo, J","2012",NA,NA,NA,NA,NA,NA
"7","2019-11-13 11:20:28-03","USP","SPF","209453","PreservedSpecimen","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Ordones, J; et al.","2135","2013","01","29",NA,"Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais, Ponto 103.","-43.7144012451172","-19.1688995361328","1355","1355",NA,"Coordenadas: 635004, 7895005","SPF00209453",NA,NA,NA,"Lovo, J","2014","04",NA,"26557","auto",NA,NA
"8","2019-10-07 09:19:46-03","UEFS","HUEFS","133047","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Silva, U.C.S.","34","2008","01","26",NA,"Brasil","Minas Gerais","Serra do Cipó","Lapinha de Cima, Fazenda Vista Alegre.","-43.686111","-19.096111","1161","1161",NA,NA,"HUEFS0133047","HUEFS0133047","43W41'10''","19S5'46''","H.Huaylla","2012","05",NA,NA,NA,"Lilianae",NA
"9","2019-10-07 09:19:46-03","UEFS","HUEFS","149506","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Cardoso, D.","2596","2009","04","27",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros. Sede do IBAMA.","-47.790556","-14.167778","1009","1009",NA,"Campo limpo de cerrado.","HUEFS0149506","HUEFS0149506","47W47'26''","14S10'4''","H.Huaylla","2012","06",NA,NA,NA,"Lilianae",NA
"10","2020-04-15 17:20:07-03","IBt","SP","253571","S","Plantae",NA,NA,"Iridaceae","Pseudotrimezia","gracilis","Pseudotrimezia gracilis","Chukr","Cavalcanti, TB","CFSCs.n.","1987","09","08",NA,"Brasil","Minas Gerais","Santana do Riacho","Chapada das Bandeirinhas","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
