"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:34:00-03","UNESC","CRI","11493","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees","Aline Votri Guislon","2014","02","07","Aline Votri Guislon; Humberto de Bona Martins e Guilherme Alves Elias","9","2014","02","06","Brasil","Santa Catarina","Urussanga","Rio Caeté.","-49.378333","-28.565278","49º22'42''W","28º33'55''S","173","173","Floresta Ombrófila Densa Submontana Habitat: mata ciliar Habito: herbácea terrícola","CRI007225","CRI007225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","786868","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786868","NY00786868_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","786866","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees",NA,NA,NA,NA,"F. C. Hoehne","s.n.","1915",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786866","NY00786866_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","786867","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees",NA,NA,NA,NA,"M. A. Chase","8430","1925","02","12","Brazil","Rio de Janeiro",NA,"Camino dos Macacos (Jardim Botanico to Alta Boa Vista), vicinity of Rio de Janeiro",NA,NA,NA,NA,"100","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786867","NY00786867_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","786869","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees",NA,NA,NA,NA,"J. J. Wurdack","1895","1962","09","08","Peru","Amazonas","Bagua","Rainforest along Quebrada Miraná (above Km. 277 of Marañon road), valley of Río Marañon above Cascadas de Mayasi",NA,NA,NA,NA,"450","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786869",NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","786865","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees",NA,NA,NA,NA,"S. A. Mori","11577","1979","03","15","Brazil","Bahia",NA,"Rodovia BA - 265, trecho Caatiba/Barra do Choça, a 6km a W de Caatiba",NA,NA,NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786865","NY00786865_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","786862","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees","G. Davidse",NA,NA,NA,"R. Callejas Posada","1974","1983","12","30","Brazil","Bahia","Ilhéus","Area do CEPEC, km ww da Rodovia Ilhéus/Itabuna (BR 415). Quadra D","-39.22095","-14.7739696",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786862","NY00786862_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1419243","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees","G. Davidse",NA,NA,NA,"M. M. M. Lopes","1287","2007","04","19","Brazil","Bahia","Almadina","Serra do Corcovado. 9,8 km ao SW de Coarací na estrada para Almadina, daí N ate a Fazenda São José. Proprietario Senhor Francisco. Parte alta da enconsta","-39.6033","-14.7058",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1520708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419243","NY01419243_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02634123","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees",NA,NA,NA,NA,"T. C. Plowman","8646","1980","02","10","Brazil","Pará","Conceição do Araguaia","Range of low hills ca. 20 km west of Redenção, near Corrego São João and Troncamento Santa Teresa.","-50.17","-8.05",NA,NA,"350","620","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2926926' target='other'> <mi>dwc_moreinfo</mi></a>","NY02634123","NY02634123_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","786864","PreservedSpecimen","Plantae","Poaceae","Streptochaeta","spicata","Streptochaeta spicata","Schrad. ex Nees",NA,NA,NA,NA,"C. E. Calderón","2193","1972","03","31","Brazil","Bahia","Santa Cruz Cabrália","Reserva Biológica Pau Brasil (C.E.P.L.A.C.): 16 km W of Pôrto Seguro","-39.18","-16.38",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=513803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00786864","NY00786864_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
