"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","identifiedBy","recordNumber","locality","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","sex","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:25:16-03","UNESC","CRI","467","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia","(Bojer ex Hook.) Raf.","V. Citadini-Zanette; F. E. Marcomin","1990","01","18","Brasil","Santa Catarina","Tubarão","-49.0075","-28.467222","49º0'27''W","28º28'2''S","9","9","CRI002878","CRI002878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02687046","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia","(Bojer ex Hook.) Raf.","C. E. O. Kuntze","1892","07",NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"NY02687046","NY02687046_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2965290' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 13:12:00-03","NY","NYBG","470709","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia",NA,"R. X. Lima","1993","12","12","Brazil","Paraná","Guaraqueçaba","-48.32","-25.27",NA,NA,NA,NA,"NY00470709","NY00470709_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44540' target='other'> <mi>dwc_moreinfo</mi></a>","R. X. Lima","1993","Ponta do Morretes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-28 13:12:00-03","NY","NYBG","470708","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia",NA,"I. Silberbauer-Gottsberger","1970","11","20","Brazil","São Paulo","Botucatu","-48.4397","-22.88",NA,NA,NA,NA,"NY00470708","NY00470708_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44541' target='other'> <mi>dwc_moreinfo</mi></a>","R. C. Barneby","834","18 km North of Botucatu, 12 km East of Sao Manuel, along the Sao Manuel-Piracicaba highway, near of the river Araguá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 13:12:00-03","NY","NYBG","470711","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia",NA,"I. Schiavini","1987","10","23","Brazil","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,"NY00470711","NY00470711_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44548' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"148","Campus Umuarama, Universidade Federal de Uberlandia.","58223","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02687047","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia","(Bojer ex Hook.) Raf.","C. E. O. Kuntze","1892","07",NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"NY02687047","NY02687047_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2965291' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1161795","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia","(Bojer ex Hook.) Raf.","S. Tsugaru",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"NY01161795","NY01161795_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371398' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"B-270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 13:12:00-03","NY","NYBG","470710","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia",NA,"W. Hoehne","1951","10","28","Brazil","São Paulo","Jales","-50.54","-20.2603",NA,NA,NA,NA,"NY00470710","NY00470710_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02687045","PreservedSpecimen","Plantae","Fabaceae","Delonix","regia","Delonix regia","(Bojer ex Hook.) Raf.","C. Batista","1981","10","15","Brazil","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,"NY02687045","NY02687045_01","Magnoliophyta","Fabales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2965289' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20","Campus da Universidade de Brasília, próximo ao Departamento de Desenho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-11 10:01:16-03","UNIVASF","HVASFW","194","S","Plantae","Fabaceae","Delonix","regia","Delonix regia","(Bojer ex Hook.) Raf.","H.L.C. Silva","2012","01","03","Brasil","Pernambuco","Petrolina","-40.501556","-9.3905","-40.501556","-9.390500","373","373","HVASFW000194",NA,NA,NA,"América do Sul",NA,"Árvore cortada pela Prefeitura de Petrolina. DNS 30,09cm. Cerne e Alburno monocromáticos, de coloração clara, anéis de crescimento visíveis. Ritidoma marrom, ca. de 1,3 cm espessura. Madeira moderadamente macia ao corte. Porção mediana do tronco.","D.P. Souza","68","Ávenida Tancredo Neves, S/ Nº, Centro, residência em frente a Compesa",NA,NA,"2012","01","16","U",NA,NA,NA,NA
"11","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG874","S","Plantae","Fabaceae","Delonix","regia","Delonix regia",NA,"Fonseca S.; Nunes C.","1994","04","15","Brasil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ornamental.","Fonseca S.; Nunes C.",NA,"Belo Horizonte; planta rudera","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA
