"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00979898","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Peltogyne","maranhensis","Peltogyne maranhensis","Huber ex Ducke","M. F. da Silva","W. A. Ducke","279","1936","06","12","South America","Brazil","Mato Grosso","Rio Novo affluente do Jamary","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979898","NY00979898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00979899","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Peltogyne","maranhensis","Peltogyne maranhensis","Huber ex Ducke","M. F. da Silva","W. A. Ducke","225","1936","06","12","South America","Brazil","Mato Grosso","Rio Novo affluente do Jamary","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979899","NY00979899_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:37-03","UFRJ","RFA","10219","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Peltogyne","maranhensis","Peltogyne maranhensis","Huber ex Ducke",NA,"A. Ducke",NA,"1942","07",NA,NA,"Brasil","Pará",NA,NA,NA,"RFA10500",NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:41:06-03","EAO","IAN","153274","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Peltogyne","maranhensis","Peltogyne maranhensis","Huber ex Ducke","Rosa, NA","Lacerda, P; Guedes, TN","139","1969","09",NA,"Southern America","Brasil","Pará","Ilha do Marajó - Vila de Macará e Salvaterra. Margem do Rio Quió.",NA,NA,"IAN153274",NA,NA,"1981","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:41:06-03","EAO","IAN","50668","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Peltogyne","maranhensis","Peltogyne maranhensis","Huber ex Ducke","Silva, MF da","Ducke, A","2256","1949","09","26","Southern America","Brasil","Maranhão","Granja Barreto, capoeirão, em lugar alto.",NA,NA,"IAN050668",NA,"São Luis","1975",NA,"-44.3027992248535","-2.52972006797791","33693","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:41:06-03","EAO","IAN","78150","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Peltogyne","maranhensis","Peltogyne maranhensis","Huber ex Ducke","Silva, MF da","Ducke, A","28550","1952","11","03","Southern America","Brasil","Maranhão","Granja Barreto, terra firme, alta, mata primitiva.",NA,NA,"IAN078150",NA,"São Luis","1975",NA,"-44.3027992248535","-2.52972006797791","33693","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:41:06-03","EAO","IAN","38168","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Peltogyne","maranhensis","Peltogyne maranhensis","Huber ex Ducke","Silva, MF da","Ducke, A","2175","1948","10","25","Southern America","Brasil","Maranhão","Granja Barreto, viveiro de aves.",NA,NA,"IAN038168","IAN038168 IAN038168_e","São Luis","1975",NA,"-44.3027992248535","-2.52972006797791","33693","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:07:54-03","NBC","NL-BOTANY","U 0003296","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Peltogyne","maranhensis","Peltogyne maranhensis","Ducke","Silva MF da",NA,NA,"1909","07","10","Southern America","Brazil","Maranhão","Pedreiras (civit. Maranhao)",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003296 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003296","NL-U0003296",NA,"1975","10",NA,NA,NA,NA,"Magnoliopsidae","01","isotype","84582",NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:07:54-03","NBC","NL-BOTANY","U 0278255","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Peltogyne","maranhensis","Peltogyne maranhensis","Ducke",NA,"IBDF/Brasilia",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200278255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0278255",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,"Uw31078",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:07:54-03","NBC","NL-BOTANY","U.1316942","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Peltogyne","maranhensis","Peltogyne maranhensis","Ducke",NA,"Ducke A",NA,"1936","06","16","Southern America","Brazil",NA,"Rio Novo affl. Rio Jamary affl. Rio Madeira (Mato Groso), silva non inundabili.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1316942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1316942","NL-U1316942",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
