"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","decimalLongitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","typeStatus","locality","imagecode"
"1","2021-01-14 15:23:33-03","MN","R","231823","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Alves, R.J.V.","7040","2002","06","30","Brasil","Espírito Santo","Vitória","-20.5158","29°19.124W","20°30.948'S","479","479","R010033140,R010033141",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:23:33-03","MN","R","231953","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Alves, R.J.V.","7039","2002","06","29","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,"R010036025,R010036026,R010036027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:36:07-03","MN","R","231805","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Alves, R.J.V.","8040 2","2010","03","22","Brasil","Espírito Santo","Vitória","-20.3194007873535",NA,NA,NA,NA,"R010033567","-40.3377990722656","15291","auto",NA,NA,NA,NA,NA,NA
"4","2020-06-29 09:29:17-03","UFRRJ","RBR","28433","S","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","J. Becker","26","1959","01","00","Brasil","Espírito Santo","Trindade",NA,NA,NA,NA,NA,"RBR00028433",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-23 13:21:53-03","MN","R-TIPOS","180523d","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Becker, J.","s.n.","1965","12","13","Brasil","Espírito Santo","Vitória","-20.5","29°20'W","20°30'S","600","600","R000180523d","-29.333333",NA,NA,"Brade, A.C.","1966","07","Isotypus","Ilha da Trindade","R000180523d_001"
"6","2021-02-23 13:21:53-03","MN","R-TIPOS","180523c","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Becker, J.","s.n.","1965","12","13","Brasil","Espírito Santo","Vitória","-20.5","29°20'W","20°30'S","600","600","R000180523c","-29.333333",NA,NA,"Brade, A.C.","1966","07","Isotypus","Ilha da Trindade","R000180523c_001"
"7","2021-02-23 13:21:53-03","MN","R-TIPOS","180523b","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Becker, J.","s.n.","1965","12","13","Brasil","Espírito Santo","Vitória","-20.5","29°20'W","20°30'S","600","600","R000180523b","-29.333333",NA,NA,"Brade, A.C.","1966","07","Isotypus","Ilha da Trindade","R000180523b_001"
"8","2021-02-23 13:21:53-03","MN","R-TIPOS","180523a","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Becker, J.","s.n.","1965","12","13","Brasil","Espírito Santo","Vitória","-20.5","29°20'W","20°30'S","600","600","R000180523a","-29.333333",NA,NA,"Brade, A.C.","1966","07","Isotypus","Ilha da Trindade","R000180523a_001"
"9","2021-02-23 13:21:53-03","MN","R-TIPOS","180523","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Becker, J.","s.n.","1965","12","13","Brasil","Espírito Santo","Vitória","-20.5","29°20'W","20°30'S","600","600","R000180523","-29.333333",NA,NA,"Brade, A.C.","1966","07","Isotypus","Ilha da Trindade","R000180523_001"
"10","2021-02-23 13:21:53-03","MN","R-TIPOS","180523e","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Becker, J.","s.n.","1965","12","13","Brasil","Espírito Santo","Vitória","-20.5","29°20'W","20°30'S","600","600","R000180523e","-29.333333",NA,NA,"Brade, A.C.","1966","07","Isotypus","Ilha da Trindade","R000180523e_001"
"11","2021-02-23 13:21:53-03","MN","R-TIPOS","180522","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","beckeri","Asplenium beckeri","Brade","Becker, J.","26","1959","01",NA,"Brasil","Espírito Santo","Vitória","-20.3194007873535",NA,NA,"600","600","R000180522","-40.3377990722656","15291","auto","Brade, A.C.","1966","07","Isoparatypus","Ilha da Trindade","R000180522_001"
