"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","county","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4177014","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","R. L. Liesner","12059","1981","05","17","South America","Venezuela","Sucre","Peninsula de Araya, 20 km northwest of Cariaco by air; 2 km west of corner where road from Cariaco to Chacopata meets ocean","-63.67","10.63","1","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500153' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","970558","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","G. O. A. Malme","II2567","1903","11","04","South America","Brazil","Mato Grosso","Cuiabá.","-56.043867","-15.612755",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970558","R. E. Woodson Jr.","Cuiabá","NY00970558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4177021","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","J. A. Steyermark","62846","1945","05","21","South America","Venezuela","Sucre","along quebrada and hot springs at La Toma, Municipio San Juan, southeast of Cumaná, between San Juan and Cumaná",NA,NA,"40",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500160' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177021",NA,"Sucre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4176998","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","J. A. Steyermark","108050","1973","09","11","South America","Venezuela","Sucre","Peninsula de Manare: Lomas bosqueadas en el lado Occidental de la parte Sur, al Sur de Punta El Sombrero",NA,NA,NA,"25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500137' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4176978","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","G. S. Bunting","11744","1982","10","01","South America","Venezuela","Zulia","Límites entre Dtto. Maracaibo y Urdaneta: carretera Maracaibo-Perijá, en km. 38 de la vía, en bosque deciduo",NA,NA,"100","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500117' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4177029","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","J. A. Steyermark","108095","1973","09","09","South America","Venezuela","Sucre","Isla Los Venados: lado Occidental, laderas pendientes pedregosas, con bosque tropófilo, Sur de Playa Las Barracas Azules",NA,NA,NA,"30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500168' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","970556","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","G. T. Prance","s.n.","1979","06",NA,"South America","Brazil","Mato Grosso","Pantanal. Rio Paraguai. Fazenda Acurizal. Plot B; Tree No. 1.","-57.53","-17.87",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970556","W. Marcondes-Ferreira",NA,"NY00970556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4176977","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","G. S. Bunting","11847","1982","10","19","South America","Venezuela","Zulia","a lo largo de una vía con rumbo al norte, entre km 13 (al este del Puente sobre el Lago) de la carretera Maracaibo-Los Puertos de Altagracia, y Los Crespos, en zona de bosque seco ahora bien alterado",NA,NA,"50","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500116' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176977",NA,"Miranda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4177030","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","P. E. Berry","3750","1981","05","27","South America","Venezuela","Miranda","Bosque deciduo costero, bordeando Laguna Grande, área del terminal planeado según Proyecto S.A.A.M (LAGOVEN). Dtto. Brión","-66.07","10.55",NA,"30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500169' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4177009","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","H. Pittier","9042","1920","08","15","South America","Venezuela","Carabobo","Vicinity of Valencia",NA,NA,"400","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500148' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","440240","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","P. von Luetzelburg","209","1912",NA,NA,"South America","Brazil","Bahia",NA,"-39.039072","-15.159747",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440240","R. E. Woodson Jr.",NA,"NY00440240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4176983","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","J. J. Wurdack","41233","1956","01","13","South America","Venezuela","Bolívar","on open northermost slopes. Cerro Baraguan and vicinity",NA,NA,"100","330","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500122' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4176985","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","J. A. Steyermark","96467","1966","08","24","South America","Venezuela","Portuguesa","selva tropófila sobre peñasco calcáreo, 5 km. este-noreste de Agua Blanca, 22 km norested de Acarigua",NA,NA,"190",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500124' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","970553","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","M. C. D. Macedo","0053","2002","05","12","South America","Brazil","Minas Gerais","Mata do José Souza. Campina Verde.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970553","S. F. Smith",NA,"NY00970553_01 NY00970553_02 NY00970553_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","970551","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","V. C. França","s.n.","1957","11",NA,"South America","Brazil","Ceará",NA,"-40.7189","-4.5419",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970551","J. V. Monachino","Ipueiras","NY00970551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4177036","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","F. J. Ortega","1693","1983","04","23","South America","Venezuela","Portuguesa","en el limite con el Ddo. Barinas, área inundada de la represa del Rio Boconó",NA,NA,"200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500175' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177036",NA,"Guanare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","4177027","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","G. S. Bunting","7608","1979","05","19","South America","Venezuela","Zulia","en las orillas de la Represa Burro Negro, cerca del km. 73 de la carretera Lara-Zulia, en bosque semi-deciduo",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500166' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177027",NA,"Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","4176986","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","cuspa","Aspidosperma cuspa","(Kunth) S.F.Blake ex Pittier","J. A. Steyermark","108526","1973","09","15","South America","Venezuela","Sucre","Bosque tropófilo enano y seco, lado Oriental de la carretera 4 Kms. al Suroeste de Gamero, entre la Quebrada Elvira en el Cerro La Europa y Quebrada Buena Vista, ca. 20 Kms. Sureste de Cumaná",NA,NA,"40","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500125' target='other'> <mi>dwc_moreinfo</mi></a>","NY04176986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
