"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","229686","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","S. A. Mori","A. Acosta M.","54","1968","12","23","South America","Peru","Madre de Dios","Tambopata","Dist. Tambopata. Km 12.5 carretera Maldonado-Quincemil.","-69.18","-12.6","270","270","sheet","This tree, given field number 7-MD, was visited periodically to obtain complete herbarium material which was determined and distributed by Field Museum of Natural History. The tree was then felled to obtain wood specimens for testing and distribution by U. S. Forest Products Laboratory. The material was collected by Servicio Forestal y de Caza, Lima, Peru, under U. S. Public Law 480, Proj. S8-FS-1 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229686","NY00229686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","229666","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","M. H. Nee","M. H. Nee","31683","1985","08","31","South America","Bolivia","Pando","Manuripi","Along Rio Madre de Dios, 2 km W of Humaita.","-68.28","-12.02","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229666","NY00229666_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","229665","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","G. T. Prance","G. T. Prance","P25783","1977","11","26","South America","Brazil","Pará",NA,"BR 163, km 1430, Cuiabá-Santarém Highway","-55.9144717","-4.5477173",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","229653","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","S. A. Mori","M. A. de Freitas","610","1991","03","04","South America","Brazil","Amazonas",NA,"10 km leste de Manaus.","-59.8850886","-3.0479568",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229653","NY00229653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","229715","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","S. A. Mori","J. C. Solomon","16922","1987","06","04","South America","Bolivia","La Paz","Abel Iturralde","Siete Cielos, Rio Manupare.","-67.62","-12.45","180","180","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229715","NY00229715_01 NY00229715_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","229654","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","S. A. Mori","M. A. de Freitas","593","1991","01","14","South America","Brazil","Amazonas",NA,"10 km leste de Manaus. Proprietário Edimilson","-59.8850886","-3.0479568",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229654","NY00229654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","229710","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","S. A. Mori","I. L. do Amaral","1300","1983","05","18","South America","Brazil","Pará","Itaituba","Estrada Santarém-Cuiabá, BR 163, km 1208, Serra Mazi, sul do Pará.","-55.67","-5.92",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=871192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229710","NY00229710_01 NY00229710_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","229724","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","G. T. Prance","G. T. Prance","25385","1977","11","14","South America","Brazil","Pará",NA,"BR 163, km 1004; Cuiabá-Santarém.","-55.2036273","-7.7548882",NA,NA,"separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229724","NY00229724_01 NY00229724_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","229747","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","G. T. Prance","J. C. Solomon","6181","1981","09","07","South America","Bolivia","El Beni","Vaca Díez","3.3 km from the road between Riberalta and Guayaramerín on old road to Cachuela Esperanza, ca 18 km E of Riberalta.","-65.83","-11.08","230","230","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229747","NY00229747_01 NY00229747_02 NY00229747_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","235283","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Bertholletia","excelsa","Bertholletia excelsa","Bonpl.","G. T. Prance","W. J. Burchell","9226","1828","03","24","South America","Brazil","Pará",NA,"Arroyos (Arroio)","-49.4","-3.95",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00235283","NY00235283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
