"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","497185","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Linaceae","Linum","formosum","Linum formosum","Urb.","R. Mildner","A. F. M. Glaziou","15835","1887","01","22","South America","Brazil","Rio de Janeiro","Petrópolis","Haut des Orgaos, par Caxambú de Petropolis","-43.1783","-22.505","sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497185","NY00497185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:12-03","ESALQ","ESA","69308","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Linaceae","Linum","formosum","Linum formosum","Urban","Franco, G.A.D.C.","Xavier, S. ; Caetano, E.","242.0","1991","10","29",NA,"Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,"ESA069308","ESA069308","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:25-03","MN","R","7776","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","formosum","Linum formosum","Urb.","Mildner, R.","Glaziou, A.F.M.","3744","1869","05","27",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007776","R000007776_001",NA,NA,"1971","03","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:31:25-03","MN","R","122746","PreservedSpecimen","Plantae",NA,NA,"Linaceae","Linum","formosum","Linum formosum","Urb.","Mildner, R.","Smith, L.B. 7375; Klein, R.M.",NA,"1956","11","08",NA,"Brasil","Santa Catarina","Campo Alegre",NA,"-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"37493","auto","1971","03","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:34:17-03","IAP","PACA-AGP","60101","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Linaceae","Linum","formosum","Linum formosum","Urb.","Emrich-Rambo","Rambo, B.",NA,"1957","01","22",NA,"Brasil","SC",NA,"Campo dos Padres",NA,NA,NA,"Habitat: in humidis dumetosis Fenofase: flor e fruto","PACA060101",NA,NA,NA,"1957","05","01","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:34:17-03","IAP","PACA-AGP","55943","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Linaceae","Linum","formosum","Linum formosum","Urb.","Emrich-Rambo","Rambo, B.",NA,"1954","11","03",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"Habitat: in dumetosis Fenofase: flor e fruto","PACA055943",NA,"76715","auto","1955","04","10","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:34:17-03","IAP","PACA-AGP","54496","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Linaceae","Linum","formosum","Linum formosum","Urb.","B. Rambo","Rambo, B.",NA,"1953","11","13",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"SEM MATERIAL. Habitat: in campestribus dumetosis Fenofase: flor","PACA054496",NA,"76715","auto","1954","08","18","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:34:17-03","IAP","PACA-AGP","49301","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Linaceae","Linum","formosum","Linum formosum","Urb.","Emrich-Rambo","Rambo, B.",NA,"1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"Habitat: in campestribus dumetosis humidis Fenofase: flor e fruto semievoluto","PACA049301",NA,"76715","auto","1954","08","18","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:34:17-03","IAP","PACA-AGP","54067","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Linaceae","Linum","formosum","Linum formosum","Urb.","Emrich-Rambo","Rambo, B.",NA,"1953","02","20",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"Habitat: in alte graminosis Fenofase: flor e fruto","PACA054067",NA,"76715","auto","1954","08","18","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:34:17-03","IAP","PACA-AGP","50937","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Linaceae","Linum","formosum","Linum formosum","Urb.","Emrich-Rambo","Sehnem, A.","5179","1950","12","19",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"Habitat: in campestribus dumetosis","PACA050937",NA,"76715","auto","1954","08","18","Magnoliopsida","1000","1000",NA,NA,NA,NA,NA,NA
