"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","486956","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","S. F. Smith","G. G. Hatschbach","18998","1968","04","10","South America","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:20:09-03","ESALQ","ESA","13958","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta",NA,NA,"Hatschbach, G.","18998.0","1968","04","10",NA,"Brasil","Paraná","Guaraqueçaba",NA,"-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"ESA013958","37295","ESA013958","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:42:16-03","UNICAMP","UEC","174970","S","Plantae","Magnoliopsida",NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","Padij, R","Perdiz, RO","405","2009","06","17",NA,"Brazil","Bahia","Camacan","Trilha da Bapeba. Em direção à parcela 1 do projeto de Fitossociologia.","-39.565278","-15.391667","835","835",NA,"Árvore 10 m de altura. Folhas verdes discolores. Frutos verdes.; Floresta ombrófila densa.","UEC029748",NA,"UEC029748",NA,"2009","07","-39.565278","-15.391667",NA,NA,NA,NA,NA
"4","2019-08-20 10:27:11-03","UNICAMP","UEC","63491","S","Plantae","Magnoliopsida",NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","Smith, S","Hatschbach, G; Koczicki, C","18998","1968","04","10",NA,"Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076","50","50",NA,"flor, Árvora 20m, tronco 40cm de diâmetro, casca e madeira inododra, cor creme clara. Flor esverdeada. Ramos frágeis. Mata pluvial, encosta de morro.",NA,"37295",NA,"auto","1985",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:46:08-03","MBM","MBM","172132","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand ex Char.","Smith, S.F.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","61528",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal","-41.1347007751465","-20.3397006988525",NA,NA,NA,NA,"MBM172132","15909","MBM172132","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:21:54-03","UFPR","UPCB","56269","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","Guimarães, O.A.","Borges, R.A.X.","303","2006","12","09",NA,"Brasil","Bahia","Camacã","RPPN Serra Bonita, 9,7km W de Camacã na estrada para Jacareí, daí 6km SW na estrada para a RPPN e Torre da Embratel","-39.565278","-15.391667","900","1000",NA,"Arvoreta 5m, folhas leve discolores, frutos verdes. Em borda de mata. Floresta ombrófila densa montana..",NA,NA,NA,NA,"2007","04","-39.565278","-15.391667","27",NA,NA,NA,NA
"7","2021-02-11 17:21:54-03","UFPR","UPCB","56270","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","Guimarães, O.A.","Borges, R.A.X.","305","2006","12","09",NA,"Brasil","Bahia","Camacã","RPPN Serra Bonita, 9,7km W de Camacã na estrada para Jacareí, daí 6km SW na estrada para a RPPN e Torre da Embratel","-39.565278","-15.391667","900","1000",NA,"Arvoreta 4m, folhas leve discolores, fruto verde, nigrescente quando maduro. Interior da mata. Floresta ombrófila densa montana..",NA,NA,NA,NA,"2007","04","-39.565278","-15.391667","27",NA,NA,NA,NA
"8","2021-02-11 17:21:54-03","UFPR","UPCB","56264","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","Guimarães, O.A.","Lopes, M.M.M.","1029","2006","08","11",NA,"Brasil","Bahia","Camacã","RPPN Serra Bonita, 9,7km W de Camacã na estrada para Jacareí, daí 6km SW na estrada para a RPPN, trilha do Mirante","-39.565278","-15.391667","850","850",NA,"Árvore ca. 8m, folhas discolores, frutos imaturos verde-claros. Floresta ombrófila densa montana..",NA,NA,NA,NA,"2007","04","-39.565278","-15.391667","27",NA,NA,NA,NA
"9","2021-02-11 17:21:54-03","UFPR","UPCB","53553","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","Jardim, A.","Amorim, A.M.","4799","2005","02","07",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada, 13,7km de Barro Preto, 14°46'13S 39°12'10W","-39.4714012145996","-14.809700012207","600","900",NA,"Arvoreta ca. 6m, folhas alvo discolores, fruto imaturo verde..",NA,"17116",NA,"auto","2005","11",NA,NA,"18",NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","1234045","PreservedSpecimen","Plantae",NA,"Ebenales","Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand",NA,"-. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia. n. v.",NA,NA,NA,NA,NA,NA,"US03135812",NA,"US03135812_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
