"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","day","fieldNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","68537","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner","isotype","G. Gardner","101","1836","08","South America","Brazil","Rio de Janeiro","sheet","Comm. am. Shuttleworth. 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00068537","NY00068537_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","499563","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"L. Riedel","s.n.",NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=495470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499563","NY00499563_01","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:41-03","EAO","IAN","94285","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Scrophulariaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Glaziou, AFM","9546","1879","04","Southern America","Brasil","Rio de Janeiro",NA,NA,"IAN094285",NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:32:55-03","MN","R","11073","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Glaziou, A.F.M.","17173","1887","08",NA,"Brasil","Rio de Janeiro",NA,"Plantas do Brasil Central","R000011073","R000011073_001",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-05 01:55:43-03","MNHN","RECOLNAT_MNHN_P","P05086048","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Gardner",NA,"1866","1",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086048' target='other'> <mi>dwc_moreinfo</mi></a>","P05086048","P05086048_01",NA,"1","101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-05 01:55:42-03","MNHN","RECOLNAT_MNHN_P","P05086045","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Riedel",NA,NA,NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086045' target='other'> <mi>dwc_moreinfo</mi></a>","P05086045","P05086045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 01:55:42-03","MNHN","RECOLNAT_MNHN_P","P05086046","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Gardner",NA,"1836","1",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086046' target='other'> <mi>dwc_moreinfo</mi></a>","P05086046","P05086046_01",NA,"1","101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-05 01:55:42-03","MNHN","RECOLNAT_MNHN_P","P05086047","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Riedel",NA,NA,NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086047' target='other'> <mi>dwc_moreinfo</mi></a>","P05086047","P05086047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-05 01:55:43-03","MNHN","RECOLNAT_MNHN_P","P05086050","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Gaudichaud",NA,"1831","1",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086050' target='other'> <mi>dwc_moreinfo</mi></a>","P05086050","P05086050_01",NA,"1","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-05 01:55:43-03","MNHN","RECOLNAT_MNHN_P","P05086051","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Gaudichaud",NA,"1834","1",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086051' target='other'> <mi>dwc_moreinfo</mi></a>","P05086051","P05086051_01",NA,"1","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
