"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","class","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","642440","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez","H. E. Luther","J. G. Jardim","3126","2000","11","02","South America","Brazil","Bahia","Itororó","Ca 5 km E da sede municipal","-40.0392","-15.0961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=96855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642440","NY00642440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:35-03","UFRJ","RFA","30882","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez","T. Wendt","A. P. G. de Faria; T. Wendt","7","1998","10",NA,NA,"Brasil","Bahia","Bahia","Município de Cruzeiro",NA,NA,NA,"Coletada por L. C. Gurken e R. B. Marxii. Cultivada por Luiz Carlos Gurken. Terrestre. Brácteas escapais rosas. Brácteas florais paleáceas. Sépalas rosas. Pétalas roxas. Ovário branco","RFA52613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:35-03","UFRJ","RFA","34888","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez",NA,"C.M. Vieira; M.A. Louzada","1387","2004","03","07",NA,"Brasil","Rio de Janeiro","Itaocara","UTM 23K 786.000 - 7.595.000 / 825.000 - 7.615.000","-42.235278","-21.725278",NA,"Epífita, rara no local. Planta com ca. 1,0 - 1,5m de altura, crescendo a 5 m do solo. Folhas verdes levemente discolores. Inflorescência passada com brácteas escapais vermelhas; brácteas florais com espinhos amarelos","RFA22448",NA,"42º14'7''W","21º43'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:35-03","UFRJ","RFA","34974","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez",NA,"C.M. Vieira; C.E.G Jamel","1461","1999","09","01",NA,"Brasil","Rio de Janeiro","Bom Jesus do Itabapoana","Sítio de Luiz Rezende, a montante da barragem PCH Franco Amaral","-41.716667","-21.05",NA,"Epífita. Folhas verdes discolores. Inflorescência passada pardacenta","RFA22503",NA,"41º43'W","21º3'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:26-03","MN","R","201582","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez",NA,"Silva, B.R.","3","1997","04","03",NA,"Brasil","Rio de Janeiro","Engenheiro Paulo de Frontin","Sacra Família do Tinguá.","-43.6782989501953","-22.5496997833252",NA,NA,"R010000063,R010000064,R010000065","R010000063 R010000064 R010000065",NA,NA,"14263","auto",NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:37:50-02","BGBM","B","B 10 0278453","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez",NA,"Pohl","5230",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100278453 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100278453","B100278453",NA,NA,NA,NA,"type",NA,NA,NA,NA,NA,NA
"7","2019-08-15 09:04:25-03","UESC","UESC","13417","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez",NA,"Paixão, J.L.,","1477","2007","08","16",NA,"Brasil","Bahia","Itororó",NA,"-39.955833","-15.140278",NA,"Epifitae sobre arvore a ca 5 m de alt.","UESC0013417",NA,"39w57'21''","15s8'25''",NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA
"8","2020-12-11 11:43:27-03","UFMG","BHCB","82582","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez",NA,"Lombardi, JA; Stehmann, JR; Mota, RC da; Temponi, LG","5285","2003","08","19","Southern America","Brasil","Minas Gerais","Salto da Divisa","Fazenda Santana","-40.055333","-16.071389",NA,"Mata decídua, alterada. Epífita, brácteas e pedúnculo salmão, ápice da inflorescência branco, flores lilases. Coordenadas originais: 16°04'17S; 40°03'19,2W",NA,NA,"-40.055333","-16.071389",NA,NA,NA,NA,"97","97",NA,NA,NA
"9","2009-11-04 15:51:00-02","MO","MOBOT","2728883","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus","Mez",NA,"J.B.E. Pohl","Pohl 5230",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-09-04 19:46:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Aechmea","alopecurus","Aechmea alopecurus",NA,NA,"J. B. E. Pohl","5230",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","Monocotyledoneae",NA,NA,NA,NA,NA
