"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:41:32-03","E","E","84291","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","Munhoz, C.","305","1995","10","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93295","<a href=http://data.rbge.org.uk/herb/E00084291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","161255","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:168661","<a href=http://data.rbge.org.uk/herb/E00161255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","83547","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","Silva, J.M. & Ribas, O.S.","1626","1996","02","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92513","<a href=http://data.rbge.org.uk/herb/E00083547 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","83906","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","Munhoz, C., Alvarenga, D. & Silva, S.R.","297","1995","09","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92799","<a href=http://data.rbge.org.uk/herb/E00083906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3677162","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","J. Campos de la Cruz","4744","1997","12","07","South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3913988' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677162","Magnoliophyta","Myrtales","(Bonpl.) Triana","F. A. Michelangeli","Cajamarca","San Ignacio","Namballe, entre La Vega del Toro y Las Abejas. Bosque secundario con relictos de bosque primario.","-79.08361","-4.97944","800","100","NY03677162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1281686","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","T. Rolim","131","2009","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1741364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281686","Magnoliophyta","Myrtales","(Bonpl.) Triana","T. Rolim","Minas Gerais",NA,"Parque Estadual do Itacolomi-PEI, serrinha (ESQ1)",NA,NA,NA,NA,"NY01281686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3677145","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","J. Campos de la Cruz","3303","1997","01","12","South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3913894' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677145","Magnoliophyta","Myrtales","(Bonpl.) Triana","F. A. Michelangeli","Cajamarca","San Ignacio","Distrito Namballe: De La Colmena a Morero. Vegetación secundaria.","-79.06666","-5.00833","1000","1150","NY03677145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3272230","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","A. L. Uribe Uribe","3902","1961","12","02","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3675169' target='other'> <mi>dwc_moreinfo</mi></a>","NY03272230","Magnoliophyta","Myrtales","(Bonpl.) Triana",NA,"Casanare",NA,"Tauramena",NA,NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3677089","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","L. Valenzuela Gamarra","172","2002","06","09","South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3913466' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677089","Magnoliophyta","Myrtales","(Bonpl.) Triana","F. A. Michelangeli","Cusco",NA,"Dist. Vilcabamba, Paltaybamba, Mesacancha, Bosque Secundario","-72.73777","-13.02722","1540","1645","NY03677089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3272258","PreservedSpecimen","Plantae","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","V. Vareschi","4509","1956","04","01","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3675197' target='other'> <mi>dwc_moreinfo</mi></a>","NY03272258","Magnoliophyta","Myrtales","(Bonpl.) Triana",NA,"Bolivar",NA,"Crece en el morichal cerca del campamento Urullen. Al pie de Auyantepui",NA,NA,"460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
