"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1019100","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","M. das G. L. Wanderley","P. G. Delprete","9664","2006","03","26","South America","Brazil","Goiás","Pirenópolis","Serra dos Pireneus, Parque Estadual dos Pirineus, 200 m N do Portal do Parque, perto da cerca do parque.","-48.8661","-15.8008","1260","1260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1278886' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","818580","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","L. B. Smith","H. S. Irwin","9493","1965","10","22","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Ca. 8 km N.W. of Veadeiros, road to Cavalcante.","-47.56916667","-14.06557","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=865035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818580","NY00818580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","644145","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","M. das G. L. Wanderley","G. G. Hatschbach","51295","1987","03","18","South America","Brazil","Minas Gerais",NA,"Ligaçao Rod. BR-259 a Costa Sena",NA,NA,"1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644145","NY00644145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02712944","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","M. das G. L. Wanderley","H. S. Irwin","9209","1965","10","14","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 20 km E of Brasília","-47.74305","-15.7797","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2257089' target='other'> <mi>dwc_moreinfo</mi></a>","NY02712944","NY02712944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","872525","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","M. das G. L. Wanderley","J. A. Ratter","R.3092","1976","06","02","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872525","NY00872525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","872621","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"J. F. Widgren","s.n.","1845",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872621","NY00872621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:21:08-03","NBC","NL-BOTANY","L.1426080","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Pedersen TM",NA,"1978","02","01","Southern America","Brazil",NA,NA,"Plantae brasilienses. Goias, mun. Jatau: BR 364km 136.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426080 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426080","NL-L1426080","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:39:17-02","BGBM","B","B 10 0242244","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"F. Sellow","5862",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242244 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242244","B100242244",NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:39:17-02","BGBM","B","B 10 0242245","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"F. Sellow","185",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242245 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242245","B100242245",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:49:23-03","UFMS","CGMS","70248","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","M.G.L. Wanderley ","J.A. Ratter; S.G. Fonseca & J. Fonseca Filho","3092","1976","06","02",NA,"Brazil","Distrito Federal","Vargem Bonita","Fazenda Água Limpa (University of Brasília Field Station) near Vargem Bonita, c. 18 km SSW of Brasília TV tower.",NA,NA,NA,NA,NA,NA,"CGMS1069633",NA,NA,NA,"2013",NA,NA,NA,NA,NA,NA,NA,NA
