"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks"
"1","2020-09-10 15:32:59-03","UFES","VIES","19320","S","Plantae","Bromeliaceae","Vriesea","colnagoi","Vriesea colnagoi","E.Pereira & I.A.Penna","Coser, T.S.","2011","06","03","Lorencini, T.S.; Siqueira, V.B.; Braun, A. & Dutra, S.S.","242","2009","04","18","Brasil","Espírito Santo","Santa Maria de Jetibá","Garrafão.","-40.7461013793945","-20.040599822998","31867","VIES019320","VIES019320","auto",NA,NA,NA
"2","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","20566",NA,"Plantae","Bromeliaceae","Vriesea","colnagoi","Vriesea colnagoi","E.Pereira & I.A.Penna","T.S. Coser /25-01-2012",NA,NA,NA,"L. Kollmann; et al","6098","2003","04","15","Brasil","Espírito Santo","Santa Maria de Jetibá","Terreno de R. Berger","-40.780556","-20.067222",NA,"MBML020566",NA,NA,"40W46'50","20S4'2","Epífita, na sombra. Brácteas vermelhas, flores amarelas."
"3","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","21140",NA,"Plantae","Bromeliaceae","Vriesea","colnagoi","Vriesea colnagoi","E.Pereira & I.A.Penna","T.S. Coser /25-01-2012",NA,NA,NA,"L. Kollmann; et al","6235","2003","06","24","Brasil","Espírito Santo","Santa Maria de Jetibá","Caramuru","-40.676944","-20.096389",NA,"MBML021140",NA,NA,"40W40'37","20S5'47","Epífita, na sombra. Brácteas vermelhas, flores amarelas."
"4","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","42436",NA,"Plantae","Bromeliaceae","Vriesea","colnagoi","Vriesea colnagoi","E.Pereira & I.A.Penna","T.S. Coser/30-09-2010",NA,NA,NA,"T.S. Coser; C.M. Zanella & M. Goetze","336","2010","09","30","Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão. Floresta Ombrófila Densa Altimontana com Afloramento Rochosos de formação gnaisse-granito","-40.921389","-20.1775",NA,"MBML042436",NA,NA,"40W55'17","20S10'39","Epífita, ca 1m alt., folhas com lâminas verdes, inflorescência com escapo tortuoso e raquis ereta. Brácteas escapais vermelhas com ápice verde. Raquis verde. Bráctea floral vermelhas com a margem do ápice levemente verde amarelado. Bot"
