"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","imagecode","class","order","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","typeStatus"
"1","2021-02-08 21:33:08-03","UFBA","ALCB","048981","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D. Penn.","Santos, EB dos; Almeida Júnior, EB","2009","02","04","Lima, SS dos; Guedes, ML; Cabral, LCC; Oliveira, H","122","1999","10","19","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Mata cara-branca, projeto CEDRO","-39.016667","-16.266667","-39.016667","-16.266667","lárex alvo. Dados fitossociológicos: módulo 3, parcela 14, nº 340, CAP 85,5 cm, alt.18,0 m.; Mata em estádio secundário de regeneração. Substrato argilo-arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 21:33:08-03","UFBA","ALCB","110917","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D. Penn.","Mariano-Neto, E","2011","10",NA,"Rigueira, D","s/n","2011","03",NA,"Southern America","Brasil","Bahia","Valença",NA,"-39.190833","-13.330833","-39.190833","-13.330833","Indivíduo nº 2952, de ca 4 m de altura, 11,5 cm de diâmetro. Látex branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 21:33:08-03","UFBA","ALCB","110918","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D. Penn.","Mariano-Neto, E","2011","10",NA,"Rigueira, D","s/n","2011","09",NA,"Southern America","Brasil","Bahia","Nilo Peçanha",NA,"-39.196111","-13.648889","-39.196111","-13.648889","Indivíduo de ca 7 m de altura, 14 cm de diâmetro. Látex branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:33:08-03","UFBA","ALCB","110919","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D. Penn.","Mariano-Neto, E","2011","12",NA,"Rigueira, D","s/n","2011","12",NA,"Southern America","Brasil","Bahia","Itapetinga",NA,"-39.939167","-15.253333","-39.939167","-15.253333","Indivíduo nº 7455, de ca 18 m de altura, 34 cm de diâmetro. Látex leitoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:33:08-03","UFBA","ALCB","110920","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D. Penn.","Mariano-Neto, E","2011","12",NA,"Rigueira, D","s/n","2011","10",NA,"Southern America","Brasil","Bahia","Camamu","Litoral Sul","-39.166944","-14.001667","-39.166944","-14.001667","Indivíduo nº 5165, de 8 m de altura, 13 cm de diâmetro. Látex branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:11:38-03","UFES","VIES","46848","S","Plantae",NA,"Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D.Penn.","Alves-Araújo, A.","2020","03","06","Dutra, S.C.; Scheidegger, A.F.A.; Nichio-Amaral, R.; Sossai, B.G.; Nepomuceno, A.; Oliveira, R.M.; Miranda, V.S.","195","2020","01","31",NA,"Brasil","Espírito Santo","Conceição da Barra","Região extremo Sul. Floresta Nacional do Rio Preto","-39.835833","-18.433611","39º50'9''W","18º26'1''S",NA,"VIES046848",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:11:38-03","UFES","VIES","42606","S","Plantae",NA,"Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D.Penn.","A. Alves-Araújo","2020","03","06","Nichio-Amaral, R.; Alves-Araújo, A.; Nepomuceno, A.; Miranda, V.S.; Sossai, B.G.; Mendes, B.S.; Dias, L.F.D.","595","2019","02","20",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha do Paliteiro. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,"VIES042606","41644","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-05-29 09:56:59-03","UFES","VIES","19626","S","Plantae",NA,"Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D.Penn.","C.E. Carneiro","2020","04","28","Folli, D.A.","2398","1994","10","18",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"VIES019626","48094","auto","VIES019626",NA,NA,NA,NA,NA,NA
"9","2019-08-15 09:04:18-03","UESC","UESC","15643","S","Plantae","Angiospermae","Sapotaceae","Manilkara","multifida","Manilkara multifida","Pennington",NA,NA,NA,NA,"Vivas, C.V.","103","2010","10","14",NA,"Brasil","Bahia","Uruçuca",NA,"-39.134722","-14.500556","39W8'5''","14S30'2''","Floresta Ombrófila.; Árvore, cerca de 22 metros de altura.; DAP 36,6 e látex branco.","UESC0015643",NA,NA,NA,"Dicotyledoneae","Florideophycidae","218","218",NA,NA
"10","2019-08-15 09:04:18-03","UESC","UESC","12275","S","Plantae","Angiospermae","Sapotaceae","Manilkara","multifida","Manilkara multifida","T.D.Penn.",NA,NA,NA,NA,NA,"574","2006","09","22",NA,"Brasil","Bahia","Ilhéus",NA,"-39.155556","-14.719167","39W9'20''","14S43'9''","Cabruca nova com cerca de 30 anos.; Árvore.; DAP 35,7cm. Nome vulgar: Massaranduba.","UESC0012275",NA,NA,NA,"Dicotyledoneae","Florideophycidae","61","61",NA,NA
