"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","county","locality","phylum","order","identifiedBy","imagecode","scientificNameAuthorship","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2020-09-23 10:40:34-03","E","E","9303","PreservedSpecimen","Plantae","Leguminosae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","Ratter, J.A.; Pott, A.; Bridgewater, S.; Filho, Fonsêca J.; Cardoso, C.F.R. & Dos Santos, G.B.","1996","09","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:46984","<a href=http://data.rbge.org.uk/herb/E00009303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:33-03","E","E","183063","PreservedSpecimen","Plantae","Leguminosae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","Pedersen, Troels M.","1964","11","24","Temperate South America","AR","herbarium specimen of unspecif","BGBASE:187484","<a href=http://data.rbge.org.uk/herb/E00183063 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00183063","6961","Provincia de Corrientes","Concepcion","Paso Pucu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-19 10:49:00-02","NY","NYBG","01419536","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","E. Hassler","1913","02",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668607' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419536","11563",NA,NA,"Paraguaria Centralis. In regione lacus Ypacaray","Magnoliophyta","Fabales","R. C. Barneby; J. W. Grimes","NY01419536_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01419525","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","C. E. O. Kuntze","1892","09",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668292' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419525","s.n.",NA,NA,"Süd Paraguay","Magnoliophyta","Fabales","R. C. Barneby; J. W. Grimes","NY01419525_01","(Benth.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01419522","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","C. E. O. Kuntze","1892","09",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668322' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419522","s.n.",NA,NA,"Asunción.","Magnoliophyta","Fabales","R. C. Barneby; J. W. Grimes","NY01419522_01","(Benth.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 19:26:00-03","NY","NYBG","01419518","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","E. Hassler","1885",NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668255' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419518","853",NA,NA,"Plantae Paraguarienses","Magnoliophyta","Fabales","R. C. Barneby; J. W. Grimes","NY01419518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01419534","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","T. Morong","1889","10","20","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668603' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419534","801",NA,NA,"Central Paraguay. Suburbs of Asuncion.","Magnoliophyta","Fabales","R. C. Barneby; J. W. Grimes","NY01419534_01","(Benth.) Barneby & J.W.Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 19:26:00-03","NY","NYBG","01419479","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","Bertoni","1946","09","02","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1666532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419479","1908","Misiones","Posadas","Costas del rio.","Magnoliophyta","Fabales","R. C. Barneby; J. W. Grimes","NY01419479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-19 10:49:00-02","NY","NYBG","01419527","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","E. Hassler","1903","10",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668574' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419527","2399",NA,NA,"Gran Chaco","Magnoliophyta","Fabales","R. C. Barneby; J. W. Grimes","NY01419527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 19:39:00-03","NY","NYBG","01419477","PreservedSpecimen","Plantae","Fabaceae","Chloroleucon","tenuiflorum","Chloroleucon tenuiflorum","Legname","1981","09","21","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1666528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419477","8644","Salta","Orán","Ruta 34, próximo a Pichard.","Magnoliophyta","Fabales","R. C. Barneby","NY01419477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
