"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","616871","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mitranthes","hoehnei","Mitranthes hoehnei","(Burret) Mattos","M. Sobral","G. G. Hatschbach","61142","1994","10","08","South America","Brazil","Espírito Santo","Alfredo Chaves","Sao Bento de Urânia, rodovia para Castelinho","-40.7494","-20.6353","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616871","NY00616871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","594898","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","warmingiana","Neomitranthes warmingiana","(Kiaersk.) Mattos","M. Sobral","P. K. H. Dusén","8209","1909","06","04","South America","Brazil","Paraná",NA,"Monte Alegre",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594898",NA,"850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:31:42-03","UFRJ","RFA","39649","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Neomitranthes","warmingiana","Neomitranthes warmingiana","(Kiaersk.) Mattos","Marcelo Souza","Finotti R.; Caruzo J.","116","2008","07","00",NA,"Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal localizado na propriedade do Sr. Renato Cozzolino","-42.909444","-22.536944",NA,"Árvore com 12 metros e altura de PAP 27,6 cm.","RFA24656",NA,"50","50","42º54'34''W","22º32'13''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:46:12-02","IPA","IPA","91982","S","Plantae","Plantae",NA,"Myrtaceae","Calyptranthes","warmingiana","Calyptranthes warmingiana","Kiaersk.","Oliveira, M.A.","Sousa, M.A.C.","275","2017","05","02","Southern America","Brasil","Pernambuco","Goiana","Conglomerado do Inventário Florestal Nacional.&nf; PE_90-H, 4-2-9","-35.01","-7.605",NA,"Árvore ca. 12m de altura.; Floresta seca; dominante.","IPA0091982","IPA0091982",NA,NA,"-35.01","-7.605","2017","08","09",NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0057066","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Neomitranthes","hoehnei","Neomitranthes hoehnei","(Burret) Mattos","M. Sobral","G. & M. Hatschbach; J.M. Silva","61142","1994","10","8",NA,"Brazil","Espirito Santo",NA,"Sao Bento de Urania, rodovia para Castelinho (Mun. Alfredo Chaves).","-40.933333","-20.483333",NA,"Arvore, 5m, flor alva, mata pluvial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-12 18:12:20-03","UFES","VIES","14614","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","warmingiana","Neomitranthes warmingiana","(Kiaersk.) Mattos",NA,"Thomaz, L.D.","1812a","1993","10","21",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,"VIES014614","VIES014614",NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA
"7","2019-12-19 16:36:59-03","UNESP-IBB","BOTUW","877","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Neomitranthes","warmingiana","Neomitranthes warmingiana","(Kiaersk.) Mattos",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,"BOTUW000877",NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:31:39-03","UFRRJ","RBR","45285","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","warmingiana","Neomitranthes warmingiana","(Kiaersk.) Mattos",NA,"M.C. Souza; A. Carvalho","1070","2012","05","31",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. Morro do Sumaré, estrada do Sumaré próximo ao 1º acesso para as antenas, km 2,7.","-43.229722","-22.950833",NA,NA,"RBR00045285","RBR00045285 RBR00045285_1",NA,NA,"43º13'47''W","22º57'3''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-18 10:58:15-03","UFRRJ","RBR","46796","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","warmingiana","Neomitranthes warmingiana","(Kiaersk.) Mattos",NA,"M.C. Souza; V. Staggemeier, T. Silva","1115","2012","10","28",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Santa Lúcia. Trilha do sagui.","-40.534167","-19.97",NA,NA,"RBR00046796","RBR00046796",NA,NA,"40º32'3''W","19º58'12''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-18 10:58:15-03","UFRRJ","RBR","46797","S","Plantae",NA,NA,"Myrtaceae","Neomitranthes","warmingiana","Neomitranthes warmingiana","(Kiaersk.) Mattos",NA,"M.C. Souza; J.F. Baumgratz, B.C. Bandeira, M. Nadruz","1106 D","2012","10","23",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Ribeirão Vermelho. Trilha para a barragem de Ribeirão vermelho (CEDAE).","-41.934167","-21.934444",NA,NA,"RBR00046797","RBR00046797","782","782","41º56'3''W","21º56'4''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
