"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","infraspecificEpithet","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:24:45-03","UNESC","CRI","12660","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana","Stapf & Leechm. ex Moldenke","Aline Votri Guislon & Renato colares","2017","09","18","Alexandre Medeiros","499","2017","07","17","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Fruto verde. Habito: Arbóreo","CRI010874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","3969","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana","Stapf & Leechm. ex Moldenke","J. A. Jarenkow","1989","11","16","J. A. Jarenkow","1223","1989","11","15","Brasil","Santa Catarina","Porto Belo",NA,"-48.575556","-27.157222","48º34'32''W","27º9'26''S",NA,"CRI007881","CRI007881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:13-03","UNESC","CRI","10009","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana","Stapf & Leechm. ex Moldenke","L. A. Funez","2012","09","11","L.A. Funez","850","2012","09","04","Brasil","Santa Catarina","Penha","Após o rio da Praia de Gravatá.","-48.619444","-26.825","48º37'10''W","26º49'30''S","Floresta Ombrófila Densa Habitat: faixa de areia Habito: árvore","CRI000010","CRI000010","23","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","573105","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana candicans","Moldenke","H. N. Moldenke",NA,NA,NA,"A. de A. Maia","s.n.","1981","10","09","Brazil","Rio de Janeiro","Rio de Janeiro","Av. das Américas, km 29","-43.2075","-22.9031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573105","NY00573105_01",NA,NA,"Magnoliophyta","Lamiales","candicans","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","573608","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana candicans","Moldenke","H. N. Moldenke",NA,NA,NA,"B. Rambo","50320","1951","07","15","Brazil","Santa Catarina","Florianópolis","In insula Florianopolis","-48.4934807","-27.5942613",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573608","NY00573608_01",NA,NA,"Magnoliophyta","Lamiales","candicans","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","573604","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana candicans","Moldenke","H. N. Moldenke",NA,NA,NA,"C. Stellfeld","799","1944","06","28","Brazil","Paraná","Guaratuba","Guaratuba-rio Boguaçú","-48.5744","-25.8831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573604","NY00573604_01",NA,NA,"Magnoliophyta","Lamiales","candicans","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00955665","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana candicans","Moldenke","H. N. Moldenke",NA,NA,NA,"R. de Lemos Fróes","1812","1932","08","16","Brazil","Maranhão",NA,"Maracassumé River region, Praia do Murcego.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955665","NY00955665_01",NA,NA,"Magnoliophyta","Lamiales","candicans","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","573611","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana candicans","Moldenke","H. N. Moldenke",NA,NA,NA,"R. Reitz","683","1953","05","14","Brazil","Santa Catarina","Palhoça","Palhoça","-48.6678","-27.6456",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573611","NY00573611_01","1","1","Magnoliophyta","Lamiales","candicans","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1788485","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana candicans","Moldenke",NA,NA,NA,NA,"G. T. Prance","14718","1971","08","26","Brazil","Pará",NA,"Salinopolis","-47.3525","-0.6294",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2096198' target='other'> <mi>dwc_moreinfo</mi></a>","NY01788485","NY01788485_01",NA,NA,"Magnoliophyta","Lamiales","candicans","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","573101","PreservedSpecimen","Plantae","Acanthaceae","Avicennia","schaueriana","Avicennia schaueriana candicans","Moldenke","H. N. Moldenke",NA,NA,NA,"G. F. J. Pabst","5421","1960","09","07","Brazil","Rio de Janeiro","Rio de Janeiro","Mangue próximo ao Joquei Club da Ilha do Governador","-43.2075","-22.9031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573101","NY00573101_01",NA,NA,"Magnoliophyta","Lamiales","candicans","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
