"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","557370","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","velutinibaccum","Piper velutinibaccum","C.DC.","T. G. Yuncker","A. S. Costa","2948","1938","11","20","South America","Brazil","São Paulo","Campinas","Fazenda Sete Quedas, Campinas","-47.06","-22.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557370","NY00557370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-09-04 19:03:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Piper","velutinibaccum","Piper velutinibaccum",NA,NA,"Usteri",NA,"1907",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA,NA,NA,NA,NA,NA
"3","2014-09-23 11:02:18-03","G","G-DC","G00326001","S","Plantae",NA,NA,"Piperaceae","Piper","velutinibaccum","Piper velutinibaccum","C. DC.","CAT.HERB.PRODR.","Usteri, A.",NA,"1906","01","30","AMERIQUE DU SUD","Brazil","São Paulo","Jaraguá",NA,"-46.78194444","-23.43916667",NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00326001",NA,NA,"SYNTYPUS of Piper velutinibaccum C. DC.","2013","01","01","-46.78194444","-23.43916667",NA,NA
"4","2014-09-23 11:02:18-03","G","G-DC","G00326006","S","Plantae",NA,NA,"Piperaceae","Piper","velutinibaccum","Piper velutinibaccum","C. DC.","CAT.HERB.PRODR.","Usteri, A.",NA,"1907",NA,"00","AMERIQUE DU SUD","Brazil","São Paulo",NA,NA,"-48.65972222","-22.40444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00326006",NA,NA,"SYNTYPUS of Piper velutinibaccum C. DC.","2013","01","01","-48.65972222","-22.40444444",NA,NA
"5","2019-11-21 10:14:28-03","IBt","SP","49091","S","Plantae",NA,NA,"Piperaceae","Piper","velutinibaccum","Piper velutinibaccum","C.DC.","Yuncker, TG","Costa, AS; Carvalho, A; et al.","s.n.","1938","11","20",NA,"Brasil","São Paulo","Campinas","Faz. Sete Quedas.","-47.060001373291","-22.8999996185303",NA,NA,"SP011295","SP011295",NA,NA,"1961",NA,NA,NA,NA,"23900","auto"
