"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","501790","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Müll.Arg.","C. M. Taylor","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501790","NY00501790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:51-03","UFRJ","RFA","29635","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Müll.Arg.","M. Gomes","Flávio Brito Pereira",NA,"Brasil",NA,"Arbustiva, 4m de altura, 8cm de DAP, folha roxa, caule e flor verdes, raiz marrom, rara no local","RFA29185",NA,"2002","01","15","06/132","2001","12","01","Rio de Janeiro","Rio Claro","Distrito de Lídice, Fazenda Torres","-44.216944","-22.841944","44º13'1''W","22º50'31''S","638","638",NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:24-03","UFRJ","RFA","39591","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Müll.Arg.","Sebastião Neto","R. Finotti; Caruzo J.",NA,"Brasil",NA,"Arvoreta de 2 m altura e PAP de 26 cm","RFA24590",NA,NA,NA,NA,"69",NA,NA,NA,"Rio de Janeiro","Cachoeiras de Macacu","Interior de fragmento florestal de propriedade do Sr. Odinho, próximo à Reserva do Guapiaçu (REGUA)","-42.730278","-22.515278","42º43'49''W","22º30'55''S","50","50",NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:24-03","UFRJ","RFA","15168","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Müll.Arg.","J.H. Kirkbride Jr.","P. Occhioni",NA,"Brasil",NA,"Arvoreta. Flor amarela.","RFA13265",NA,"1978","02","10","5989","1974","06",NA,"Rio de Janeiro","Guapimirim","Serra dos Órgãos, loc. Limoeiro","-42.9818992614746","-22.5372009277344",NA,NA,NA,NA,"21463","auto",NA,NA,NA,NA
"5","2020-06-29 11:32:24-03","UFRJ","RFA","7777","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Müll.Arg.",NA,"A. Mattos Fº",NA,"Brasil",NA,NA,"RFA27181",NA,NA,NA,NA,"325","1963","07","07","Goiás","Cristalina","Margem do Rio São Marcos","-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,"85457","auto",NA,NA,NA,NA
"6","2020-11-04 11:18:47-03","ESALQ","ESA","31255","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Mart.","Taylor, C.M.","Leitão Filho, H.F. et al.",NA,"Brasil",NA,NA,"ESA031255",NA,"1997","01","01","34650.0","1996","02","04","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"7","2020-11-04 11:18:47-03","ESALQ","ESA","27719","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Mart.","Taylor, C.M.","Leitão Filho, H.F. et al.",NA,"Brasil",NA,NA,"ESA027719","ESA027719","1997","01","01","34593.0","1996","02","01","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"8","2020-11-04 11:18:47-03","ESALQ","ESA","122819","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii",NA,"Zappi, D.","Braga, J.M.A.",NA,"Brasil",NA,NA,"ESA122819",NA,"2005",NA,NA,"4062.0","1997","05","07","Rio de Janeiro","Saracuruna","Reserva da Petrobrás, trilha ao redor da represa.",NA,NA,NA,NA,"50","50",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:18:47-03","ESALQ","ESA","31116","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii","Mart.","Taylor, C.M.","Leitão Filho, H.F. et al.",NA,"Brasil",NA,NA,"ESA031116","ESA031116","1997","01","01","34517.0","1996","01","30","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"10","2020-11-04 11:18:47-03","ESALQ","ESA","122963","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Psychotria","glaziovii","Psychotria glaziovii",NA,NA,"Zipparro, V.B.",NA,"Brasil",NA,NA,"ESA122963",NA,NA,NA,NA,"2358.0","2008","02","21","São Paulo","Ubatuba","Parque Estadual da Ilha Anchieta (PEIA).","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
