"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","relationshipType","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","485485","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","agrostopolis","Bonamia agrostopolis","(Vell.) Hallier f.","T. Myint","Y. E. J. Mexia","4999","1930","08","24","South America","Brazil","Minas Gerais","Districto Ilheu. Fazenda da Tabunha; main road to northwest in cut-over woods","210","210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485485","NY00485485_01 NY00485485_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","484554","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","agrostopolis","Bonamia agrostopolis","(Vell.) Hallier f.","D. F. Austin","S. A. Mori","13469","1980","03","19","South America","Brazil","Bahia","A 2 km ao S de Caetité.","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484554","NY00484554_01","Caetité","-42.47","-14.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","585861","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","agrostopolis","Bonamia agrostopolis","(Vell.) Hallier f.","D. F. Austin","A. M. Amorim","2170","1998","01","27","South America","Brazil","Bahia","Distrito de Bebedouro. Coletas ca. 12 km a partir do ramal que leva ao Distrito",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585861","NY00585861_01","Seabra","-41.7703","-12.4186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","306110","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","agrostopolis","Bonamia agrostopolis","(Vell.) Hallier f.","M. H. Nee","M. H. Nee","48511","1998","02","28","South America","Bolivia","Santa Cruz","On Brecha 5, km 38, 2.2 km E of new highway from Santa Cruz to Abapó, the turnoff 29 km S of junction with highway from Santa Cruz to Samaipata.","480","480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306110",NA,"Andrés Ibáñez","-63.15","-18.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 12:59:00-03","NY","NYBG","484551","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii",NA,"L. C. Alves","M. R. de V. Barbosa","19","1980","03","31","South America","Brazil","Rio de Janeiro","Itaipu",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484551","NY00484551_01","Niterói","-43.1036","-22.8833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","484546","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.","T. Myint","P. K. H. Dusén","1985","1903","03","22","South America","Brazil","Rio de Janeiro","Jaçarepaguá.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484546","NY00484546_01","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1013635","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.",NA,"C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","Mato Grosso",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101135' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013635","NY01013635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","484549","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.",NA,"A. F. M. Glaziou","18381","1891",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484549","NY00484549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","484552","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.","T. Myint","A. F. M. Glaziou","4142",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","Hb. Eichler <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484552","NY00484552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","484550","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.",NA,"A. F. M. Glaziou","4142",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","Comm. il. Eichler 1871 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484550","NY00484550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","484547","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.","T. Myint","A. F. M. Glaziou","18381","1891","03","29","South America","Brazil","Rio de Janeiro","Morro da Babylonia á Botafogo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484547","NY00484547_01","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","777227","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.","R. Simão-Bianchini","W. Ganev","3026","1994","02","21","South America","Brazil","Bahia","Garimpo do Engenho","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777227","NY00777227_01","Abaíra","-41.82","-13.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-28 12:59:00-03","NY","NYBG","485484","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii",NA,"C. A. O'Donell","A. F. M. Glaziou","13027","1880","01","12","South America","Brazil","Minas Gerais","Entre Siho[spelling?] and Barbacena",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485484","NY00485484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","484553","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.","B. Verdcourt","R. M. Harley","21914","1980","04","28","South America","Brazil","Bahia","Chapadao Ocidental da Bahia. 10 km N of Correntina on the road to Inhaúmas","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484553","NY00484553_01",NA,"-44.65","-13.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","484548","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii","(Choisy) Hallier f.",NA,"L. Riedel","s.n.","1833","08","01","South America","Brazil",NA,"In sepibus pr. S. Cristovao",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484548","NY00484548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 23:06:00-03","NY","NYBG","1015491","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","burchellii","Bonamia burchellii",NA,NA,"C. Farney","3159","1992","08","14","South America","Brazil","Rio de Janeiro","Res. Ecol. Estadual Jacarepiá.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106531' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015491","NY01015491_01","Saquarema","-42.05","-22.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","309472","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","tomentosa","Bonamia tomentosa","Hassl.","M. H. Nee","M. H. Nee","48812","1998","03","28","South America","Bolivia","Santa Cruz","Basilio.","520","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309472",NA,"Andrés Ibáñez","-63.18","-18.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","318865","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Bonamia","tomentosa","Bonamia tomentosa","Hassl.","T. Myint","E. Hassler","9038","1905",NA,NA,"South America","Paraguay",NA,"Viciniis Caaguazú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318865","NY00318865_01",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","318879","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Breweria","burchellii","Breweria burchellii","Choisy",NA,"W. J. Burchell","2778","1826","03","22","South America","Brazil","Rio de Janeiro","Along Aqueduct nearly to head of Valley of Laranjeiras (back in Rio)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=311712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318879","NY00318879_01",NA,"-43.195652","-22.930074","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-08 11:07:56-03","UNESP-IBB","BOTU","34345","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Bonamia","agrostopolis","Bonamia agrostopolis","(Vell.) Hallier f.","Moreira, A.L.C.","Proença, C.","4419","2012","07","08",NA,"Brasil","São Paulo","Fazenda Salto Grande",NA,NA,NA,NA,"BOTU034345",NA,"Araraquara","-48.22","-21.805278",NA,"2019","09","48°13'12w","21°48'19s",NA,NA,NA,NA,NA,NA,NA,NA,NA
