"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","recordNumber","phylum","order","individualCount","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","fieldNumber"
"1","2021-04-05 14:25:04-03","UNESC","CRI","10677","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Alecsandro S. Klein; Elísio A. O.","2002","07","15","Brasil","Santa Catarina","Nova Veneza","Barragem - Atrás da Barragem de Concreto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","134","134","CRI001712","CRI001712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","12922","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Alexandre Medeiros","2017","12","01","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"CRI011530","CRI011530","Peterson T. Padilha","2018","03","21","Coleta 815. Habito: Epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:04-03","UNESC","CRI","7530","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Telma Elyta V. Azeredo","2007","08","19","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"CRI001732","CRI001732","Telma Elyta V. Azeredo","2007","08","20",NA,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","7636","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Rodrigo Ávila Mendonça","2009","04","27","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI001729","CRI001729","Telma Elyta V. Azeredo","2009","05","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","1116","S","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","04","28","254",NA,"Magnoliophyta","Poales","2",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","1289","S","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008","09","08","254",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376476","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","P. K. H. Dusén","1914","10","14","Brazil","Paraná","Jaguariaíva","Jaguariahyva opp.","-49.713647","-24.340602",NA,NA,"700","700","NY00376476","NY00376476_01","P. K. H. Dusén",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487430' target='other'> <mi>dwc_moreinfo</mi></a>","15612","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02448557","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","C. C. Mez","1893","03",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY02448557","NY02448557_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2633468' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376475","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","P. K. H. Dusén","1910","10","23","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,NA,NA,"NY00376475","NY00376475_01","P. K. H. Dusén",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487429' target='other'> <mi>dwc_moreinfo</mi></a>","10780","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02448558","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","C. C. Mez","1893","03",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY02448558","NY02448558_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2633470' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"11","2017-05-17 10:21:00-03","NY","NYBG","02681749","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina",NA,"J. A. Lira Neto","1997","08","27","Brazil","Rio de Janeiro","Duque de Caxias","Margem da estrada do Garrão. Reserva da Petrobras","-43.266667","-22.55",NA,NA,NA,NA,"NY02681749","NY02681749_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2943029' target='other'> <mi>dwc_moreinfo</mi></a>","676","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","376477","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","C. O. Chaves","1980","07","08","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca, Estr. Vista Chinesa, próc. à Est. Biológica","-43.273873","-22.971901",NA,NA,NA,NA,"NY00376477","NY00376477_01","L. B. Smith",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487431' target='other'> <mi>dwc_moreinfo</mi></a>","9","Magnoliophyta","Poales",NA,"South America","sheet",NA,NA,NA,NA,NA
"13","2020-06-29 11:29:37-03","UFRJ","RFA","28726","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","T. Wendt; L. O. F. Sousa; G. K. Brown","2003","10","16","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Praia Parnaioca","-44.3180999755859","-23.0067005157471",NA,NA,NA,NA,"RFA52030",NA,NA,NA,NA,NA,"Epífita, coletada estéril, na trilha sobre um tronco caído. Floresceu em cultivo 22/07/2004","508",NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA
"14","2020-06-29 11:29:38-03","UFRJ","RFA","31085","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","T. Wendt; L.O.F. Sousa & G.K. Brown","2003","10","20","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Vila Dois Rios, próximo ao CEADS","-44.3180999755859","-23.0067005157471",NA,NA,NA,NA,"RFA20449",NA,NA,NA,NA,NA,"Epífita, em Eucalyphytus, brácteas escapais róseas, ovário e sépalas esbranquiçados por estarem densamente recobertos por indumentos alvacento, pétalas amarelas esverdeadas fortemente espiraladas. Filete alvacento e estilete azulado. Ma","512",NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA
"15","2020-06-29 11:29:37-03","UFRJ","RFA","17435","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Aluno do departamento","1976","05","27","Brasil","Rio de Janeiro","Macaé",NA,"-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,"RFA52033",NA,NA,NA,NA,NA,"Flor muito ornamental",NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA
"16","2021-04-08 17:44:51-03","EAO","IAN","36755","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","cylindrostachya","Billbergia cylindrostachya","Mez","Glaziou, AFM",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN036755","IAN036755_f",NA,NA,NA,NA,NA,"16427","Monocotiledônea",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:26:25-03","PUCPR","HUCP","21456","S","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Ariati, V",NA,NA,NA,"Brasil","Paraná","Itapejara D'Oeste","Ipiranga","-52.8163986206055","-25.9652996063232",NA,NA,NA,NA,NA,NA,"Ariati, V",NA,NA,NA,NA,"410","Monocotiledonea",NA,NA,NA,NA,"17425","auto",NA,NA,NA
"18","2020-11-04 11:03:43-03","ESALQ","ESA","131566","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","2013","02","27","Brasil","Rio de Janeiro","Barra Mansa","Fragmento 53 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-22.5732","-44.0993","-22.5732","-44.0993","501","501","ESA131566",NA,"Forster, W.","2013",NA,NA,NA,"36769.0","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:03:43-03","ESALQ","ESA","101834","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina",NA,"Carboni, M.","2005","03","28","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"ESA101834","ESA101834",NA,NA,NA,NA,NA,"172.0","Magnoliophyta",NA,NA,NA,NA,"38804","auto",NA,NA,NA
"20","2020-11-04 11:03:43-03","ESALQ","ESA","7308","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina",NA,"Macedo, J.C.R.","1988","05","01","Brasil","São Paulo","São Roque",NA,"-47.1300010681152","-23.5200004577637",NA,NA,NA,NA,"ESA007308","ESA007308","Wanderley, M.G.L.",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,"15567","auto",NA,NA,NA
"21","2021-01-14 15:25:46-03","MN","R","212372","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Costa, A.F. 833; Rodrigues, P.","1998",NA,NA,"Brasil","Rio de Janeiro","Armação dos Búzios",NA,NA,NA,NA,NA,NA,NA,"R010005332","R010005332 R010005332_1","Costa, A.F.","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:25:46-03","MN","R","224214","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Couto, D.R. 2757; Kessous, I.M. & Leite, V.R.","2014","05","20","Brasil","Rio de Janeiro","Santa Maria Madalena","Ao lado da estrada entre a sede do município e o Parque Estadual do Desengano.","-41.964167","-21.928611","41°57'51W","21°55'43S","632","632","R010005325","R010005325","Couto, D.R.","2014","05","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-31 13:36:31-03","MN","R","193058","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Smith, L.B.","1964","10","18","Brasil","Amazonas","Itapiranga",NA,"-58.021900177002","-2.7488899230957",NA,NA,NA,NA,"R010005336","R010005336",NA,NA,NA,NA,NA,"12706",NA,NA,NA,NA,NA,"144800","auto",NA,NA,NA
"24","2021-03-31 13:36:31-03","MN","R","193412","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Costa, A.F.","1995","10","19","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"R010005328","R010005328 R010005328_1",NA,NA,NA,NA,NA,"530",NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA
"25","2021-01-14 15:25:46-03","MN","R","224117","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Neves, B.F.S. 344; Kessous, I.M.","2015","07","21","Brasil","Rio de Janeiro","Cantagalo",NA,"-42.3680992126465","-21.9811000823975",NA,NA,NA,NA,"R010005326","R010005326 R010005326_1","Neves, B.F.S.","2015","07","21",NA,NA,NA,NA,NA,NA,NA,"33898","auto",NA,NA,NA
"26","2021-01-14 15:25:46-03","MN","R","212375","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Neves, B.F.S. 3; Uribbe, F.P.","2011","02","22","Brasil","Rio de Janeiro","Guapimirim",NA,"-42.9818992614746","-22.5372009277344",NA,NA,NA,NA,"R010005329","R010005329 R010005329_1","Neves, B.F.S.","2011","03","17",NA,NA,NA,NA,NA,NA,NA,"21463","auto",NA,NA,NA
"27","2021-03-31 13:36:31-03","MN","R","110918","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Castellanos, A.","1961","08","15","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010005340","R010005340",NA,NA,NA,NA,NA,"23163",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA
"28","2021-03-31 13:36:31-03","MN","R","193038","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Santos, N.","1965","04","17","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010005338","R010005338",NA,NA,NA,NA,NA,"5807",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA
"29","2021-03-31 13:36:31-03","MN","R","193053","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.",NA,"1886",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010005337","R010005337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA
"30","2021-01-14 15:25:46-03","MN","R","212371","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Costa, A.F.","2005",NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Canoas.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"R010005333","R010005333","Costa, A.F.","2005",NA,NA,NA,"834",NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA
"31","2021-01-14 15:25:46-03","MN","R","212374","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Costa, A.F.","2007","04","23","Brasil","Rio de Janeiro","Teresópolis","Canoas.","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"R010005330","R010005330","Costa, A.F.","2007","04","23",NA,"835",NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA
"32","2021-03-31 13:36:31-03","MN","R","190243","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.",NA,"1887",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Copacabana.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010005339","R010005339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA
"33","2021-01-14 15:25:46-03","MN","R","46824","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","zebrina","Billbergia zebrina","(Herb.) Lindl.","Freire, C.V.","1922","01","09","Brasil","Rio de Janeiro","Rio de Janeiro","Gávea.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"R010005327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA
