"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","continentOcean","class","order","relatedCatalogItem","individualCount","fieldNumber","typeStatus","preparationType"
"1","2021-04-05 14:34:11-03","UNESC","CRI","6417","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","J. A. Jarenkow","J. A. Jarenkow","2107","1992","04","10","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667","49º47'35''W","29º21'24''S","CRI007417","CRI007417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:08-03","UNESC","CRI","11316","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","A. A. de Oliveira","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4188","2010","04","06","Brasil","Santa Catarina","Armazém","-49.049167","-28.259444","49º2'57''W","28º15'34''S","CRI007421","CRI007421","2010","09","17","Areião.","187","187","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:08-03","UNESC","CRI","10577","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","Vanilde Citadini-Zanette","Robson dos Santos; Vanilde Citadini-Zanette & Alexandre S. Klein",NA,"2000","09","08","Brasil","Santa Catarina","Praia Grande","-49.950278","-29.198611","49º57'1''W","29º11'55''S","CRI013722","CRI013722","2000","09","08","Aparados - Pedras Brancas",NA,NA,"Pseudoestípulas no ramo apical. Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:08-03","UNESC","CRI","11436","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.",NA,"Condorcet Aranha","10276","2001","01","22","Brasil","Santa Catarina","Joinville","-48.845","-26.283333","48º50'42''W","26º17'0''S","CRI007422","CRI007422",NA,NA,NA,"Alto Quiriri.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","14416","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","Oliveira, AA de","Stival-Santos, A.; Legal, E.; Meyer, D. & Silveira, S.","2784","2010","05","20","Brasil","Santa Catarina","Santo Amaro da Imperatriz","-48.800833","-27.7025","48º48'3''W","27º42'9''S","CRI013480","CRI013480","2010","09","28","Rua Dom Pedro II. Rua Dom Pedro II.","44","44","Coleta Extra IFFSC (Arbórea) Habitat: Floresta Ombrófila Densa; interior do fragmento Habito: arbórea; Fruto verde; flor verde clara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:08-03","UNESC","CRI","15206","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","Aline Votri Guislon","Aline V. Guislon; Amanda Matiola; Josue C. Nicolau & Renato Colares",NA,"2018","10","09","Brasil","Santa Catarina","Criciúma","-49.359722","-28.765833","49º21'35''W","28º45'57''S","CRI014621","CRI014621","2018","10","09","APA Morro Albino e Esteves. Área L6. Bairro Dagostim.","40","40","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:11-03","UNESC","CRI","3932","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","J. A. Jarenkow","J. A. Jarenkow; J. L. Waechter","1668","1990","03","27","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667","49º47'35''W","29º21'24''S","CRI007420","CRI007420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:08-03","UNESC","CRI","3343","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1944","1992","04","07","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI007419","CRI007419",NA,NA,NA,"Rio Novo.","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:11-03","UNESC","CRI","11699","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.",NA,"Anderson Zilli Kruger",NA,"2002","11","15","Brasil","Santa Catarina","Praia Grande","-49.952778","-29.198611","49º57'10''W","29º11'55''S","CRI008665","CRI008665",NA,NA,NA,"Rio do Boi, PIC III.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:26:08-03","UNESC","CRI","12478","PreservedSpecimen","Plantae","Solanaceae","Cestrum","intermedium","Cestrum intermedium","Sendtn.","Aline Votri Guislon & Peterson T. Padilha","Alexandre Medeiros",NA,"2017","03","17","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010685",NA,"2017","07","17","Estaleiro.",NA,NA,"Coleta 74. Habito: Arbustivo","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
