"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","continentOcean","dayIdentified","class","order"
"1","2020-11-04 11:13:38-03","ESALQ","ESA","130815","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Souza, V.C.","2013","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36018.0","2013","02","21","Brasil","São Paulo","Santa Isabel","Fragmento 20 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-23.3076","-46.1235","-23.3076","-46.1235","670","670","Árvore. Inflorescência verde.","ESA130815",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:22-03","UFV","VIC","398","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Mexia, Y.","5161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIC000398","VIC000398",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:22-03","UFV","VIC","3163","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Gleason","s.n.","1930","10","14","Brasil","Minas Gerais","Viçosa","Agricultural College lands, near east boundary.&nf;Alt. 700m.","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA," Capoera. Overgrown slope. &nf;Shrub, spreading. 2m. hight. &nf;Fruit redish. Occasional.","VIC003163","VIC003163","13937","auto",NA,NA,NA,NA,NA
"4","2020-12-20 21:18:22-03","UFV","VIC","4885","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Kuhlmamn","s.n.","1936","01","22","Brasil","Minas Gerais","Viçosa","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"VIC004885","VIC004885","13937","auto",NA,NA,NA,NA,NA
"5","2020-12-20 21:18:22-03","UFV","VIC","2470","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Kuhlmamn","s.n.","1935","10","24","Brasil","Minas Gerais","Viçosa","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"VIC002470","VIC002470","13937","auto",NA,NA,NA,NA,NA
"6","2020-12-20 21:18:22-03","UFV","VIC","2469","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Kuhlmamn","s.n.","1935","10","15","Brasil","Minas Gerais","Viçosa","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"VIC002469","VIC002469","13937","auto",NA,NA,NA,NA,NA
"7","2020-12-20 21:18:22-03","UFV","VIC","1613","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Kuhlmamn","s.n.","1934","12","07","Brasil","Minas Gerais","Viçosa","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Arbust.","VIC001613","VIC001613","13937","auto",NA,NA,NA,NA,NA
"8","2020-12-20 21:18:22-03","UFV","VIC","20215","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Meira, Neto J A","2210","1994","11",NA,"Brasil","Minas Gerais","Viçosa","Mata da Sivicultura","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Planta com 1,5m de altura, flores com pétalas brancas.","VIC020215","VIC020215","13937","auto",NA,NA,NA,NA,NA
"9","2020-12-20 21:18:22-03","UFV","VIC","378","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Mexia, Y.","4571","1930","04","07","Brasil","Minas Gerais","Viçosa","Road to São Miguel, beyond km. 4. Deep, shady, dry ditch. Alt.690m.","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Shrub 3m. high, bushy with reddish fruit when young. Occasional.","VIC000378","VIC000378","13937","auto",NA,NA,NA,NA,NA
"10","2020-12-20 21:18:22-03","UFV","VIC","1106","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Mexia, Y.","5244","1930","11","03","Brasil","Minas Gerais","Viçosa","Fazenda do Deserto, Varje; understory in cut-over woods in hollow. Alt.690m.","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Shrub 3m. high; green to reddish fruit. Frequent. Quaresminha.","VIC001106","VIC001106","13937","auto",NA,NA,NA,NA,NA
