"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:38:54-03","E","E","326877","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha","isotype","Sellow, F.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:406249","<a href=http://data.rbge.org.uk/herb/E00326877 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00943032","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"J. N. Nakajima","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943032","Magnoliophyta","Ericales","(Cham.) G.Don","L. S. Kinoshita-Gouvêa","1299","1995","09","25","Minas Gerais","São Roque de Minas","Nascente do rio São Francisco.","-46.3656","-20.2456","NY00943032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","390790","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"L. B. Smith","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390790","Magnoliophyta","Ericales","(Cham.) G.Don","W. S. Judd","13634","1964","12","05","Santa Catarina","Agua Doce","Campos de Palmas, 3km northwest of Herciliópolis","-51.53","-26.78","NY00390790_01","1100","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00943139","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"A. A. A. Barbosa","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943139","Magnoliophyta","Ericales","(Cham.) G.Don",NA,"s.n.","1997","08","15","Minas Gerais","Uberlândia","Reserva Clube Caça e Pesca Itororó.","-48.2769","-18.9186","NY00943139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","390794","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"J. Mattos","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390794","Magnoliophyta","Ericales","(Cham.) G.Don","W. S. Judd",NA,"1967","11","29","São Paulo","Salesópolis","Estaçao Biologica de Boraceia, perto do Rio Coruja","-45.84","-23.5303","NY00390794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00943035","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943035","Magnoliophyta","Ericales","(Cham.) G.Don","W. S. Judd","8151","1965","09","10","Distrito Federal","Brasília","Córrego Samambaia, near Taguatinga","-48.042","-15.792","NY00943035_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","390792","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"P. K. H. Dusén","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390792","Magnoliophyta","Ericales","(Cham.) G.Don","W. S. Judd","7082","1908","10","29","Paraná","Pinhais","Pinhaes","-49.157618","-25.419851","NY00390792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2422809","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"J. R. Mattos","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2673832' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422809","Magnoliophyta","Ericales","(Cham.) G.Don",NA,"8214","1960","09","20","São Paulo","Moji-Guaçu","Fazenda Campininha, 3 km NNW de Padua Sales","-47.164784","-22.242395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00943036","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"J. A. Ratter","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943036","Magnoliophyta","Ericales","(Cham.) G.Don",NA,"R3384",NA,NA,NA,"Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.9294","-15.7797","NY00943036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00943038","PreservedSpecimen","Plantae","Ericaceae","Agarista","chlorantha","Agarista chlorantha",NA,"J. A. Ratter","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00943038","Magnoliophyta","Ericales","(Cham.) G.Don",NA,"R3050","1976","05","19","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.9294","-15.7797","NY00943038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
