"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","identifiedBy","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","fieldNumber","dayIdentified","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00942338","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","A. Krapovickas","34325","1979","01","19","South America","Brazil","Mato Grosso do Sul","9 km W de Caarapó.","-54.92","-22.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942338","NY00942338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-19 09:50:00-02","NY","NYBG","221903","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","belophylla","Pavonia belophylla",NA,"E. Hassler","4602","1900","09",NA,"South America","Paraguay",NA,"In regione fluminis Curuguaty",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221903","NY00221903_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:59:32-03","NBC","NL-BOTANY","L.2364084","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Hatschbach GG; Guimarães OA",NA,"1968","12","10","Southern America","Brazil",NA,"Paraná (Brasil). Mun Laranjeiras do Sul. Km 127.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364084 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364084","NL-L2364084",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:33:24-03","MBM","MBM","1611","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Hatschbach, G.","15544",NA,NA,NA,"Southern America","Brazil","Paraná","Laranjeiras do Sul","-52.4160995483398","-25.4078006744385",NA,"Do campo pedregoso","MBM001611","MBM001611",NA,NA,"Krapovickas, A.","1967","Laranjeiras do Sul","28404","auto",NA,NA,NA,NA,NA
"5","2020-12-21 16:33:24-03","MBM","MBM","8893","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","20618",NA,NA,NA,"Southern America","Brazil","Paraná","Km 127","-52.4160995483398","-25.4078006744385",NA,"Do campo seco, limpo. Flor alvecente, nervuras rosadas","MBM008893","MBM008893",NA,NA,"Krapovickas, A.","1969","Laranjeiras do Sul","28404","auto","04",NA,NA,NA,NA
"6","2015-09-04 19:32:30-03","MNHN","RECOLNAT_MNHN_P","P06607759","PreservedSpecimen",NA,NA,NA,"Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Hassler",NA,"1907","1","1",NA,"Paraguai",NA,"In altaplanitie et declivibus. Sierra de Amambay.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06607759' target='other'> <mi>dwc_moreinfo</mi></a>","P06607759","P06607759_01",NA,NA,NA,NA,NA,NA,NA,NA,"9894",NA,NA,NA
"7","2015-09-04 19:32:30-03","MNHN","RECOLNAT_MNHN_P","P06607760","PreservedSpecimen",NA,NA,NA,"Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Balansa, B.",NA,"1874","11","7",NA,"Paraguai",NA,"[laaguazu], sur les collines incultes.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06607760' target='other'> <mi>dwc_moreinfo</mi></a>","P06607760","P06607760_01",NA,NA,NA,NA,NA,NA,NA,NA,"1868",NA,NA,NA
"8","2015-11-06 15:34:16-02","MNHN","RECOLNAT_MNHN_P","P02285707","PreservedSpecimen",NA,NA,NA,"Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Hassler, E.",NA,NA,NA,NA,NA,"Paraguay",NA,"In regione fluminis Curuguaty",NA,NA,"hb","Iter ad Yerbales montium Sierra de Maracayu <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02285707' target='other'> <mi>dwc_moreinfo</mi></a>","P02285707","P02285707_01","isotype",NA,NA,NA,NA,NA,NA,NA,"4602",NA,NA,NA
"9","2014-07-11 13:45:56-03","MNHN","RECOLNAT_MNHN_P","P02285708","PreservedSpecimen",NA,NA,NA,"Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Hassler, E.",NA,NA,NA,NA,NA,"Paraguay",NA,"In regione fluminis Curuguaty",NA,NA,"hb","Iter ad Yerbales montium Sierra de Maracayu <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02285708' target='other'> <mi>dwc_moreinfo</mi></a>","P02285708","P02285708_01","isotype",NA,NA,NA,NA,NA,NA,NA,"4602",NA,NA,NA
"10","2021-02-11 17:19:30-03","UFPR","UPCB","6501","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","belophylla","Pavonia belophylla","Hochr.","Hatschbach, G.","15544","1966","12","16",NA,"Brasil","Paraná",NA,"-52.4160995483398","-25.4078006744385",NA,"Campo pedregoso..",NA,NA,NA,NA,"Grings, M.","2019","Laranjeiras do Sul","28404","auto","10",NA,"10",NA,NA
