"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:42:18-03","E","E","81965","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","Zak, Vlastimil & Jaramillo, Jaime","3460","1988","04","15","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:90781","<a href=http://data.rbge.org.uk/herb/E00081965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00081965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:18-03","E","E","80528","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","Zak, Vlastimil & Jaramillo, Jaime","3164","1987","12","13","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:89274","<a href=http://data.rbge.org.uk/herb/E00080528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","870615","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","J. B. F. Silva","699","1983","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870615","Magnoliophyta","Malpighiales","L.f.","L. J. Gillespie","Maranhão","Tuntum","Lugar Palmerinha, a 74 km de Tuntum.","-44.6489","-5.2583","NY00870615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822614","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","P. Fiaschi","2729","2005","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=914788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822614","Magnoliophyta","Malpighiales","L.f.","P. Fiaschi","Bahia","Almadina","Serra do Sete-Paus. Rodovia de Almadina para Ibitupã, entrada à esquerda ca. 5 km Fazenda Cruzeiro do Sul, ca. 8 km da entrada do ramal.","-39.6961111","-14.735","NY00822614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","754512","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","J. Bosco","133","1990","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754512","Magnoliophyta","Malpighiales","L.f.",NA,"Acre","Rio Branco","Area da EMBRAPA. BR. 364, Km 14.","-67.8097","-9.9747","NY00754512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","527273","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","W. W. Thomas","7116",NA,NA,NA,"South America","Brazil","sheet",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527273","Magnoliophyta","Malpighiales","L.f.","W. W. Thomas","Bahia",NA,"7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Parcel 5","-39.0617","-14.4231","NY00527273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","870611","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","R. de Lemos Fróes","11547","1939","02",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870611","Magnoliophyta","Malpighiales","L.f.","G. L. Webster","Maranhão","São Luís","Island of São Luiz. Estrada do Tirical.","-44.3028","-2.5297","NY00870611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","527262","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","G. G. Hatschbach","15615","1967","01","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527262","Magnoliophyta","Malpighiales","L.f.","G. G. Hatschbach","Paraná","Paranaguá","Morro do Tabaquara","-48.5092","-25.5203","NY00527262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","196621","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","W. de Jong","24","1986","12","19","South America","Peru",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00196621","Magnoliophyta","Malpighiales","L.f.","M. J. Huft","Loreto","Requena","Yanallpa, Ucayali River","-73.75","-4.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","870626","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","N. A. Rosa","2938","1978","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870626","Magnoliophyta","Malpighiales","L.f.",NA,"Maranhão","Santa Inês","Margem direita do Rio Pindaré, proximo da Rod BR-316.","-45.38","-3.6669","NY00870626_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
