"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:36:01-03","E","E","102430","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110818","<a href=http://data.rbge.org.uk/herb/E00102430 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:01-03","E","E","212657","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","Ratter, J.A. & Filho, J. Fonsêca","1971","07","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:227601","<a href=http://data.rbge.org.uk/herb/E00212657 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212657","Mato Grosso","Barra do Garcas, above Aqua Quente.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1030476","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","B. Maguire","1963","08","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117267' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030476","Mato Grosso","Serras do Parecis. Brasilia-Acre.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","56451","700","900","NY01030476_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1006692","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","A. F. M. Glaziou",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116686' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006692","Minas Gerais",NA,"Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","12841",NA,NA,"NY01006692_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1030488","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","A. O. Scariot","2003","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117291' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030488","Tocantins",NA,"Magnoliophyta","Sapindales","A.St.-Hil.","A. da Silva","754","722","722","NY01030488_01","Dianópolis","-46.4692","-11.6103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","436573","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","G. Gardner","1840","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00436573","Minas Gerais",NA,"Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","4495",NA,NA,"NY00436573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1280829","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","T. B. Cavalcanti","1995","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1622940' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280829","Goiás","Estrada de acesso a barra do Rio Bagagem c/o Rio Tocantinzinho.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","1481","450","450","NY01280829_01","Niquelândia","-48.28","-14.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1006679","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","H. S. Irwin","1964","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116607' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006679","Goiás","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","7320","800","1000","NY01006679_01","Jataí","-51.7","-17.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1030468","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","E. P. Heringer","1963","01","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117214' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030468","Distrito Federal","Plano Pilôto.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","9074/1268",NA,NA,"NY01030468_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1030478","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","S. A. Mori","1984","07","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117272' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030478","Distrito Federal","On road to Gama, DF16, 3-7 km from junction with BR040.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","16654","1100","1100","NY01030478_01","Brasília","-48.03","-15.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
