"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02104110","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","F. S. Meyer","F. S. Meyer","1448M","2012","12","05","South America","Brazil","Paraná","Piraí do Sul","Arredores da Pousada Serra do Pirahy","-50.027222","-24.463233","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2624168' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104110","NY02104110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","558167","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","J. J. Wurdack","G. G. Hatschbach","3849","1957","03","30","South America","Brazil","Paraná","Piraí do Sul","Serra das Furnas","-49.9483","-24.5261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558167","NY00558167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:44:49-03","EAO","IAN","41083","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.",NA,"Saint-Hilaire","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN041083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:05:10-03","NBC","NL-BOTANY","L.2557959","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.",NA,"Hatschbach GG; Smith LS; Klein RM",NA,"1965","01","18","Southern America","Brazil",NA,NA,"Est Parana (Brasil) Mun. Jaguariaiva, Fda. Cajuru.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2557959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2557959","NL-L2557959","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:13:52-03","ESALQ","ESA","44893","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","Meyer, F.S.","Souza, J.P. ; Souza, V.C.","2008.0","1997","12","10",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA044893","ESA044893",NA,"2013","11","01","27729","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-24 17:09:27-03","UFES","SAMES","3444","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","Menezes,L.F.T.","Rocha,T.L.; Menezes,L.F.T.;Ribeiro,M.","148","2011","05","25",NA,"Brasil","Espírito Santo","Conceição da Barra","Bairro Quadrado. Mata de restinga, próximo ao rio São Mateus.","-39.7322006225586","-18.5932998657227",NA,"Arbusto, flores roxas, botões com bracteas amarelo e vermelho do meio para cima.","SAMES03444",NA,NA,"2012","06","13","41644","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:35:19-03","UNICAMP","UEC","187836","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","Meyer, FS","Meyer, FS","1699","2013","03","29",NA,"Brazil","Paraná","Piraí do Sul","Serra de Piraí do Sul, Trilha próximo à Pousada Serra do Pirahy, parte alta da Serra","-50.049364","-24.774856",NA,"Subarbusto 15-60 cm alt., ocorrendo nos campos associados aos afloramentos rochosos (arenito). Folhas ovais, ramos com tricomas avermelhados, especialmente na inflorescência. Flores 5 meras, estames do ciclo antessépalo com conectivo d","UEC114991","UEC114991",NA,"2013","03",NA,NA,NA,"-50.049364","-24.774856",NA,NA,NA,NA,NA
"8","2021-03-01 16:35:19-03","UNICAMP","UEC","187833","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","Meyer, FS","Meyer, FS","1696","2013","03","29",NA,"Brazil","Paraná","Piraí do Sul","Serra de Piraí do Sul, Trilha próximo à Pousada Serra do Pirahy, parte alta da Serra","-50.049364","-24.774856",NA,"Subarbusto 15-60 cm alt., ocorrendo nos campos associados aos afloramentos rochosos (arenito). Folhas ovais, ramos com tricomas avermelhados, especialmente na inflorescência. Flores 5 meras, estames do ciclo antessépalo com conectivo d","UEC114993","UEC114993",NA,"2013","03",NA,NA,NA,"-50.049364","-24.774856",NA,NA,NA,NA,NA
"9","2021-03-01 16:35:19-03","UNICAMP","UEC","187837","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","Meyer, FS","Meyer, FS","1700","2013","03","29",NA,"Brazil","Paraná","Piraí do Sul","Serra de Piraí do Sul, Trilha próximo à Pousada Serra do Pirahy, parte alta da Serra","-50.049364","-24.774856",NA,"Subarbusto 15-60 cm alt., ocorrendo nos campos associados aos afloramentos rochosos (arenito). Folhas ovais, ramos com tricomas avermelhados, especialmente na inflorescência. Flores 5 meras, estames do ciclo antessépalo com conectivo d","UEC114990","UEC114990",NA,"2013","03",NA,NA,NA,"-50.049364","-24.774856",NA,NA,NA,NA,NA
"10","2021-03-01 16:35:19-03","UNICAMP","UEC","187839","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","herincquiana","Tibouchina herincquiana","Cogn.","Meyer, FS","Meyer, FS","1702","2013","03","29",NA,"Brazil","Paraná","Piraí do Sul","Serra de Piraí do Sul, Trilha próximo à Pousada Serra do Pirahy, parte alta da Serra","-50.049364","-24.774856",NA,"Subarbusto 15-60 cm alt., ocorrendo nos campos associados aos afloramentos rochosos (arenito). Folhas ovais, ramos com tricomas avermelhados, especialmente na inflorescência. Flores 5 meras, estames do ciclo antessépalo com conectivo d","UEC114978","UEC114978",NA,"2013","03",NA,NA,NA,"-50.049364","-24.774856",NA,NA,NA,NA,NA
