"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","484121","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","D. C. Wasshausen","J. R. Pirani","2424","1988","02","23","South America","Brazil","Espírito Santo","Guarapari: Rodovia do Sol, estrada que liga a BR-101 à Praia Setibana ES-060 a 6 Km da BR-101.","-40.45","-20.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484121","NY00484121_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:58:33-03","ESALQ","ESA","98684","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana",NA,"Lorenzi, H.","Lorenzi, H.","3205.0","2002","03","05",NA,"Brasil","Espírito Santo",NA,"-40.6591987609863","-20.3633003234863",NA,NA,"ESA098684","ESA098684","2002","03","05","Domingos Martins","48150","auto",NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:00:00-03","JBP","HPL","215","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana",NA,"H. Lorenzi","H. Lorenzi","3205","2002","03","05",NA,"Brasil","ES","Kautski, em mata.","-40.6592","-20.3633",NA,NA,NA,NA,"2002","03","05","Domingos Martins","48150","auto",NA,NA,NA,NA,NA,NA
"4","2021-03-24 17:08:26-03","UFES","SAMES","4","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","Indriunas,A.","Lopes,W.P.; Bausen,E.;Pizziolo,W.","619","1999","05","05",NA,"Brasil","Espírito Santo","Estação Biológica de Santa Lúcia. Parte baixa da cachoeira do rio Timbuí.","-40.6002998352051","-19.9356002807617",NA,"Inflorescências rosadas, flores de rosa na base a lilás no ápice. Habito: Arbusto","SAMES00004",NA,"2014","07","28","Santa Teresa","23813","auto","-405983333.0","-199363889.0",NA,NA,NA,NA
"5","2020-04-27 16:08:26-03","UFES","VIES","11198","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","Assis, A.M.","Menezes, B.D.; Assis, A.M.; Vago, A.M.; Rezende, J.D. & Botelho, R.M.","22","2010","08","20",NA,"Brasil","Espírito Santo","APA Mestre Álvaro, Vertente sudeste. Acesso pelo Bairro Jardim Tropical (FURNAS).","-40.509444","-20.303056",NA,NA,"VIES011198","VIES011198","2010","08","20","Serra",NA,NA,"40º30'34''W","20º18'11''S","250","250",NA,NA
"6","2020-04-27 16:08:26-03","UFES","VIES","29866","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","Indriunas, A.","Lopes, W.P.; Bausen, E. & Pizziolo, W.","619","1999","05","05",NA,"Brasil","Espírito Santo","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617",NA,NA,"VIES029866",NA,"2014","07","28","Santa Teresa","23813","auto",NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:08:26-03","UFES","VIES","4286","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","Indriunas, A.","Pereira, S.V.","2","1990","04","01",NA,"Brasil","Espírito Santo",NA,"-40.3078002929688","-20.1285991668701",NA,NA,"VIES004286","VIES004286","2015","05","21","Serra","16451","auto",NA,NA,NA,NA,NA,NA
"8","2020-04-27 16:08:26-03","UFES","VIES","12097","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","Indriunas, A.","Barros, P.H.D.; Silva, L.A. & Iglesias, D.T.","231","2012","03","10",NA,"Brasil","Espírito Santo","APA Mestre Álvaro.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES012097","VIES012097","2015","05","21","Serra","16451","auto",NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:08:26-03","UFES","VIES","16123","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","Indriunas, A.","Pereira, O.J.","7682","1997","04","14",NA,"Brasil","Espírito Santo","Bacia Rio Jacaraípe, Domínio Floresta Ombrófila Densa de terras baixas. Tabuleiro.","-40.3078002929688","-20.1285991668701",NA,NA,"VIES016123","VIES016123","2015","05","21","Serra","16451","auto",NA,NA,NA,NA,NA,NA
"10","2014-09-01 12:33:00-03","MO","MOBOT","3071033","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","D.Wasshausen","José R. Pirani|W. Wayt Thomas|Renato de Mello-Silva|J.B. Fernandes","Pirani 2424","1988",NA,NA,"South America","Brazil","Espírito Santo","Guarapari: Rodovia do Sol, estrada que liga a BR-101 a Praia Setibana ES-060 a 6 km da BR-101. Remanescente de floresta tropical pluvial, peturbada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","27045",NA,"Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","Sheila R. Profice/Agosto-2009","V. Demuner; T. Cruz, M. Belizário, Elias Bausen","2082","2006","03","29",NA,"Brasil","Espírito Santo","Bragança, cachoeira Gruta da Onça","-40.546389","-20.123056",NA,"Arbusto 2m, bráctea rosa. Ambiente aberto, beira da cachoeira.","MBML027045","MBML027045",NA,NA,NA,"Santa Leopoldina",NA,NA,"40W32'47","20S7'23","250","250",NA,NA
"12","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","10391",NA,"Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.","L. Kollmann/05-12-2001","W. P. Lopes; E. Bausen & W. Pizziolo","619","1999","05","05",NA,"Brasil","Espírito Santo","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Arbusto 1m. Inflorescências rosadas. Flores de rosa na base a lilás não ápice.","MBML010391","MBML010391",NA,NA,NA,"Santa Teresa",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"13","2020-07-10 09:43:08-03","MBML","MBML-HERBARIO","11963",NA,"Plantae",NA,NA,"Acanthaceae","Aphelandra","maximiliana","Aphelandra maximiliana","(Nees) Benth.",NA,"Cintia C. Chamas; et al","162","1994","05","27",NA,"Brasil","Espírito Santo","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Caule prostrado (3m), com ramificação vertical, folha verde com indumento branco, flor rósea, serrapilheira, sombra, altitude aprox. 650m.","MBML011963","MBML011963",NA,NA,NA,"Santa Teresa",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
