"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2020-09-23 10:40:26-03","E","E","167785","PreservedSpecimen","Plantae","Leguminosae","Andira","humilis","Andira humilis","Hatschbach, G.; Hatschbach, M.; Silva, J.M.","73566","2002","08","18","E. Tropical South America","BR","Minas Gerais","herbarium specimen of unspecif","BGBASE:177130","<a href=http://data.rbge.org.uk/herb/E00167785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:26-03","E","E","187667","PreservedSpecimen","Plantae","Leguminosae","Andira","humilis","Andira humilis","Krapovickas, A.; Harley, R.M.; Cristobal, C.L.; Schinini, A.","45750","1994","10","19","Temperate South America","AR",NA,"herbarium specimen of unspecif","BGBASE:195656","<a href=http://data.rbge.org.uk/herb/E00187667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00981001","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","W. R. Anderson","8016","1973","04","03","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981001","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Cristalina","12 km by road N of Cristalina. Serra dos Cristais.","-47.68","-16.7","1060","1060","NY00981001_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","684639","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","J. S. Blanchet","s.n.",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684639","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"Trop.",NA,NA,NA,NA,"NY00684639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","452347","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","G. Eiten","2262","1960","09","02","South America","Brazil","São Paulo","sheet",NA,"See original label for extended descriptions of habitat, vegetation and soils. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452347","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Moji-Guaçu","Campos das Sete Lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 Km. NNE of city Padua Sales. (About 27 km. NW of city of Moji-Mirim.) 0.5 km. W of tower",NA,NA,"575","650","NY00452347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00981056","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","R. C. de Mendonça","1225","1989","02","28","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981056","Magnoliophyta","Fabales","Mart. ex Benth.","R. C. Barneby",NA,"BR 365 (Uberândia- Patos de Minas)","-46.9153","-18.885",NA,NA,"NY00981056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","452358","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","A. P. Duarte","2856","1959","08","21","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452358","Magnoliophyta","Fabales","Mart. ex Benth.",NA,NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"NY00452358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00981007","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","L. Riedel","2935","1834","09",NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981007","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"In campis St. Paulo, Goyaz, Minas [illegible]",NA,NA,NA,NA,"NY00981007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00981002","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","W. R. Anderson","9051","1973","04","18","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981002","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"7.5 km by road W of Rio Pandeiros on road from Januária to Serra das Araras","-44.82","-15.52","600","600","NY00981002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","452362","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","J. C. Lindeman","2742","1966","10","17","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452362","Magnoliophyta","Fabales","Mart. ex Benth.","M. T. K. Arroyo","Campo Mourao","Near airstrip of Campo Mourao","-52.3831","-24.0458",NA,NA,"NY00452362_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00981004","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","22146a","1969","01","17","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981004","Magnoliophyta","Fabales","Mart. ex Benth.",NA,NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205","1300","1300","NY00981004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00981084","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","G. K. Gottsberger","23-31083","1983","10","03","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981084","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Indianópolis","Fazenda Bela Tanda and neighbouring fazendas, 6 km NE of Indianópolis","-47.95","-19.22","850","850","NY00981084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00980982","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","E. P. Heringer","16202","1976","09","16","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980982","Magnoliophyta","Fabales","Mart. ex Benth.","H. C. de Lima","Brasília","Faz. Agua Limpa, UnB","-47.9294","-15.7797",NA,NA,"NY00980982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","452343","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","A. M. Amorim","1822","1995","10","28","South America","Brazil","Bahia","sheet",NA,"Flores em álcoohol a 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452343","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Jacobina","Estrada Jacobina a Miguel Calmon, ca. 24 km. da sede do município. Coletas efetuadas ca. 4 km. no início do ramal.","-40.5181","-11.1808",NA,NA,"NY00452343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00981078","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","22146a","1969","01","17","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981078","Magnoliophyta","Fabales","Mart. ex Benth.",NA,NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205","1300","1300","NY00981078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","452352","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","P. R. J. Bamps","5078","1975","12","30","South America","Brazil","Rio Grande do Norte","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452352","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"Ceara Mirim-Touros, Km. 25","-35.4","-5.4",NA,NA,"NY00452352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00981032","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","G. K. Gottsberger","15-28782","1982","07","28","South America","Brazil","Maranhão","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981032","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Grajaú","Serra das Alpergatas, 40 km S of the village Grajaú, along the road Grajaú-Fortaleza dos Nogueiras.","-46.1","-5.8",NA,NA,"NY00981032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00452359","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","J. S. Blanchet","2723","1839",NA,NA,"South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452359","Magnoliophyta","Fabales","Mart. ex Benth.",NA,NA,"Serra da Jacobina",NA,NA,NA,NA,"NY00452359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00981030","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","B. D. Sucre","755","1965","07","21","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981030","Magnoliophyta","Fabales","Mart. ex Benth.",NA,"Brasília","Campus Universitário- Perto do Lago","-47.8661919","-15.75889",NA,NA,"NY00981030_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00980986","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","E. P. Heringer","2572","1979","10","22","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980986","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"NY00980986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00981010","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","R. S. Santos","24052","1963","09","06","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981010","Magnoliophyta","Fabales","Mart. ex Benth.",NA,NA,"Entre Matozinho e Prudente de Morais","-44.1199689","-19.5184939",NA,NA,"NY00981010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00981028","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","10272","1965","11","13","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981028","Magnoliophyta","Fabales","Mart. ex Benth.",NA,"Brasília",NA,"-47.9167","-15.7833","975","975","NY00981028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","452349","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","W. R. Anderson","36835","1972","03","08","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452349","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Barreiras","Espigao Mestre, ca. 100 km. WSW of Barreiras","-44.99","-12.15","750","800","NY00452349_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00980952","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","W. R. Anderson","6255","1973","03","04","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980952","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 7 km by road N of Alto Paraíso","-47.56254","-14.07196","1500","1500","NY00980952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
