"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","verbatimLongitude","verbatimLatitude","phylum","class","order","yearIdentified","monthIdentified"
"1","2020-12-21 16:18:25-03","MBM","MBM","171584","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","W. Morawetz","Gentry, A.","Pereira, A.D.","s.n.","1984","11","30","Southern America","Brazil","São Paulo","Campos do Jordão","Parque Estadual","-45.5900001525879","-22.7299995422363","21048","MBM171584","MBM171584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","1255863","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz",NA,"MORAWETZ","MORAWETZ 18-10175",NA,NA,NA,"South America","Brazil",NA,NA,"Serra da Mantiqueira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-11-06 22:08:00-02","MO","MOBOT","1255864","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz","W. Morawetz","Wilfried Morawetz","Morawetz 32-19275","1975","2","19","South America","Brazil",NA,NA,"Mun de Rezende. Serra da Mantiqueira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1042279","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz",NA,"Ilse S. Gottsberger|et al.","Gottsberger 113-14878","1978","8","14","South America","Brazil","Rio de Janeiro",NA,"De Rezende, Serra de Mantiqueira, from Eng. Passos to Pouso Alto at the pass.","-44.68333","-22.43333",NA,NA,NA,NA,"1600.00000000","1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","1042291","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz",NA,"Ilse S. Gottsberger|et al.","Gottsberger 114-14878","1978","8","14","South America","Brazil","Rio de Janeiro",NA,"Resende, Serra da Mantiqueira.","-44.68333","-22.43333",NA,NA,NA,NA,"1600.00000000","1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","1042311","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz",NA,"Ilse S. Gottsberger|et al.","Gottsberger 115-14878","1978","8","14","South America","Brazil","Rio de Janeiro",NA,"Resende, Serra da Mantiqueira.","-44.68333","-22.43333",NA,NA,NA,NA,"1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1048933","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz",NA,"Pereira","Pereira s.n.","1984","11","30","South America","Brazil","São Paulo",NA,"Mpio. Campos do Jordao, Parque Estadual, Instituto Florestal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-03-04 21:00:00-03","MO","MOBOT","1255862","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz",NA,"Gerhard K. Gottsberger","Gottsberger 18-10175","1975","1","10","South America","Brazil","Rio de Janeiro",NA,"Mun de Rezende. Serra da Mantiqueira. On the way from Eng. Passos to Puoso Alto at the pass, where the street to the mountains of Agulhas Negras is branching off. At the division to Sao Paulo. Dense well developed secondary mountain-rain forest.","-44.68333","-22.43333",NA,NA,NA,NA,"1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-11-24 14:10:15-02","UFLA","ESAL","16233","S","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz",NA,"Oliveira Filho, AT; et al.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Carrancas","Chapada das Perdizes","-44.6425018310547","-21.4874992370605","21143",NA,NA,"auto","1","1","árvore; 6.00m; ;; floresta",NA,NA,NA,NA,NA,NA,NA
"10","2018-10-09 16:31:05-03","UFLA","ESAL","19122","S","Plantae","Bignoniaceae","Jacaranda","subalpina","Jacaranda subalpina","Morawetz","Ary T. Oliveira Filho","Dalanesi, PE","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Lavras","Parque Ecologico Quedas do Rio Bonito","-44.999444","-21.245278",NA,NA,NA,NA,"1","1","árvore; ; ;; floresta","-44.999444","-21.245278",NA,NA,NA,NA,NA
