"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","infraspecificEpithet","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem","sex"
"1","2020-09-23 10:36:11-03","E","E","259706","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii","unspecified kind of","Fiebrig, K.","337","1902","12","28","E. Tropical South America","PY","Cordillera de Altos","herbarium specimen of unspecif","BGBASE:273255","<a href=http://data.rbge.org.uk/herb/E00259706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","23375","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii","isotype","L. Riedel","s.n.","1825","12",NA,"South America","Brazil","Brasilia","sheet",NA,"5 in the date is not clear <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00023375","Magnoliophyta","Gentianales","Müll.Arg.","NY00023375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","440388","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii riedelii",NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil","Rio Pardo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440388","Magnoliophyta","Gentianales","Müll.Arg.","NY00440388_01","riedelii","W. Marcondes-Ferreira","São Paulo","Ribeirao Preto","-47.81","-21.1703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440387","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii riedelii",NA,"L. Riedel","119",NA,NA,NA,"South America","Brazil","Rio Parana et Pardo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440387","Magnoliophyta","Gentianales","Müll.Arg.","NY00440387_01","riedelii","W. Marcondes-Ferreira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","440388","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii riedelii",NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil","Rio Pardo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440388","Magnoliophyta","Gentianales","Müll.Arg.","NY00440388_01","riedelii","W. Marcondes-Ferreira","São Paulo","Ribeirao Preto","-47.81","-21.1703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","440387","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii riedelii",NA,"L. Riedel","119",NA,NA,NA,"South America","Brazil","Rio Parana et Pardo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440387","Magnoliophyta","Gentianales","Müll.Arg.","NY00440387_01","riedelii","W. Marcondes-Ferreira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:39-03","UNESP-IBB","BOTU","3967","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Marcoris, S.A.G.","7-H","1974","11","09",NA,"Brasil",NA,NA,NA,NA,"BOTU003967",NA,NA,"Müll. Arg.","BOTU003967",NA,"Ferreira, D.M.","São Paulo",NA,NA,NA,"2010","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","25952","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Martins, M.V.","118","2009","10","06",NA,"Brasil",NA,NA,NA,"árvore de 2m de altura","BOTU025952",NA,NA,"Müll. Arg.","BOTU025952",NA,"Martins, M.V.","São Paulo","Botucatu","-48.016667","-22.866667",NA,NA,"48°01'w","22°52's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","26807","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Santos, L.B.","195","2009","04","23",NA,"Brasil",NA,NA,NA,NA,"BOTU026807",NA,NA,"Müll. Arg.","BOTU026807",NA,"Santos, L.B.","São Paulo","Botucatu","-46.511111","-22.8375","2009","12","46°30'40''W","22°50'15''S","750","750",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:07:06-03","UNESP-IBB","BOTU","33997","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Castro Matheus, L.","43","2019","04","17",NA,"Brasil","Jardim Botânico do IBB",NA,NA,NA,"BOTU033997",NA,NA,"Müll. Arg.",NA,NA,NA,"São Paulo","Botucatu","-48.833333","-23.016667",NA,NA,"48°49'60w","22°60'60s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:33:57-03","EAO","IAN","170125","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Handro, O","330","1952","12",NA,"Southern America","Brasil",NA,NA,NA,"Arbusto de 3m de altura, muito ramoso.","IAN170125","Dicotiledônea",NA,"Müll.Arg.",NA,NA,"Pereira, A","São Paulo",NA,NA,NA,"2015","12",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:33:57-03","EAO","IAN","170130","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Hoehne, FC","170130","1936","02","10","Southern America","Brasil","Ypanema, cultivada no Jardim Botânico de São Paulo.",NA,NA,"Arbusto.","IAN170130","Dicotiledônea",NA,"Müll.Arg.",NA,NA,"Pereira, A","São Paulo",NA,NA,NA,"2015","12",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:33:57-03","EAO","IAN","55216","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Egídio, J; Viégas, AP","2909","1939","11","06","Southern America","Brasil","Fazenda Riqueza.",NA,NA,NA,"IAN055216","Dicotiledônea",NA,"Müll.Arg.",NA,NA,"Pereira, A","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-04 15:24:41-03","PUCPR","HUCP","24313","S","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Bochorny, T","s.n.","2012","02","02",NA,"Brasil",NA,NA,NA,NA,NA,"Eudicotiledonea",NA,"Mull. Arg.",NA,NA,"Bochorny, T","Paraná","Telêmaco Borba","-50.6156005859375","-24.3239002227783",NA,NA,NA,NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA
"15","2019-10-09 11:08:51-03","UFBA","ALCB","06899","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"s.col.","442",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"ALCB006153","Dicotyledon",NA,"Müll.Arg.","ALCB006153",NA,"Ferreira, WM","Bahia",NA,NA,NA,"1998","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:20:37-03","MN","R","110894","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Hoehne, F.C.",NA,"1936","02","10",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"Müll. Arg.",NA,NA,"Hoehne, F.C.","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:20:37-03","MN","R","115985","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii sppoliganthum",NA,"Pereira, E. 9779; Pabst, G.F.J. 8668",NA,"1965","01","27",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"(Woodson) Marc.-Ferr.",NA,"sppoliganthum","Marcondes-Ferreira, W.","Bahia",NA,NA,NA,"1989","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:20:37-03","MN","R","110895","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"Handro, O.","330","1952","12",NA,NA,"Brasil",NA,NA,NA,"Instituto de Botânica São Paulo",NA,NA,NA,"Müll. Arg.",NA,NA,"Handro, O.","São Paulo","Tatuí","-47.8499984741211","-23.3500003814697",NA,NA,NA,NA,NA,NA,NA,"22710","auto",NA,NA,NA,NA,NA
"19","2015-07-02 14:00:19-03","JBP","HPL","535","S","Plantae","Apocynaceae","Aspidosperma","riedelii","Aspidosperma riedelii",NA,"E.R. Salviani & H. Lorenzi","95","1998","07","02",NA,"Brasil","IAC, próximo a seção de floricultura.",NA,NA,NA,NA,NA,NA,"Muell. Arg",NA,NA,"E.R. Salviani & H. Lorenzi","SP","Campinas","-47.06","-22.9",NA,NA,NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA
