"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","777538","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","organense","Anthurium organense","Engl.","M. A. Nadruz Coelho","G. Martinelli","8687","1982","09","16","South America","Brazil","Rio de Janeiro","Macaé","Pico do Frado de Macé","-41.7867","-22.3708","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777538","NY00777538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:51:16-03","EAO","IAN","72884","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.",NA,"Sch","2873",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN072884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-09-27 18:03:37-03","UFES","VIES","34043","S","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.","R.T. Valadares","Zorzanelli, J.P.F.","1058","2014","07","19",NA,"Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803","1520","1520",NA,NA,"VIES034043","VIES034043","2018","12","17","32198","auto",NA,NA,NA,NA
"4","2015-01-24 13:40:00-02","MO","MOBOT","2788257","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.",NA,"Gustavo Martinelli","Martinelli 13364","1989","6","28","South America","Brazil","Rio de Janeiro",NA,"Santa Maria Masteno, Parque Estadual do Retengono, Pedra do Desengano, campos de altitude e transiap para mata de altitude.",NA,NA,"1800.00000000","1850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","2982593","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.","L.G. Temponi","* TEMPONI","TEMPONI 347","2004","6","15","South America","Brazil","Rio de Janeiro",NA,"Nova Friburgo: Pico da Caledônea. Estrada calçada para o alto da montanha, próximo à queda d'água.","-42.58611","-22.34583","1696.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2010-07-23 16:42:00-03","MO","MOBOT","3004964","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.","A. Engler","J.H.R. Schenck","Schenck 2873","1887",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-01-24 13:40:00-02","MO","MOBOT","375968","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.","T. Croat","Gustavo Martinelli","Martinelli 13156","1988","10","5","South America","Brazil","Rio de Janeiro",NA,"Santo Paris Modsleno (handwritten label very hard to decipher!)",NA,NA,"1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-12-10 13:05:00-02","MO","MOBOT","101087716","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.",NA,"Gustavo Martinelli|Cyl Farney","Martinelli 8687",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Macaé",NA,"-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA
"9","2018-12-10 13:05:00-02","MO","MOBOT","101087712","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.",NA,"Gustavo Martinelli","Martinelli 2509",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA
"10","2020-05-02 04:38:00-03","MO","MOBOT","101088999","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","organense","Anthurium organense","Engl.",NA,"Lívia G. Temponi|et al.","Temponi 347",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA
