"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","individualCount","occurrenceRemarks","recordedBy","recordNumber","continentOcean","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","barcode","year","month","day","county","coordinatePrecision","geoFlag","imagecode","fieldNumber","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","relatedCatalogItem"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","544","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker","Elton. C. M. Leme","2009","05","Equador","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","884568","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","C.F.Baker",NA,NA,NA,"Brazil",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961575' target='other'> <mi>dwc_moreinfo</mi></a>","A. F. M. Glaziou","5466","South America","Rio de Janeiro","Copacabana.","-43.184813","-22.973744","sheet","NY00884568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:37-03","UFRJ","RFA","27273","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker","T. Wendt",NA,NA,"Brasil",NA,"Terrestre, na borda da mata em situação exposta ao sol, pouco frequente, no local, formando uma grande moita. Brácteas escapais vermelhas, brácteas florais verdes, sépalas azuladas","T. Wendt; G. K. Brown; F. C. P. Tatagiba; L. O. F. de Sousa; A. A. M. de Barros","330",NA,"Rio de Janeiro","Trilha para o Alto Moirão, subindo a partir da praia do Itacoatiara","-43.1035995483398","-22.88330078125",NA,"RFA51946","2000","11","15","Niterói","14785","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:33-03","MN","R","32386","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker",NA,NA,NA,"Brasil",NA,NA,"Foster, M.R.","152",NA,"Espírito Santo",NA,NA,NA,NA,"R010004198,R010004199","1939","07","07","Cachoeiro do Itapemirim",NA,NA,"R010004198 R010004199",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:25:33-03","MN","R","229154","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker",NA,NA,NA,"Brasil",NA,NA,"Uribbe, F.P.","231",NA,"Minas Gerais",NA,"-44.1781005859375","-21.1103000640869",NA,"R010016607","2014","06","27","Tiradentes","10355","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:25:33-03","MN","R","197369","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker",NA,NA,NA,"Brasil",NA,NA,"Moura, R.","156",NA,"Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,"R010004193,R010004194","1999","08","20","Rio de Janeiro","57442","auto","R010004193 R010004194",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-19 16:11:23-03","UFPI","TEPB","20978","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker","G. M. Sousa",NA,NA,"Brasil",NA,"Hábito terrestre; folhas ca. 1,5m compr., verde com faixas alvas abaxialmente; bainha castanha em ambas as faces; escapo ca. 80cm compr.; brácteas do escapo vermelhas; infrutescência estrobiliforme ca. 18cm compr.; brácteas florais verdes; sépalas verdes","G. M. Sousa","511",NA,"Rio de Janeiro","Restinga de Grumari; primeiro cordão arenoso da restinga","-43.2075004577637","-22.9027996063232",NA,NA,"2003","08","13","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:16:22-03","UFV","VIC","026178","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker",NA,NA,NA,"Brasil",NA,"terrestre de brácteas escapais vermelhas, séplas de margens azul escuro.","de Paula, C.C.","s.n.",NA,"Rio de Janeiro","Búzios reserva Tauá","-43.2075004577637","-22.9027996063232",NA,"VIC026178","2001","11","10","Rio de Janeiro","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:19:16-03","MBM","MBM","57757","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gigantea","Aechmea gigantea","(Maury) Baker",NA,NA,NA,"Venezuela",NA,NA,"Fernández, A.","3228","Southern America",NA,"Cerro Azul a unos 700 msm. al Sur de Macuro, Cristóbal Colón, Dtto. Valdés, Edo.Sucre",NA,NA,NA,"MBM057757","1977","06","29",NA,NA,NA,"MBM057757",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-03 21:21:36-03","MNHN","RECOLNAT_MNHN_P","P02176129","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","sphaerocephala","Aechmea sphaerocephala","Baker",NA,NA,NA,"Brasil",NA,". . Herbier de A. Glaziou donné par Mme SIMARD, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176129' target='other'> <mi>dwc_moreinfo</mi></a>","Glaziou, A.",NA,NA,"Rio de Janeiro","Praia do Harpoador. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb","P02176129","1876","6","29",NA,NA,NA,"P02176129_01","8501",NA,NA,NA,NA,NA,NA,NA,NA
