"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","year","month","day","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","class","order","dayIdentified","relatedCatalogItem","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","preparationType","individualCount","typeStatus"
"1","2021-04-08 17:43:14-03","EAO","IAN","6998","PreservedSpecimen","Plantae","Dicotiledônea","Peraceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Martins-da-Silva, RCV","s.n.","Southern America","Brasil","Bahia","IAN006998","IAN006998_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-25 16:51:18-03","UFBA","ALCB","134583","PreservedSpecimen","Plantae","Dicotyledon","Peraceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Guedes, ML; Oliveira, MAJ de; Alunos da Disciplina Paisagismo IBIO","31546","Southern America","Brasil","Bahia","ALCB059343","ALCB059343","Guedes, ML","2019","06","2019","05","10","Maracás","Faz. Botelho.","-40.716667","-13.733333","-40.716667","-13.733333","Folhas cartáceas, discolores. Frutos cápsulas, imaturas.; antropizadada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:49:43-03","NBC","NL-BOTANY","U.1268230","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Hatschbach GG; Hatschbach M; Barbosa E",NA,"Southern America","Brazil","Minas Gerais","NL-U1268230","NL-U1268230","Punt W","2003","04","1998","07","18",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1268230 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Malpighiales","01","U 0085375",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:49:43-03","NBC","NL-BOTANY","U.1268229","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Hatschbach GG; Hatschbach M; Barbosa E",NA,"Southern America","Brazil","Minas Gerais","NL-U1268229","NL-U1268229","Punt W","2003","04","1998","07","18",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1268229 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Malpighiales","01","U 0085376",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:49:43-03","NBC","NL-BOTANY","U.1268231","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Mexia YEJ",NA,"Southern America","Brazil",NA,"NL-U1268231","NL-U1268231",NA,NA,NA,"1930","08","15",NA,"State of Minas Geraes, Districto Ilheu, fazenda da tabunha; shady Streamside west of building.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1268231 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:56-03","ESALQ","ESA","122744","PreservedSpecimen","Plantae","Magnoliophyta","Peraceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Flores, T.B.","1615.0",NA,"Brasil","Espírito Santo","ESA122744","ESA122744","Bigio, N.C.",NA,NA,"2012","10","27","Ibitirama","Propriedade Particular (Paulo Kintão). No município de Ibitirama pegar o caminho para o cemitério, estrada de terra à direita em uma baixada. Mata de encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"Árvore, ca. 4m de alt. Frutos imaturos verdes, maduros marrons.",NA,NA,NA,NA,"22282","795","795","auto",NA,NA,NA
"7","2021-03-24 17:09:45-03","UFES","SAMES","4584","PreservedSpecimen","Plantae",NA,"Peraceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Giaretta,A.O.; Menezes,L.F.T.;Martins,R.F.A.;Araújo-Filho,P.B.","289",NA,"Brasil","Espírito Santo","SAMES04584",NA,"Ribeiro, M.","2019","10","2007","10","06","Conceição da Barra","Itaúnas. Vegetação localizada à direita da estrada principal da Vila de Itaúnas, em direção à sede do Parque Estadual de Itaúnas.","-39.7322006225586","-18.5932998657227",NA,NA,"Frutos verdes.",NA,NA,"07",NA,"41644",NA,NA,"auto",NA,NA,NA
"8","2021-03-24 17:09:45-03","UFES","SAMES","4550","PreservedSpecimen","Plantae",NA,"Peraceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Oliveira,I.R.; Ribeiro,M.;Rocha,T.L.","101",NA,"Brasil","Espírito Santo","SAMES04550",NA,"Ribeiro, M.","2019","10","2010","09","26","Pinheiros","Reserva Biológica Córrego do Veado. Floresta alta sobre tabuleiro, Km 1-4 da estrada interna.","-40.2132987976074","-18.3703002929688",NA,NA,"Frutos verdes e ásperos. Habito: Árvore",NA,NA,"07",NA,"28525",NA,NA,"auto",NA,NA,NA
"9","2021-03-24 17:09:45-03","UFES","SAMES","4586","PreservedSpecimen","Plantae",NA,"Peraceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Monteiro,M.M.; Giaretta,A.O.;Cruz,T.S.;Fanticelle,B.S.","27",NA,"Brasil","Espírito Santo","SAMES04586",NA,"Ribeiro, M.","2019","10","2008","06","15","Conceição da Barra","Itaúnas. Mata seca de restinga ás margens da entarada principal da Vila de Itaúnas.","-39.7322006225586","-18.5932998657227",NA,NA,"Frutos verdes.",NA,NA,"07",NA,"41644",NA,NA,"auto",NA,NA,NA
"10","2021-03-24 17:09:45-03","UFES","SAMES","4542","PreservedSpecimen","Plantae",NA,"Peraceae","Pera","furfuracea","Pera furfuracea","Müll.Arg.","Fink,M.G.S.; Ribeiro,M.;Coelho,R.;Rozário,E.M.","42",NA,"Brasil","Espírito Santo","SAMES04542",NA,"Ribeiro, M.","2019","10","2011","07","13","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227","-398050000.0","-182625000.0","Frutos verdes clato de textura aspera. Habito: Árvore",NA,NA,"07",NA,"41644",NA,NA,"auto",NA,NA,NA
