"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","414726","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.",NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00414726","NY00414726_01","Magnoliophyta","Asparagales",NA,"626","South America","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614440' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","414719","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.",NA,"P. K. H. Dusén","1911","06","17","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,"NY00414719","NY00414719_01","Magnoliophyta","Asparagales",NA,NA,"South America","Jacarehyva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578091' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","414721","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.",NA,"R. Reitz","1956","06","07","Brazil","Santa Catarina","Palhoça","-48.694057","-27.77489",NA,NA,"NY00414721","NY00414721_01","Magnoliophyta","Asparagales",NA,"3246","South America","Piloes, Palhoça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614435' target='other'> <mi>dwc_moreinfo</mi></a>","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:28:31-03","UFBA","ALCB","9398","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb.f.","Barros, F de","Santos, TS dos; Mattos Silva, LA; Thompson, CB","1978","11","09","Brasil","Bahia","Almadina","-39.6371994018555","-14.7053003311157",NA,NA,NA,NA,"Monocotyledon",NA,NA,"3390","Southern America","Litoral Sul, Faz. Beija-Flor. Ramal com entrada no Km 3 da Rod. Almadina/ Floresta Azul",NA,"Sobre cacaueiro. Frutos imaturos verdes.; Plantação de cacau.",NA,NA,"1981","11","14289","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:28:41-03","UFBA","ALCB","09398","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","C. van den Berg","Santos, TS dos; Mattos Silva, LA; Thompson, CB","1978","11","09","Brasil","Bahia","Almadina","-39.633333","-12.7","-39.633333","-12.7","ALCB006105","ALCB006105","Monocotyledon",NA,NA,"s/n","Southern America","Litoral Sul, Fazenda Beija-Flor, ramal com entrada no Km 3 da Rod. Alamdina-Floresta Azul. Final do ramal. Plantação de cacau",NA,"epífita, sobre cacaueiro. Frutos imaturos verdes.",NA,NA,"2005","03",NA,NA,"30",NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1492270","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","cernuum","Amblostoma cernuum","Scheidw.",NA,"Reitz R; Klein RM","1959","04","16","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1492270","NL-L1492270",NA,"Asparagales",NA,NA,"Southern America","Plantas de Santa Catarina. Serra do Matador, Rio do Sul.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1492270 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"17","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L.1492271","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","densum","Amblostoma densum","Rchb.f.",NA,"Herb Alleizette AC d'","1911","05","01","Bolivia",NA,NA,NA,NA,NA,NA,"NL-L1492271","NL-L1492271",NA,"Asparagales",NA,NA,"Southern America","Pov de Saruaja Vicinus Sorata cerro del Iminapi, supre sepulos. *.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1492271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"18","2020-11-04 12:17:23-03","ESALQ","ESA","33570","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb.f.","Waechter, J.L.","Jarenkow, J.A.","1992","03","26","Brasil","Rio Grande do Sul","Torres","-49.7268981933594","-29.3353004455566",NA,NA,"ESA033570",NA,"Magnoliophyta",NA,NA,"2112.0",NA,NA,NA,NA,NA,NA,NA,NA,"20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 12:17:30-03","ESALQ","ESA","95221","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Forster, W.","Braidotti, J.C. et al.","2005","03","25","Brasil","São Paulo","Eldorado","-48.0999984741211","-24.5200004577637",NA,NA,"ESA095221","ESA095221","Magnoliophyta",NA,NA,"88.0",NA,NA,NA,NA,NA,NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:40:42-03","MN","R","2781","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb. f.",NA,"Regnell, A.F.",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ex. herb. Brasi. Regnellian Musei bot Stockholm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
