"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2020-09-23 10:44:14-03","E","E","373271","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia","possible type","Sellow, F.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:428991","<a href=http://data.rbge.org.uk/herb/E00373271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01093101","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"J. E. Leite","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247093' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093101","Magnoliophyta","Lamiales","Cham.","H. N. Moldenke","663","1941","10","Rio Grande do Sul","Sao Leopoldo","Arredores de Sao Leopoldo","-51.18","-29.75","NY01093101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01093098","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247051' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093098","Magnoliophyta","Lamiales","Cham.","H. N. Moldenke","28171","1971","12","Paraná","Palmas","10 km a Noroeste de Palmas","-51.9906","-26.4844","NY01093098_01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01093103","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"L. B. Smith","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247095' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093103","Magnoliophyta","Lamiales","Cham.","S. J. Siedo","13029","1964","11","Santa Catarina","Irani","Campo de Irani","-51.83","-26.95","NY01093103_01","08","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1019025","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"B. Rambo","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1271521' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019025","Magnoliophyta","Lamiales","Cham.","S. J. Siedo","435","1933","09","Rio Grande do Sul",NA,"P. Alegre, Morro da Gloria",NA,NA,"NY01019025_01","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01093102","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093102","Magnoliophyta","Lamiales","Cham.","H. N. Moldenke","30734","1972","11","Paraná","Palmas","Morro da Baliza","-51.9906","-26.4844","NY01093102_01","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01093100","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"B. Rambo","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247092' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093100","Magnoliophyta","Lamiales","Cham.","H. N. Moldenke","44118","1949","10","Rio Grande do Sul","Sao Leopoldo","Barreto Viana","-51.1469","-29.7606","NY01093100_01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:21:05-03","UFRJ","RFA","12484","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"G.G. Hatschbach",NA,"Brasil",NA,NA,"Arbusto de flor lilás","RFA50650",NA,NA,"Cham.","G.G. Hatschbach",NA,"1965","01","Paraná","Piraquara","Novo Tirol","-49.0633010864258","-25.4416999816895",NA,NA,"50","50","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:21:05-03","UFRJ","RFA","9496","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"G.G. Hatschbach",NA,"Brasil",NA,NA,NA,"RFA50649",NA,NA,"Cham.","N. Troncoso","20792","1969","01","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"17",NA,NA,"45291","auto","1969","01","17",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:34:13-03","NBC","NL-BOTANY","L.2758503","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","polygalifolia","Aloysia polygalifolia",NA,"Hatschbach GG","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2758503 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2758503",NA,"Lamiales","Cham.",NA,NA,"1961","11",NA,NA,"Est. Parana (BRASIL). Mun. Campina Gde. do Sul. Quatro Barras.",NA,NA,"NL-L2758503","22",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
