"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","year","stateProvince","imagecode","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:43:11-03","E","E","177927","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","nigrum","Zanthoxylum nigrum","Riedel","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:194146","<a href=http://data.rbge.org.uk/herb/E00177927 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:11-03","E","E","177926","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","nigrum","Zanthoxylum nigrum","Riedel","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:194145","<a href=http://data.rbge.org.uk/herb/E00177926 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:11-03","E","E","177928","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","nigrum","Zanthoxylum nigrum","Riedel","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:194147","<a href=http://data.rbge.org.uk/herb/E00177928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:12-03","E","E","177948","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Riedel","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:194206","<a href=http://data.rbge.org.uk/herb/E00177948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","67240","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","articulatum","Zanthoxylum articulatum","J. S. Blanchet","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067240","Magnoliophyta","Sapindales","Engl.","isosyntype","3299","1841","Bahia","NY00067240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","232352","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","articulatum","Zanthoxylum articulatum","J. S. Blanchet","South America","Brazil","Serra da Jacobina","sheet",NA,"The 1839 on the lower left corner of the label is probably an accession date. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=237838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232352","Magnoliophyta","Sapindales","Engl.","type","3752",NA,"Bahia","NY00232352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144864","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","nigrum","Zanthoxylum nigrum","D. B. O. S. Cardoso","South America","Brazil","ARIE Serra do Orobó. Fragmento de floresta estacional semidecidual em frente da sede da Faz. Rancho de Deus.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299882' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144864","Magnoliophyta","Sapindales","Mart.",NA,"1233","2006","Bahia","NY01144864_01","D. B. O. S. Cardoso","04","21","Ruy Barbosa","-40.4761","-12.3286","591","591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382632","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","L. A. Mattos Silva","South America","Brazil","Estrada que liga a Estaçao Hidromineral de Olivença ao Povoado de Vila Brasil. 5 km ao Sudoeste de Olivença. Re Regiao de Mata Higrófila Sul Baiana.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382632","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"1475","1982","Bahia","NY00382632_01",NA,"02","08","Ilhéus","-39.0492","-14.7892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382767","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","D. S. D. de Araújo","South America","Brazil","Faz. Roberto Marinho.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382767","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"8300","1987","Rio de Janeiro","NY00382767_01","C. R. Reynel","10","14","Sao Pedro da Aldeia","-42.1028","-22.8394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01081311","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","J. L. Paixão","South America","Brazil","Amargosa: Serra do Timbó, Mata do Centro Sapucala, área da represa.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081311","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"1182","2007","Bahia","NY01081311_01","J. A. Kallunki","04","29",NA,"-39.15","-13.1667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
