"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","locality","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2020-09-23 10:37:26-03","E","E","289769","PreservedSpecimen","Plantae","Compositae","Calea","cymosa","Calea cymosa","Hatschbach, G.; Barbosa, E.","67081","1997","10","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:299549","<a href=http://data.rbge.org.uk/herb/E00289769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00289769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:26-03","E","E","83548","PreservedSpecimen","Plantae","Compositae","Calea","cymosa","Calea cymosa","Silva, J.M.","1736","1996","10","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92509","<a href=http://data.rbge.org.uk/herb/E00083548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 14:50:00-03","NY","NYBG","784586","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","E. L. Ekman","1033","1907","11","10","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784586","Magnoliophyta","Asterales","Misiones","Posadas, in graminosis prope La Granja.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","784585","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","G. G. Hatschbach","18473","1968","01","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784585","Magnoliophyta","Asterales","Paraná","Ribeirao da Fazenda.","Less.","Campo do Tenente","-49.6828","-25.9783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 02:34:00-03","NY","NYBG","784587","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","E. Hassler","9343","1905","03",NA,"South America","Paraguay","sheet",NA,"Lect. mens. Martius. Florula Caaguazuensis. Ex cat. Hassler <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784587","Magnoliophyta","Asterales",NA,"In viciniis Caaguazú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","784584","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","J. M. Silva","1736","1996","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784584","Magnoliophyta","Asterales","Paraná","Jardim Botânico.","Less.","Curitiba","-49.2731","-25.4281","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:29:13-03","UFRJ","RFA","9948","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","P. Occhioni","4251","1970","10","00",NA,"Brasil",NA,NA,"Campo seco; flores amarelas","RFA27833",NA,NA,"Paraná","Próximo a Vila Velha","Less.","Ponta Grossa","-50.1618995666504","-25.0949993133545","V.R. Bueno","2018","12","12","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:13-03","UFRJ","RFA","21098","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","M. Sobral","1622","1983","04","01",NA,"Brasil",NA,NA,"Arbusto em beira de estrada, ca. 1, 2 m de altura; capítulos amarelos","RFA17434",NA,NA,"Rio Grande do Sul","Costa da Cadeia","Less.","Triunfo","-51.7181015014648","-29.9433002471924","N. I. Matzenbacher",NA,NA,NA,"41194","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-24 17:10:28-03","UTFPR","DVPR","5639","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","Silva, JM; Bayeri, I; Noguchi, G","9652","2016","11","16",NA,"Brasil",NA,NA,"Erva ereta 50 cm de altura, capitulos amarelos.; Estepe gramíneo-lenhosa (campo subtropical de altitude).","DVPR005639","Magnoliophyta",NA,"Paraná","Usina Eólica.","Less.","Palmas","-51.5822","-26.3153","Barboza, E","2016","12","05",NA,NA,"-51.5822","-26.3153","1050","1050",NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:34:34-03","EAO","IAN","22931","PreservedSpecimen","Plantae","Asteraceae","Calea","cymosa","Calea cymosa","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN022931","Dicotiledônea",NA,NA,NA,"Less.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
