"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","locality","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:40:04-03","E","E","263737","PreservedSpecimen","Plantae","Labiatae","Hyptidendron","asperrimum","Hyptidendron asperrimum","Andrade, Priscila M.","1266","1990","08","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:273983","<a href=http://data.rbge.org.uk/herb/E00263737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00263737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 20:55:00-03","NY","NYBG","00857122","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","J. G. Kuhlmann","2589","1935","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857122","Magnoliophyta","Lamiales","Minas Gerais","Viçosa","-42.8817","-20.7542","NY00857122_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00499722","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","Martii Herbar. Florae Brasil.","1203",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499722","Magnoliophyta","Lamiales",NA,NA,NA,NA,"NY00499722_01","(Spreng.) Harley","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00857133","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","H. S. Irwin","30529","1971","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857133","Magnoliophyta","Lamiales","Minas Gerais",NA,"-43.67613","-19.82237","NY00857133_01","(Spreng.) Harley","Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00499725","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","S. A. Mori","11318","1978","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499725","Magnoliophyta","Lamiales","Bahia","Barra do Choça","-40.57","-14.88","NY00499725_01","(Spreng.) Harley","Estrada que liga Barra do Choça à Faz. Roda d'Agua (Rio Catolé), 3-6 km a E de Barra do Choça. Folha SD-24 (15-41b).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00499724","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","T. S. dos Santos","2248","1972","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499724","Magnoliophyta","Lamiales","Bahia",NA,NA,NA,"NY00499724_01","(Spreng.) Harley","Conquista, km 5 a 10 da rod. Rio/Bahia ao Norte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00857127","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","Y. E. J. Mexia","5050","1930","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857127","Magnoliophyta","Lamiales","Minas Gerais","Viçosa","-42.8817","-20.7542","NY00857127_01","(Spreng.) Harley","Road to São Miguel, near km. 15.","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00857120","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","Y. E. J. Mexia","5050","1930","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857120","Magnoliophyta","Lamiales","Minas Gerais","Viçosa","-42.8817","-20.7542","NY00857120_01","(Spreng.) Harley","Road to San Miguel, near Kilo. 15;.",NA,NA,"J. F. B. Pastore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 20:55:00-03","NY","NYBG","00857129","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","G. Gardner","5107",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857129","Magnoliophyta","Lamiales","Minas Gerais",NA,NA,NA,"NY00857129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 15:50:00-03","NY","NYBG","00499723","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","E. Pereira","9901","1965","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499723","Magnoliophyta","Lamiales","Rio de Janeiro",NA,NA,NA,"NY00499723_01",NA,"Itayaia - Teresópolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00499720","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","R. P. Belém","1234","1965","06","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499720","Magnoliophyta","Lamiales","Bahia",NA,NA,NA,"NY00499720_01","(Spreng.) Harley","De Vitória da Conquista para Itabuna.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00857119","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","G. J. Shepherd","5751","1977","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857119","Magnoliophyta","Lamiales","Minas Gerais",NA,"-41.7961581","-20.434995","NY00857119_01","(Spreng.) Harley","Pico da Bandeira, perto do Caparaó.","1300","1300","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00896884","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","L. Riedel","390","1824",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896884","Magnoliophyta","Lamiales","Minas Gerais",NA,NA,NA,"NY00896884_01","(Spreng.) Harley","Iter Brasiliense. Serra do Itacolum.",NA,NA,"G. M. Antar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
