"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","typeStatus","locality","preparationType","occurrenceRemarks","imagecode","stateProvince","individualCount","class","order","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","year","month","day","county","coordinatePrecision","geoFlag"
"1","2021-03-30 12:44:24-03","EAO","IAN","81496","PreservedSpecimen","Plantae","Dicotiledônea","Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Riedel, L","s.n.","Southern America","Brasil","IAN081496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-21 15:27:54-03","MNHN","RECOLNAT_MNHN_P","P00117326","PreservedSpecimen",NA,NA,"Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Riedel, L.",NA,NA,"Brésil","P00117326","Wurdack","isotype","Brasilia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117326' target='other'> <mi>dwc_moreinfo</mi></a>","P00117326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-21 15:27:56-03","MNHN","RECOLNAT_MNHN_P","P00117327","PreservedSpecimen",NA,NA,"Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Riedel, L.",NA,NA,"Brésil","P00117327","Wurdack","isotype","Brasilia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117327' target='other'> <mi>dwc_moreinfo</mi></a>","P00117327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-07-21 15:27:58-03","MNHN","RECOLNAT_MNHN_P","P00117328","PreservedSpecimen",NA,NA,"Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Riedel, L.",NA,NA,"Brésil","P00117328","Wurdack","isotype","Brasilia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117328' target='other'> <mi>dwc_moreinfo</mi></a>","P00117328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-29 10:31:00-03","MO","MOBOT","101138691","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","limbata","Miconia limbata","(Cogn.) R. Goldenb.","Ludwig Riedel","Riedel 1722","South America","Brazil",NA,"fide Michelangeli et al.","Isosyntype","Habitat in sylvis ad Mandiocca",NA,NA,NA,"Rio de Janeiro","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-29 10:35:00-03","MO","MOBOT","101138692","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","limbata","Miconia limbata","(Cogn.) R. Goldenb.","Ludwig Riedel","Riedel s.n.","South America","Brazil",NA,"fide Michelangeli et al.","Isosyntype","in montibus apricis prope Corrego-Secco",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Riedel, --","1722","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-04 19:30:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Melastomataceae","Leandra","limbata","Leandra limbata",NA,"L. Riedel",NA,"South America","Brazil",NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-09-23 11:01:50-03","G","G-DC","G00316409","S","Plantae",NA,"Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Weddell, H. A.","846","AMERIQUE DU SUD","Brazil","G00316409","CAT.HERB.PRODR.",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site",NA,NA,NA,NA,NA,"-53.08972222","-10.77305556","2012","01","01","-53.08972222","-10.77305556",NA,NA,NA,NA,NA,NA
"10","2019-11-21 10:09:51-03","IBt","SP","120944","S","Plantae",NA,"Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Carauta, JPP","695",NA,"Brasil",NA,"Souza, MLD; Baumgratz, JF",NA,"Serra dos Órgãos, Correas, Fazenda Bom Fim. Comum à beira do Rio Morto, afluente do Rio Piabanha",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,"-43.1786003112793","-22.5049991607666","2004",NA,NA,NA,NA,"1968","12","30","Petrópolis","36524","auto"
"11","2019-11-21 10:09:51-03","IBt","SP","14358","S","Plantae",NA,"Melastomataceae","Leandra","limbata","Leandra limbata","Cogn.","Usteri, A","50",NA,"Brasil",NA,"Souza, MLD; Baumgratz, JF",NA,"Jaraguá",NA,NA,NA,"São Paulo",NA,NA,NA,"-46.6300010681152","-23.5400009155273","2004",NA,NA,NA,NA,"1906","02","28","São Paulo","53584","auto"
