"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03044796","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","H. C. de Lima","7442","2012","03","19","South America","Brazil","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, canteiro 9 - A.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3281685' target='other'> <mi>dwc_moreinfo</mi></a>","NY03044796","NY03044796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","628929","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","G. G. Hatschbach","15619","1967","01","03","South America","Brazil","Paraná","Forest on Morro de Tabaquara, W of Matinhos","sheet","Wood sample no. U 14367 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628929","NY00628929_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02861696","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","D. Sucre","9914","1973","03","19","South America","Brazil","Rio de Janeiro","Guanabara, vertente sul da Serra das Piabas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3234798' target='other'> <mi>dwc_moreinfo</mi></a>","NY02861696","NY02861696_01",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","628931","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","G. G. Hatschbach","13394","1966","01","04","South America","Brazil","Paraná","Serra do Mar, Estrada da Graciosa, Ferradura","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628931","NY00628931_01","L. Y. T. Westra","700","700","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","628930","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","G. G. Hatschbach","15619","1967","01","03","South America","Brazil","Paraná","Morro do Tabaquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628930","NY00628930_01","L. B. Smith; S. F. Smith","100","100","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182847","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","H. C. de Lima","4367","1992","02","18","South America","Brazil","Rio de Janeiro","Estação Ecológica Estadual de Paraíso. Caminho próximo represa da CEDAE. Área FP10.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410292' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182847","NY01182847_01","M. P. M. de Lima",NA,NA,"Guapimirim","-42.88333","-22.48333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","415477","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","L. Riedel","107","1832",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00415477","NY00415477_01",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02207781","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","G. G. Hatschbach","13394","1966","01","04","South America","Brazil","Paraná","Serra do Mar, Estrada da Graciosa, Ferradura","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2342207' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207781","NY02207781_01",NA,"700","700","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","628928","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","G. G. Hatschbach","13394","1966","01","04","South America","Brazil","Paraná","Estr.Graciosa, Ferradura","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628928","NY00628928_01","L. B. Smith; S. F. Smith",NA,NA,"Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:10-03","UFRJ","RFA","24845","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Luehea","conwentzii","Luehea conwentzii","K.Schum.","F. B. Pereira","dez-24","2000","07","29",NA,"Brasil","Rio de Janeiro","1º distrito, Fazenda Belém",NA,"Árvore, 11m de altura, 18cm de DAP, folha bicolor, comum no local","RFA29765",NA,"M.Bovini","540","540","São José do Vale do Rio Preto","-42.911389","-22.119444",NA,"2000","09","27","42º54'41''W","22º7'10''S",NA,NA,NA,NA,NA,NA,NA
