"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","imagecode","previousCatalogNumber"
"1","2021-02-23 19:04:09-03","UFJF","CESJ","73201","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Specklinia","lingua","Specklinia lingua","(Lindl.) Luer","E. Pessoa","E. Pessoa; B.S. Amorim; J.L. Costa-Lima","943","2012","05","30","América do Sul","Brasil","Pernambuco","Jaqueira","RPPN Frei Caneca, Mata do Quengo","-35.843889","-8.72","-35.843889","-8.72","700","700","Interior da mata. Epífita com flores alvas com estrias róseas. labelo róseo. Fruto verde.","CESJ073201",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:44:48-03","UFMG","BHCB","81939","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer",NA,"Viana, PL","452","2002","01","22","Southern America","Brasil","Minas Gerais","Nova Lima","Miguelão","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,"Epífita; Mata de galeria","BHCB009110","2013","07","17","29211","auto",NA,NA
"3","2020-12-11 11:44:49-03","UFMG","BHCB","167108","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Pleurothallis","lingua","Pleurothallis lingua","Lindl.",NA,"Carvalho, BM de; Pessoa, E","112","2013","07","20","Southern America","Brasil","Minas Gerais","Cristais","Propriedade do Sr. Lázaro de Assis Carvalho, Interior de mata de galeria.","-45.5475","-20.896389","-45.5475","-20.896389","876","876","Erva terrestre; Interior de mata de galeria","BHCB012097",NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:21:00-03","UFPR","UPCB","84856","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","Toscano de Brito, A.L.V.","Toscano de Brito, A.L.V.","3274A",NA,NA,NA,NA,"Brasil","Paraná","São João dos Pinhais","Represa de Voçoroca",NA,NA,NA,NA,NA,NA,"Mesmo espécime de M. Klingelfuss 154. Amostra conservada em solução de glicerina com álcool..",NA,"2015",NA,NA,NA,NA,NA,NA
"5","2021-02-11 17:21:00-03","UFPR","UPCB","90011","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","Santos, T.F.","Santos, T.F. | Kujaski, K.","267","2017","02","27",NA,"Brasil","Paraná","Tijucas do Sul","São João do Piraí- Quiriri- Margem do Rio Negro","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,"UPCB0028293","2017",NA,NA,"25228","auto","UPCB0028293",NA
"6","2021-02-11 17:21:00-03","UFPR","UPCB","90009","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","Santos, T.F.","Santos, T.F. | Kujaski, K.","257","2017","02","04",NA,"Brasil","Paraná","Tijucas do Sul","São João do Piraí- Quiriri- Margem do Rio Negro","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,"UPCB0028290","2017",NA,NA,"25228","auto","UPCB0028290",NA
"7","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","15819",NA,"Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","H.L. Silva/16-01-2020","L. Kollmann; et al","5164","2001","12","10",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,"Epífita caída. Sépalas amarelados com listras e pontos vináceos. Pétalas vináceas. Labelo de base amarelas com 3 listras vináceas, ápice e lóbulos laterais vináceos.","MBML015819",NA,NA,NA,NA,NA,"MBML015819",NA
"8","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","17462",NA,"Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","H.L. Silva/17-01-2020","R.R. Vervloet; et al","660","2002","08","08",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,"Epífita, em galho caído, pétalas creme com listas vináceas, labelo vinho, sépalas creme com pontos vinho.","MBML017462",NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","19861",NA,"Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","H.L. Silva/17-01-2020","R.R. Vervloet; et al","1908","2003","02","25",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,"Epífita, em galho caído, flores translúcidas com listas vinho, fundo de vale, dossel 18m.","MBML019861",NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","4710",NA,"Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","H.L. Silva/16-01-2020","H. Q. Boudet Fernandes",NA,"1987","06","08",NA,"Brasil","Espírito Santo","Santa Teresa","Cabeceira do Vinte e Cinco de Julho","-40.548333","-19.847222","40W32'54","19S50'50",NA,NA,"Associada a P. trifiada e Barbosella miersii. Culta /alcool/herb. Herb/alcool em 10/06/1988. sépalas e pétalas brancas com estrias roxas, labelo com ápice roxo, base até o ápice estrias roxas.","MBML004710",NA,NA,NA,NA,NA,NA,NA
