"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","typeStatus","individualCount","infraspecificEpithet","fieldNumber"
"1","2021-04-05 14:25:30-03","UNESC","CRI","14365","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","Schwirkowski, P.","2016","11","26","Schwirkowski, P.","2140","2016","11","26","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin. Minas de caulin. Próximo às minas de caulim.","-49.224722","-26.290833","49º13'29''W","26º17'27''S","1050","1050","Campo de altitude com capões de FOM Altomontana Habitat: Campo de altitude Habito: Subarbusto","CRI013491","CRI013491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00908975","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","R. Romero",NA,NA,NA,"R. Romero","1295","1994","10","16","Brazil","Minas Gerais","São Roque de Minas","Morro após a nascente do rio São Francisco, estrada para Sacramento, PARNA Serra da Canastra.","-46.3656","-20.2456",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908975","NY00908975_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00908976","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","R. Romero",NA,NA,NA,"R. Romero","3017","1995","09","28","Brazil","Minas Gerais","São Roque de Minas","Estrada para Sacramento, Morro próximo ao córrego dos Passageiros.","-46.3656","-20.2456",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908976","NY00908976_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685364","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","R. Goldenberg",NA,NA,NA,"R. Goldenberg","799","2005","10","24","Brazil","Paraná","Campina Grande do Sul","Subida para o Pico Paraná","-49.0553","-25.3058",NA,NA,"1450","1450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685364","NY00685364_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098761","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","M. Reginato",NA,NA,NA,"M. Reginato","1069","2010","01","03","Brazil","Rio Grande do Sul","Cambará do Sul","Canyon Fortaleza.","-49.950129","-29.044729",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084683' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098761","NY02098761_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02591385","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","M. Reginato",NA,NA,NA,"R. J. F. Garcia","962","1996","12","19","Brazil","São Paulo","Sao Paulo","Estadual da Serra do mar, Núcleo Curucutu. Trilha para rio Embu-Guaçu.","-46.73361111","-23.9877778",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2855632' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591385","NY02591385_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478304","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","M. Reginato",NA,NA,NA,"C. B. Poliquesi","203","1994",NA,NA,"Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5744","-25.8831",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=458786' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478304","NY00478304_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02098762","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack","M. Reginato",NA,NA,NA,"M. Reginato","1060","2010","01","02","Brazil","Rio Grande do Sul","Sao José dos Ausentes","Estrada","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084674' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098762","NY02098762_01","Magnoliophyta","Myrtales","South America","sheet","42598","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02012848","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack",NA,NA,NA,NA,"R. Goldenberg","1642","2012","02","14","Brazil","São Paulo","Itanhaém","Parque Estadual da Serra do Mar, Núcleo de Curucutu, conexão entre as trilhas do campo e do mirante.","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499415' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012848","NY02012848_01","Magnoliophyta","Myrtales","South America","sheet","26998","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02012822","PreservedSpecimen","Plantae","Melastomataceae","Leandra","humilis","Leandra humilis","(Cogn.) Wurdack",NA,NA,NA,NA,"M. Reginato","1325","2012","02","14","Brazil","São Paulo","São Paulo","P.E. da Serra do Mar, Núcleo Curucutu, trilha do campo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499418' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012822","NY02012822_01","Magnoliophyta","Myrtales","South America","sheet","53584","auto",NA,NA,NA,NA,NA,NA,NA
