"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","typeStatus","continentOcean","individualCount","barcode","imagecode","occurrenceRemarks"
"1","2015-07-02 14:02:14-03","JBP","HPL","3090","S","Plantae","Gesneriaceae","Nematanthus","mattosianus","Nematanthus mattosianus","(O. Handro) H.E. Moore","H. Lorenzi","2001","09","10","H. Lorenzi","2901","2001","09","10","Brasil","SP","Boracéia","Coletada na mata atlântica.","-48.77","-22.19","10241","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","2579739","PreservedSpecimen","Plantae","Gesneriaceae","Hypocyrta","mattosiana","Hypocyrta mattosiana","Handro",NA,NA,NA,NA,"O. Handro","1029","1962","8","14","Brazil","São Paulo",NA,"Praia do Juquel.",NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","Isotype","South America - Neotropics","1","US00126526","US00126526_01",NA
"3","2021-03-15 18:27:25-03","USP","SPF","82223","PreservedSpecimen","Plantae","Gesneriaceae","Hypocyrta","mattosiana","Hypocyrta mattosiana","Handro",NA,NA,NA,NA,"Handro, O","1029","1962","08","14","Brasil","São Paulo","São Sebastião","Praia de Juquehy, Mata ao lado da rodovia Bertioga-São Sebastião.","-45.4099998474121","-23.7600002288818","41977","auto",NA,NA,"isotype",NA,NA,"SPF00082223","SPF00082223","Escandente em mata parcialmente alagadiça. Folhas com mancha purpúrea no verso. Flores pendentes, corola roseo-vermelha."
"4","2019-11-21 10:07:00-03","IBt","SP","64374","S","Plantae","Gesneriaceae","Hypocyrta","mattosiana","Hypocyrta mattosiana","Handro","Handro, O","1963","04",NA,"Handro, O","1029","1962","08","14","Brasil","São Paulo","São Sebastião","Praia do Juqueí, mata ao lado da rodovia Bertioga - São Sebastião","-45.4099998474121","-23.7600002288818","41977","auto",NA,NA,"Holotype",NA,NA,"SP000756","SP000756","Escandente em mata parcialmente alagadiça. Folhas com mancha purpúrea no verso. Flores pendentes, corola róseo-vermelha"
"5","2020-11-26 10:00:26-03","IBt","SP","378943","S","Plantae","Gesneriaceae","Nematanthus","mattosianus","Nematanthus mattosianus","(Handro) H.E.Moore",NA,NA,NA,NA,"Aguiar, FFA","s.n.",NA,NA,NA,"Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656","37616","auto",NA,NA,NA,NA,NA,NA,NA,NA
