"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","sex","infraspecificEpithet"
"1","2021-04-05 14:25:54-03","UNESC","CRI","3899","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","J. A. Jarenkow","1988","12","01","Brasil","Rio Grande do Sul","Canguçu","-52.678611","-31.396389","52º40'43''W","31º23'47''S","CRI008292","CRI008292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:00-03","UNESC","CRI","3901","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","J. A. Jarenkow","1988","12","01","Brasil","Rio Grande do Sul","Canguçu","-52.675833","-31.395556","52º40'33''W","31º23'44''S","CRI008295","CRI008295","J. A. Jarenkow","390","390","Habitat: borda da mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:00-03","UNESC","CRI","3459","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","Robson dos Santos; Clair Maria Martinello","1994","11","12","Brasil","Santa Catarina","Praia Grande","-49.950278","-29.196667","49º57'1''W","29º11'48''S","CRI008293","CRI008293","Vanilde Citadini- Zanette","47","47","Habitat: mata atlântica Habito: arbusto","1995","01","02","148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:00-03","UNESC","CRI","2836","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","D. Sucre; D. J. Guimaraes & PIS Braga","1968","05","07","Brasil","Rio de Janeiro","Parati","-44.661667","-23.041667","44º39'42''W","23º2'30''S","CRI008291","CRI008291","D. Sucre","1300","1300","Habitat: Árvore","1968",NA,NA,NA,"Reserva Florestal da Bocaina - SP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:00-03","UNESC","CRI","8541","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","M. Verdi; R. P. Hasckel & G. Klemz","2009","01","21","Brasil","Santa Catarina","Anita Garibaldi","-51.162778","-27.633333","51º9'46''W","27º38'0''S","CRI008294","CRI008294","M. Verdi","762","762","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","2009","01","21","1371","Arrozal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:27-03","E","E","420620","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii",NA,"Sellow, Friedrich",NA,NA,NA,"BR","Distrito Federál",NA,NA,NA,NA,NA,"E00420620",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00420620 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Brasilia","isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:470423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:27-03","E","E","127633","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii",NA,"Rambo, B.","1951","01","10","BR","Santa Catarina",NA,NA,NA,NA,NA,"E00127633",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00127633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"49665","Lagas",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:42:27-03","E","E","127632","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii",NA,"Davis, N.D.Da Cruz, J.Semir, G.M.Felippe, L.S.Kinoshita & G.J.Shepherd","1976","09","29","BR","Sao Paulo",NA,NA,NA,NA,NA,"E00127632",NA,NA,"1700","1700","<a href=http://data.rbge.org.uk/herb/E00127632 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"3055","Municipio de Campos do JordÆo. Reserva do Instituto Florestal. Estrada do Moreira para SÆo José dos Alpes, perto da Colônia",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:42:27-03","E","E","251056","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii",NA,"Santos, A.A.","2005","11","30","BR",NA,NA,"-50.748611","-28.183889","-50.748611","-28.183889","E00251056",NA,NA,"818","818","<a href=http://data.rbge.org.uk/herb/E00251056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"2939","Abdon Batiista - SC. Estrada entre a casa do Sr. Perozo (margem da BR - 116) ao antigo Encanadinho",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:257240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:42:27-03","E","E","205449","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii",NA,"Giulietti, A.M., Sakuragui, C.M., Harley, R.M., Atkins, S. & Souza, V.C.","1994","01","16","BR","Mato Grosso",NA,"-44.175278","-21.086389","-44.175278","-21.086389","E00205449",NA,NA,"1120","1120","<a href=http://data.rbge.org.uk/herb/E00205449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"13682","Tiradentes, Serra de Sâo José",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
