"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","identifiedBy","occurrenceRemarks","imagecode","yearIdentified","monthIdentified","dayIdentified","typeStatus","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-11-19 15:43:15-03","UNEB","HUNEB","11671","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Asteraceae","Aspilia","caudata","Aspilia caudata","Santos","Almeida, G.S.S.","660","2007","04","18","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha do Sertão.","-43.5080986022949","-20.2875003814697","44599","HUNEB0011671","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-19 15:43:15-03","UNEB","HUNEB","11672","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Asteraceae","Aspilia","caudata","Aspilia caudata","Santos","Almeida, G.S.S.","269","2006","01","27","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha do Sertão.","-43.5080986022949","-20.2875003814697","44599","HUNEB0011672","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:15:38-03","UFV","VIC","21403","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","Almeida, G.S.S.; Turma da Sistemática de Monocotiledôneas","787","2007","03","05","Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco, Base da Serra. Campo de afloramentos rochosos / campo rupestre.","-43.6918983459473","-20.5207996368408","13809","VIC021403","auto","Almeida, G.S.S.","Subarbusto, c.a. de 1,0 metro de altura; capítulo com invólucro cilíndrico; brácteas com ápice caudado; flores do raio amarelas; flores do disco amarelas.","VIC021403",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:15:38-03","UFV","VIC","26515","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","Almeida, G.S.S.; et al.","416","2006","05","20","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do sertão","-43.5080986022949","-20.2875003814697","44599","VIC026515","auto",NA,"Subarbusto de 1,2 m, ramos vináceos, capítulos de flores amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:15:38-03","UFV","VIC","26517","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","Almeida, G.S.S.; et al.","660","2007","04","18","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do sertão","-43.5080986022949","-20.2875003814697","44599","VIC026517","auto",NA,"Subarbusto de 1,2 m, ramos vináceos, capítulos de flores amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:15:38-03","UFV","VIC","26516","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","Almeida, G.S.S.; Custódio, J.","195","2005","12","02","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do sertão","-43.5080986022949","-20.2875003814697","44599","VIC026516","auto",NA,"Subarbusto de 1,2 m, ramos vináceos, capítulos de flores amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:15:38-03","UFV","VIC","26518","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","Almeida, G.S.S.; Custódio, J.","269","2006","01","27","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do sertão","-43.5080986022949","-20.2875003814697","44599","VIC026518","auto",NA,"Subarbusto de 1,2 m, ramos vináceos, capítulos de flores amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:43:33-03","UFOP","OUPR","1645","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","s.col.","s.n.","1970",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Caraça",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-05 16:43:33-03","UFOP","OUPR","1651","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","Badini, J.; Zurlo, M.A.","s.n.",NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra do Caraça",NA,NA,NA,NA,NA,"Almeida, G.S.S.","Campo. Arbusto. Flores amarelas",NA,"1972","01",NA,NA,NA,NA,NA,NA,NA
"10","2020-03-12 10:28:55-03","UFOP","OUPR","33540","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Aspilia","caudata","Aspilia caudata","J.U.Santos","Pedrosa, L.G.","1397","2019","03","10","Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,"Pedrosa, L.G.","Subarbusto, 80cm. Flores amarelas. Campo rupestre.",NA,"2019","03","10",NA,NA,NA,NA,NA,NA
