"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","class","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1019391","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins","A. B. F. Peixoto","R. C. Forzza","4289","2006","09","21","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca.","-43.7931","-21.8428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282163' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019391","NY01019391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454348","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins",NA,"C. M. B. Correia","204","1990","09","13","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Sítio Hum New Baccus","-42.5311012268066","-22.2819004058838","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454348","NY00454348_01","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454349","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins","A. Peixoto","G. Martinelli","6729","1980","04","23","South America","Brazil","Rio de Janeiro","Petrópolis","Floresta sob Regime de Preservaçao Permanente-IBDF estrada F. Inglesa-Pati do Alferes","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454349","NY00454349_01",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1019394","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins","A. B. F. Peixoto","R. C. Forzza","4349","2006","11","22","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca.","-43.7931","-21.8428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019394","NY01019394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182118","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins","A. L. Peixoto","R. C. Forzza","4422","2007","01","24","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Mata Grande","-43.8833","-21.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397310' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182118","NY01182118_01",NA,NA,"1100","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:45:12-03","EAO","IAN","93445","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","G. Perkins",NA,"Glaziou, AFM","17766",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN093445",NA,NA,NA,NA,NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:07-03","ESALQ","ESA","99421","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana",NA,"Peixoto, A.","Forzza, R.C.","3632.0","2004","11","22",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA099421","ESA099421","30417","auto",NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:35:45-03","UNICAMP","UEC","160410","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins","Marchiori, NM","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","421","2011","03","13",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.945278","-23.330333",NA,"Material vegetativo. Cerca de 8 m de altura e 2 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.","UEC009952","UEC009952",NA,NA,"999","999",NA,"2011","05","-45.945278","-23.330333",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:35:45-03","UNICAMP","UEC","166773","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins","Peixoto","Padgurschi, MCG; Tamashiro, JY; Belinello, R","344","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM. Núcleo Santa Virgínia. Parcela K.","-45.068333","-23.325278",NA,"K0389 Árvore, ca. 4,5 m, sem flores ou frutos.&nf;Abundância: 3 ind ha(-1).; Floresta Ombrófila Densa Montana.","UEC039898","UEC039898",NA,NA,"1055","1093",NA,"2009",NA,"-45.068333","-23.325278",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:35:45-03","UNICAMP","UEC","166904","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","engleriana","Mollinedia engleriana","Perkins","Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, JC","83","2010","05","30",NA,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar","-45.513611","-23.636111",NA,"Árvore com 6 m.; Mata Atlântica.","UEC098726","UEC098726",NA,NA,"50","90",NA,"2010","12","-45.513611","-23.636111",NA,NA,NA,NA,NA,NA
